twit.eig	twit.popfrom	wiki.eig	wiki.popfrom	book.eig	book.popfrom	gdp.pc	pop	cultexp	language
0.01171827	48761	0.00223104	776	0.00086109	357	10372.8079431	13	0.1335	afr
0.05422551	131637	0.03207688	6361	0.01588606	11884	8719.5625651	530	86.048	ara
5.05e-05	136	0.0039574	843	0.00334541	2223	2457.33401614	230	7.533	ben
0.00028475	1353	0.01627752	4122	0.00371912	3667	13487.9143151	12	0.768	bul
0.010975	40534	0.02784782	8075	0.00949586	8328	30625.747	9	12.92	cat
0.01293374	37535	0.03311951	8493	0.02775867	17202	27062.243	12	45.792	ces
0.00467135	17932	0.03408103	8164	0.03020216	21239	37151.508	6	37	dan
0.01711333	44604	0.4787209	103768	0.26334749	201718	38268.2796026	185	643.218	deu
0.0061217	30542	0.01877043	3789	0.01143029	4862	26693.0809689	15	8.962	ell
0.69329476	3525628	0.65929841	273987	0.89803531	1225237	32952.654697	1500	788.103	eng
0.00061809	2355	0.0031492	1093	0.00108321	1021	30625.747	1	1.52	eus
0.00138618	4130	0.04780708	11484	0.01160693	8296	36235.97	6	5.472	fin
0.03696668	97224	0.33783444	69366	0.29695532	216624	15102.6722995	200	590.271	fra
0.00486003	17091	0.00433051	1541	0.0014028	1346	30625.747	4	5.32	glg
1.929e-05	65	0.00090966	319	0.00048148	264	3693.529	46	4.185	guj
0.003212	10655	0.03030069	7389	0.02696108	12743	12907.5138499	23	11.613	hbs
0.00043965	1172	0.00575338	1178	0.00247332	1469	3695.83888693	550	38.163	hin
0.00121054	2893	0.03845013	9488	0.02802628	11256	18671.7887242	15	20.495	hun
0.00015844	419	0.00390985	956	0.00208855	1518	38060.836	0.32	2	isl
0.02517954	70750	0.15703838	33146	0.09374308	66453	30623.2300236	70	393.224	ita
0.04418507	143837	0.12399229	28951	0.04398496	26921	34739.655	132	169	jpn
3.62e-05	143	0.00195926	354	0.00066418	314	3693.529	47	3.441	kan
6.717e-05	181	0.0051936	965	0.00071301	306	3693.529	37	2.976	mal
0.10582998	270045	0.13486947	26888	0.03955701	18978	40518.2127388	27	133.2	nld
0.00436981	14433	0.06036022	13866	0.0106394	14530	53470.697	5	23	nor
0	2	0.00025657	141	0.00047401	244	3693.529	31	2.976	ori
7.664e-05	372	0.00031099	105	0.00085128	327	3031.50578618	104	2.604	pan
0.00234695	5832	0.0938191	21517	0.02271051	14104	20326.4642435	43	24.45	pol
0.35208674	864037	0.10986822	22072	0.02105229	11390	11852.9173512	290	14.768	por
0.00157288	4834	0.02808689	6192	0.01328133	5475	11353.6063289	28	4.55	ron
0.01401232	41784	0.1516584	35178	0.08565274	101395	15487.109845	278	134	rus
0.00134281	5476	0.01036716	3485	0.00325322	4205	23432.3606287	7	4.124	slk
0.0004879	1752	0.00987944	2993	0.00428489	2463	28641.568	2	1.822	slv
0.34811446	919417	0.28746349	58791	0.08539987	52955	16776.6240904	500	104.024	spa
0.00259932	8650	0.00688492	1806	0.00260489	1424	9181.68500011	16	0.885	sqi
0.00285522	7362	0.00069974	370	8.901e-05	65	1415.42235424	50	0.8	swa
0.00728292	17619	0.0927484	20863	0.03363697	39192	40265.4412139	10	44.33	swe
0.00043373	1075	0.00445498	897	0.00165045	496	3923.14947372	66	5.487	tam
3.36e-05	118	0.00285337	628	0.00050067	277	3693.529	80	6.696	tel
0.02408795	59095	0.0451629	10189	0.00340584	2658	14623.1660236	70	1.807	tur
1.951e-05	2691	0.01974593	7076	0.00352934	2877	7241.74481868	45	0.04	ukr
0.00022531	586	0.00157829	428	0.00212528	950	3510.6761902	60	4.65	urd
0.00204518	5392	0.01183458	3098	0.00142575	668	3447.16495996	80	0.04	vie
0.00453649	15177	0.09375027	19201	0.01396375	13337	9206.98537851	1575	237.163	zho
