	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-6.416***	2.384***	2.509***	2.949***	-9.800***	-4.206	-0.934
	(0.864)	(0.249)	(0.192)	(0.206)	(2.091)	(2.574)	(1.793)
pop	0.892***				1.120***	0.739***	0.524***
	(0.093)				(0.157)	(0.193)	(0.136)
gdp.pc	1.506***				2.100***	1.112*	0.577
	(0.187)				(0.382)	(0.471)	(0.320)
twit.eig		0.439***			-0.214		
		(0.088)			(0.121)		
wiki.eig			0.760***			0.198	
			(0.104)			(0.217)	
book.eig				0.833***			0.509**
				(0.094)			(0.151)
sigma	0.386	0.589	0.485	0.427	0.374	0.387	0.337
R-squared	0.760	0.424	0.610	0.697	0.782	0.766	0.823
adj. R-squared	0.746	0.407	0.598	0.688	0.761	0.745	0.807
F	52.368	25.045	53.137	78.254	38.196	35.010	49.655
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	36	36	36	36	36	36	36
