twit.eig	twit.popfrom	wiki.eig	wiki.popfrom	book.eig	book.popfrom	gdp.pc	pop	cultexp	language
0.01171827	48761	0.00223104	776	0.00086109	357	10372.8079431	13	4.137	afr
5.1e-06	15	0.0002177	81	0	58	1092.629	25	1.758	amh
0.05422551	131637	0.03207688	6361	0.01588606	11884	8719.5625651	530	94.456	ara
0.00026921	1809	0.00301522	1111	0.00028409	774	11902.4669348	27	9.738	aze
2.02e-06	274	0.00127629	507	0.00046173	1409	15028.295	6	2.34	bel
5.05e-05	136	0.0039574	843	0.00334541	2223	2457.33401614	230	12.449	ben
0.00028475	1353	0.01627752	4122	0.00371912	3667	13487.9143151	12	6.176	bul
0.010975	40534	0.02784782	8075	0.00949586	8328	30625.747	9	13.09	cat
0.01293374	37535	0.03311951	8493	0.02775867	17202	27062.243	12	50.562	ces
0.00467135	17932	0.03408103	8164	0.03020216	21239	37151.508	6	39	dan
0.01711333	44604	0.4787209	103768	0.26334749	201718	38268.2796026	185	524.098	deu
1.564e-05	57	0	168	0	1	8731.249	0.3	1	div
0.0061217	30542	0.01877043	3789	0.01143029	4862	26693.0809689	15	38.084	ell
0.69329476	3525628	0.65929841	273987	0.89803531	1225237	32952.654697	1500	1617.773	eng
0.00044706	1365	0.00663579	1956	0.01322228	5739	20379.764	1.07	6.057	est
0.00061809	2355	0.0031492	1093	0.00108321	1021	30625.747	1	1.54	eus
0.00042093	1763	0.02186386	4738	0.0043465	2837	9826.0354018	107	15.6	fas
0.13316405	359115	0.00375525	713	0.00045877	87	4072.879	90	16.222	fil
0.00138618	4130	0.04780708	11484	0.01160693	8296	36235.97	6	31.008	fin
0.03696668	97224	0.33783444	69366	0.29695532	216624	15102.6722995	200	455.511	fra
0.00015056	417	0.00195926	523	0.00082199	269	39638.6	0.53	0.58	gle
0.00486003	17091	0.00433051	1541	0.0014028	1346	30625.747	4	5.39	glg
1.929e-05	65	0.00090966	319	0.00048148	264	3693.529	46	3.105	guj
0.00095278	3661	0	190	7.532e-05	22	1234.953	12	1.5	hat
0.003212	10655	0.03030069	7389	0.02696108	12743	12907.5138499	23	36.925	hbs
0.00072731	1750	0.03049572	6538	0.02361634	9889	30975.092	10	16	heb
0.00043965	1172	0.00575338	1178	0.00247332	1469	3695.83888693	550	28.389	hin
0.00121054	2893	0.03845013	9488	0.02802628	11256	18671.7887242	15	57.128	hun
4.319e-05	203	0.00172884	575	0.00149675	1100	5598.16572386	6	4.838	hye
0.00015844	419	0.00390985	956	0.00208855	1518	38060.836	0.32	8	isl
0.02517954	70750	0.15703838	33146	0.09374308	66453	30623.2300236	70	198.088	ita
0.04418507	143837	0.12399229	28951	0.04398496	26921	34739.655	132	75	jpn
3.62e-05	143	0.00195926	354	0.00066418	314	3693.529	47	2.553	kan
0.00010531	381	0.00239351	700	0.00043495	1224	5491.091	4	8.52	kat
1.112e-05	27	0.00043539	96	8.217e-05	51	2215.691	18	1.9	khm
0.02250541	82174	0.02475757	5941	0.00309892	4621	21723.4850386	78	21	kor
2.586e-05	135	0.00016327	59	6.847e-05	41	2658.929	5	1	lao
0.00234029	5875	0.00346512	1069	0.00035201	1288	15662.381	2.15	6.402	lav
0.0002094	704	0.0075504	1979	0.00322933	1985	18856.187	4	15.58	lit
6.717e-05	181	0.0051936	965	0.00071301	306	3693.529	37	2.208	mal
0.00017164	981	0.0031274	943	0.00171642	1592	10366.766	3	1.995	mkd
0.00060428	2170	0.00060644	132	7.532e-05	27	25428.08	0.37	1.804	mlt
0.48559568	1255593	0.02524643	5532	0.00131467	485	6022.80157538	300	12.564	msa
1.297e-05	30	0.00041984	90	9.06e-06	60	1324.627	52	7	mya
0.10582998	270045	0.13486947	26888	0.03955701	18978	40518.2127388	27	81.258	nld
0.00436981	14433	0.06036022	13866	0.0106394	14530	53470.697	5	33	nor
0	2	0.00025657	141	0.00047401	244	3693.529	31	2.208	ori
7.664e-05	372	0.00031099	105	0.00085128	327	3031.50578618	104	8.172	pan
0.00234695	5832	0.0938191	21517	0.02271051	14104	20326.4642435	43	112.556	pol
0.35208674	864037	0.10986822	22072	0.02105229	11390	11852.9173512	290	74.918	por
0.00157288	4834	0.02808689	6192	0.01328133	5475	11353.6063289	28	25.19	ron
0.01401232	41784	0.1516584	35178	0.08565274	101395	15487.109845	278	272.908	rus
6.856e-05	191	0.00155497	265	0.00015749	52	5673.689	19	3.7	sin
0.00134281	5476	0.01036716	3485	0.00325322	4205	23432.3606287	7	5.882	slk
0.0004879	1752	0.00987944	2993	0.00428489	2463	28641.568	2	2.733	slv
0.34811446	919417	0.28746349	58791	0.08539987	52955	16776.6240904	500	305.482	spa
0.00259932	8650	0.00688492	1806	0.00260489	1424	9181.68500011	16	8.343	sqi
0.00285522	7362	0.00069974	370	8.901e-05	65	1415.42235424	50	10	swa
0.00728292	17619	0.0927484	20863	0.03363697	39192	40265.4412139	10	62.87	swe
0.00043373	1075	0.00445498	897	0.00165045	496	3923.14947372	66	5.099	tam
3.36e-05	118	0.00285337	628	0.00050067	277	3693.529	80	4.968	tel
0.0183352	46793	0.01166767	2725	0.00030757	215	9396.242	73	5	tha
0.02408795	59095	0.0451629	10189	0.00340584	2658	14623.1660236	70	33.644	tur
1.951e-05	2691	0.01974593	7076	0.00352934	2877	7241.74481868	45	39.008	ukr
0.00022531	586	0.00157829	428	0.00212528	950	3510.6761902	60	4.49	urd
0.00204518	5392	0.01183458	3098	0.00142575	668	3447.16495996	80	9.28	vie
0.00453649	15177	0.09375027	19201	0.01396375	13337	9206.98537851	1575	44.241	zho
