	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-4.306***	2.211***	2.482***	2.299***	-3.526***	1.875	0.212
	(0.495)	(0.151)	(0.103)	(0.110)	(0.856)	(1.273)	(1.121)
pop	0.696***				0.635***	0.237*	0.401***
	(0.059)				(0.081)	(0.102)	(0.085)
gdp.pc	1.109***				0.979***	0.021	0.286
	(0.113)				(0.162)	(0.232)	(0.213)
twit.eig		0.383***			0.062		
		(0.050)			(0.055)		
wiki.eig			0.728***			0.625***	
			(0.051)			(0.122)	
book.eig				0.479***			0.325***
				(0.041)			(0.074)
sigma	0.368	0.518	0.351	0.407	0.367	0.309	0.323
R-squared	0.745	0.486	0.764	0.683	0.750	0.823	0.806
adj. R-squared	0.736	0.477	0.760	0.678	0.737	0.814	0.797
F	88.975	58.524	200.719	133.517	59.970	92.799	83.311
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	64	64	64	64	64	64	64
