	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-4.299***	2.136***	2.547***	2.573***	-3.597***	1.905	0.001
	(0.554)	(0.161)	(0.113)	(0.138)	(0.887)	(1.324)	(1.025)
pop	0.648***				0.594***	0.203	0.384***
	(0.064)				(0.084)	(0.104)	(0.078)
gdp.pc	1.125***				1.010***	0.045	0.385*
	(0.125)				(0.169)	(0.240)	(0.189)
twit.eig		0.332***			0.055		
		(0.052)			(0.054)		
wiki.eig			0.696***			0.609***	
			(0.054)			(0.122)	
book.eig				0.560***			0.372***
				(0.052)			(0.079)
sigma	0.358	0.492	0.326	0.373	0.358	0.301	0.306
R-squared	0.694	0.414	0.742	0.663	0.700	0.789	0.782
adj. R-squared	0.684	0.404	0.737	0.658	0.684	0.778	0.770
F	64.755	40.964	166.717	114.301	43.531	69.728	66.801
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	60	60	60	60	60	60	60
