	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Twit.PopFrom	Wiki.PopFrom	Book.PopFrom	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-4.809***	2.662***	3.073***	3.157***	-0.121	-1.315***	-0.767***	-4.267***	1.211	0.267
	(0.509)	(0.167)	(0.105)	(0.121)	(0.216)	(0.178)	(0.147)	(0.856)	(1.284)	(0.934)
pop	0.703***							0.661***	0.265*	0.380***
	(0.058)							(0.079)	(0.101)	(0.071)
gdp.pc	1.313***							1.224***	0.271	0.442*
	(0.116)							(0.162)	(0.231)	(0.172)
twit.eig		0.401***						0.043		
		(0.053)						(0.054)		
wiki.eig			0.792***						0.595***	
			(0.049)						(0.119)	
book.eig				0.664***						0.437***
				(0.046)						(0.073)
twit.popfrom					0.443***					
					(0.056)					
wiki.popfrom						0.823***				
						(0.050)				
book.popfrom							0.676***			
							(0.042)			
sigma	0.359	0.538	0.327	0.352	0.522	0.322	0.324	0.360	0.303	0.284
R-squared	0.773	0.480	0.808	0.777	0.510	0.813	0.811	0.775	0.840	0.859
adj. R-squared	0.765	0.471	0.805	0.773	0.502	0.810	0.808	0.764	0.832	0.852
F	102.109	56.309	257.376	212.493	63.492	266.071	261.846	67.854	103.331	120.247
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	63	63	63	63	63	63	63	63	63	63
