language	twit.deg	twit.bet	twit.eig	wiki.deg	wiki.bet	wiki.eig	book.deg	book.bet	book.eig	gdp.pc	pop	cultexp
ara	8	46.5	0.274074295	4	0	0.173932356	13	12.45	0.32184332	8719.562565	530	94.456
bul	3	0	0.081800669	2	0	0.095647521	10	0	0.291313211	13487.91432	12	6.176
cat	7	0	0.31745818	4	0	0.164787941	10	0.2	0.277040665	30625.747	9	13.09
ces	12	48	0.427695514	4	0	0.17999466	20	7.456150794	0.474386986	27062.243	12	50.562
dan	6	2.5	0.185277421	4	0	0.17999466	22	6.955555556	0.502651584	37151.508	6	39
deu	10	1.666666667	0.34579525	40	116.4714286	0.881853886	68	489.1734127	0.948573661	38268.2796	185	524.098
ell	6	0	0.169167454	2	0	0.095647521	9	0	0.274316461	26693.08097	15	38.084
eng	64	952.152381	1	69	830.4714286	1	89	1324.423413	1	32952.6547	1500	1617.773
est	1	0	0.056653959	1	0	0.047823761	11	0	0.29388626	20379.764	1.07	6.057
fas	3	0	0.087708747	2	0	0.095647521	7	0	0.204823748	9826.035402	107	15.6
fin	2	0	0.088978363	8	0	0.319300768	17	4.870238095	0.414018475	36235.97	6	31.008
fra	17	57.81666667	0.508144128	32	46.47142857	0.818472173	64	488.3162698	0.908485778	15102.6723	200	455.511
glg	6	0	0.246502861	2	0	0.069140419	4	0	0.118497702	30625.747	4	5.39
hbs	4	0	0.174891292	4	0	0.17999466	22	20.94543651	0.447113949	12907.51385	23	36.925
heb	1	0	0.056653959	4	0	0.17999466	8	0	0.240628269	30975.092	10	16
hin	1	0	0.056653959	1	0	0.047823761	5	0	0.103672287	3695.838887	550	28.389
hun	1	0	0.056653959	6	0	0.258279494	22	8.319642857	0.480815798	18671.78872	15	57.128
ita	12	1.066666667	0.473361877	20	1.904761905	0.667877419	37	27.33134921	0.666951795	30623.23002	70	198.088
jpn	11	11.5	0.271056308	24	15.3047619	0.716780194	21	22.45357143	0.486422611	34739.655	132	75
kor	15	100.2333333	0.39759945	4	0	0.16420577	8	0	0.199138265	21723.48504	78	21
msa	35	128.402381	0.822992158	2	0	0.095647521	2	0	0.045233736	6022.801575	300	12.564
nld	15	8.542857143	0.475438332	16	0	0.582232256	26	5.79484127	0.540485899	40518.21274	27	81.258
nor	5	45.5	0.091662873	8	0	0.319300768	19	2.611111111	0.450551692	53470.697	5	33
pol	1	0	0.056653959	14	0	0.521210983	26	14.43988095	0.547185866	20326.46424	43	112.556
por	21	32.4952381	0.570558612	12	0	0.459858982	13	0	0.351163111	11852.91735	290	74.918
ron	2	0	0.095941124	4	0	0.17999466	12	0	0.335430902	11353.60633	28	25.19
rus	11	121.3333333	0.221932505	20	9.571428571	0.641438481	79	1454.82381	0.857987629	15487.10985	278	272.908
slk	3	0	0.105115247	1	0	0.047823761	15	0.476190476	0.361352292	23432.36063	7	5.882
slv	1	0	0.056653959	1	0	0.047823761	9	0	0.244468049	28641.568	2	2.733
spa	28	100.5880952	0.693458419	26	83.3047619	0.722866817	47	212.7281746	0.777157259	16776.62409	500	305.482
sqi	5	0	0.214178457	1	0	0.047823761	8	65	0.199333626	9181.685	16	8.343
swe	4	88	0.123694047	20	6.5	0.637980709	27	11.46547619	0.57149711	40265.44121	10	62.87
tam	1	0	0.056653959	1	0	0.047823761	2	0	0.063580699	3923.149474	66	5.099
tha	6	0	0.220341261	1	0	0.047823761	1	0	0.034220195	9396.242	73	5
tur	10	46.75	0.310011191	6	0	0.258279494	6	0	0.170603552	14623.16602	70	33.644
ukr	2	0	0.02514671	4	0	0.156999522	4	0	0.127161398	7241.744819	45	39.008
vie	3	0	0.101705125	1	0	0.047823761	1	0	0.029360504	3447.16496	80	9.28
zho	5	0	0.163687302	10	0	0.395978162	18	111.5988095	0.35468226	9206.985379	1575	44.241
