	tweight.new	tcommon.num.new
fra (pp) nld	0.00153058410398779	666
fra (pp) spa	0.00205924438258881	4208
eng (pp) vie	0.715121951219512	4398
nld (pp) tur	0.00669074190034226	1560
ita (pp) spa	0.00465336379135861	9509
ces (pp) fil	0.00333448494047226	859
cat (pp) eng	0.00105502434972625	11457
eng (pp) zho	0.397669307012815	9589
rus (pp) ukr	0.733286418015482	2084
eng (pp) swa	0.930447125621008	5244
ces (pp) spa	0.0015977739803119	3265
kor (pp) tha	0.0311342600099889	4800
nor (pp) swe	0.0195607037482242	716
jpn (pp) kor	0.0678800753150196	19684
eng (pp) tam	0.652234636871508	934
jpn (pp) msa	0.00137494286207283	2271
eng (pp) pol	0.617277933471427	5066
spa (pp) swa	0.0951029098651526	536
eng (pp) kor	0.135477374457725	39286
ita (pp) msa	0.00229338774175776	3788
fil (pp) por	0.0077970383496073	12611
afr (pp) eng	0.00196667147046378	21357
eng (pp) ron	0.596230158730159	3005
fil (pp) ita	0.0184442302951525	1646
eng (pp) msa	0.60221528662806	994682
eng (pp) fas	0.31261493196028	850
eng (pp) ita	0.523923713049909	46756
ara (pp) fra	0.0163484236656453	2417
ces (pp) por	0.00305241284053693	4937
deu (pp) eng	0.00339445819844716	36862
fil (pp) nld	0.0205272931183468	8932
eng (pp) tur	0.202377786736891	47186
eng (pp) por	0.410730990120619	664320
eng (pp) jpn	0.0363003597412568	94469
eng (pp) sqi	0.71619786614937	3692
eng (pp) slv	0.471300448430493	1051
ara (pp) msa	0.00534841270081522	8834
afr (pp) nld	0.0519548270853634	22607
eng (pp) glg	0.575252633842185	5351
eng (pp) mlt	0.827854671280277	957
msa (pp) rus	0.00255388449533022	621
bul (pp) rus	0.00215908109508593	525
eng (pp) eus	0.298461538461538	582
eng (pp) hat	0.706153846153846	1836
fra (pp) msa	0.00171459189140918	2832
afr (pp) fil	0.00983265466148573	2533
msa (pp) zho	0.0425911334135114	1027
por (pp) sqi	0.192434529582929	992
ell (pp) rus	0.00536685872207074	1305
dan (pp) nor	0.215151515151515	3550
fra (pp) hat	0.446923076923077	1162
glg (pp) spa	0.0023675438029859	4838
eng (pp) fil	0.901809317148724	232316
kor (pp) msa	0.00682991212111122	11281
ces (pp) eng	0.00192670633405973	20923
msa (pp) tha	0.00460527595981086	710
fil (pp) spa	0.00815036007414846	16655
eng (pp) heb	0.433510638297872	1467
msa (pp) por	0.0463797345012919	75015
cat (pp) spa	0.0119223790144989	24363
msa (pp) spa	0.0233040106329045	47621
msa (pp) sqi	0.10533462657614	543
eng (pp) rus	0.123260911584601	29972
eng (pp) tha	0.255216610127715	39347
spa (pp) sqi	0.546653734238603	2818
ces (pp) msa	0.00246048779897137	4064
eng (pp) hun	0.543921731890092	2613
cat (pp) msa	0.00103529383273648	1710
msa (pp) tur	0.0278695133771949	6498
jpn (pp) rus	0.0168284949354126	4092
kor (pp) zho	0.0546178409986314	1317
msa (pp) swa	0.164655784244145	928
eng (pp) nor	0.569757575757576	9401
eng (pp) hbs	0.682531894013739	5564
aze (pp) tur	0.00372279741634428	868
deu (pp) nld	0.00194885183210458	848
jpn (pp) tha	0.0075889758774348	1170
fra (pp) ita	0.0100289101544116	895
ita (pp) por	0.00343388716150337	5554
eng (pp) nld	0.520046974683312	226287
ara (pp) fas	0.246414122839279	670
fil (pp) msa	0.0464338365507158	76695
ces (pp) slk	0.274268526114301	1003
eng (pp) swe	0.429351983389793	15716
fil (pp) kor	0.00810050278982833	2349
ara (pp) eng	0.0107665524959102	116919
jpn (pp) zho	0.104424998963215	2518
eng (pp) slk	0.720262510254307	2634
por (pp) spa	0.0417050817531765	85223
eng (pp) fra	0.538273709272674	79580
glg (pp) por	0.00329972196271939	5337
deu (pp) fra	0.00645955506855245	955
kor (pp) vie	0.0832520325203252	512
eng (pp) spa	0.346116503904147	707278
ell (pp) eng	0.00112307558429444	12196
eng (pp) fin	0.706690871369295	2725
msa (pp) nld	0.0158298247871891	6888
eng (pp) est	0.464388835418672	965
ell (pp) jpn	0.00597865222680683	15559
eng (pp) lav	0.371841155234657	5047
eng (pp) hin	0.810418445772844	949
deu (pp) tur	0.00333250413882432	777
nld (pp) fra	0.00450477871796433	666
spa (pp) fra	0.0284626258936845	4208
tur (pp) nld	0.00358515195528672	1560
spa (pp) ita	0.106552968333296	9509
fil (pp) ces	0.0349570666992227	859
eng (pp) cat	0.35387323943662	11457
spa (pp) nld	0.00133064293725065	579
eng (pp) aze	0.434575733544806	548
ukr (pp) rus	0.00857052381363634	2084
spa (pp) ron	0.154166666666667	777
spa (pp) ces	0.132869409514508	3265
tha (pp) kor	0.0165527515500962	4800
swe (pp) nor	0.0433939393939394	716
kor (pp) jpn	0.00756371170592363	19684
eng (pp) dan	0.758666555823427	9126
msa (pp) dan	0.0818023110815529	984
kor (pp) eng	0.00361767361467623	39286
msa (pp) ita	0.0424463817485041	3788
por (pp) fil	0.0489536549293314	12611
msa (pp) glg	0.100623521823264	936
por (pp) fra	0.00854961005931968	1264
eng (pp) afr	0.861794851101606	21357
spa (pp) kor	0.00340365953748853	987
msa (pp) deu	0.0167259834634694	1236
ita (pp) fil	0.00638947871014825	1646
msa (pp) eng	0.0915958567019646	994682
ita (pp) eng	0.00430555280577819	46756
fra (pp) ara	0.00659224368118306	2417
por (pp) ces	0.20091156960892	4937
eng (pp) deu	0.498829451804539	36862
por (pp) cat	0.0467630343464295	1514
nld (pp) fil	0.0346724324660049	8932
tur (pp) eng	0.00434514959991123	47186
por (pp) eng	0.0611742843685209	664320
jpn (pp) eng	0.00869923149989433	94469
por (pp) fin	0.136410788381743	526
msa (pp) ara	0.0240942824491399	8834
spa (pp) eus	0.768205128205128	1498
nld (pp) afr	0.912234686465983	22607
spa (pp) deu	0.0163606100382965	1209
por (pp) hbs	0.116045142296369	946
rus (pp) bul	0.321494182486222	525
msa (pp) fra	0.0191554554493618	2832
fil (pp) afr	0.102211282382374	2533
por (pp) mlt	0.591695501730104	684
rus (pp) ell	0.0426345192590415	1305
nor (pp) dan	0.295120126361294	3550
hat (pp) fra	0.00785968899440623	1162
spa (pp) glg	0.520103203612126	4838
fil (pp) eng	0.0213929507577031	232316
msa (pp) kor	0.0389024146326324	11281
eng (pp) ces	0.851462987832174	20923
spa (pp) fil	0.0646517423557224	16655
por (pp) msa	0.0454167057676764	75015
spa (pp) cat	0.752501853224611	24363
spa (pp) dan	0.154792584587247	1862
spa (pp) msa	0.0288314196542361	47621
por (pp) dan	0.0922769972566298	1110
rus (pp) eng	0.00275998863664094	29972
tha (pp) eng	0.00362329083430906	39347
sqi (pp) spa	0.00137902820107778	2818
msa (pp) ces	0.165384771904122	4064
eng (pp) bul	0.369871402327005	604
msa (pp) cat	0.0528169014084507	1710
tur (pp) msa	0.00393411656439861	6498
rus (pp) jpn	0.00157237900328386	4092
zho (pp) kor	0.00454166120655765	1317
tur (pp) aze	0.688342585249802	868
nld (pp) deu	0.0114754320202444	848
ita (pp) fra	0.00605371914801512	895
eng (pp) cym	0.903296703296703	822
por (pp) ita	0.0622352703883822	5554
nld (pp) eng	0.0208377668697307	226287
fas (pp) ara	0.00182739067703461	670
msa (pp) fil	0.297716324225285	76695
spa (pp) hbs	0.216265947006869	1763
slk (pp) ces	0.0408171570422822	1003
swe (pp) eng	0.00144721678277889	15716
kor (pp) fil	0.00911839944722857	2349
eng (pp) ara	0.318890582937626	116919
msa (pp) afr	0.0647647486078606	1605
spa (pp) por	0.0526910632993881	85223
fra (pp) eng	0.00732816948164574	79580
por (pp) glg	0.573747581165341	5337
