cultexp
eng	243.175
fra	184.354
deu	171.477
spa	42.262
ita	40.615
pol	33.452
nld	25.6
ces	21
hun	13.622
dan	13
swe	12.2
ukr	9.38
nor	9
jpn	6
zho	5.1
rus	4.963
hbs	4.228
hin	4.1
ell	4.052
por	4
cat	3.91
fin	3.8
ron	3.64
slv	2
slk	1.8
glg	1.61
tur	1.085
ara	1.048
msa	1
bul	0.845
est	0.7
tam	0.59
twit.eig
eng	1
msa	0.822992157666438
spa	0.693458419022746
por	0.570558612190605
fra	0.508144128195
nld	0.475438332157708
ita	0.473361877348239
ces	0.427695513933462
deu	0.345795250405766
cat	0.317458179984351
tur	0.310011191468417
ara	0.274074294755999
jpn	0.271056308480583
glg	0.246502861211265
rus	0.221932504943845
dan	0.185277421402819
hbs	0.174891292111783
ell	0.169167454135753
zho	0.163687301868239
swe	0.123694047350877
slk	0.105115247277254
ron	0.0959411238901881
nor	0.0916628728942925
fin	0.0889783632691348
bul	0.0818006691149125
est	0.0566539590299202
slv	0.0566539590299202
hin	0.0566539590299202
hun	0.0566539590299202
pol	0.0566539590299202
tam	0.0566539590299202
ukr	0.0251467100849923
wiki.eig
eng	1
deu	0.881853885828308
fra	0.818472173093032
spa	0.722866816754267
jpn	0.716780194239308
ita	0.66787741888798
rus	0.64143848111861
swe	0.637980708718283
nld	0.582232256103463
pol	0.521210982692337
por	0.459858981921982
zho	0.395978162288804
fin	0.319300767585279
nor	0.319300767585278
tur	0.258279494174153
hun	0.258279494174153
ces	0.179994659584018
dan	0.179994659584018
ron	0.179994659584018
hbs	0.179994659584018
ara	0.17393235586663
cat	0.164787940512071
ukr	0.15699952204685
bul	0.0956475212764952
ell	0.0956475212764952
msa	0.0956475212764951
glg	0.069140419235576
hin	0.0478237606382476
tam	0.0478237606382476
slk	0.0478237606382476
est	0.0478237606382476
slv	0.0478237606382476
book.eig
eng	1
deu	0.948573661161242
fra	0.908485778147254
rus	0.857987629055577
spa	0.777157259129471
ita	0.666951794601442
swe	0.571497110044562
pol	0.547185866425525
nld	0.540485899013471
dan	0.502651584265192
jpn	0.486422610783059
hun	0.480815797918296
ces	0.474386986264056
nor	0.450551691773208
hbs	0.447113949111919
fin	0.414018475113666
slk	0.361352292038189
zho	0.354682260471156
por	0.351163110701693
ron	0.335430901597671
ara	0.321843319844543
est	0.293886259592247
bul	0.291313211135865
cat	0.277040665022585
ell	0.274316460540841
slv	0.244468049041304
tur	0.170603552474493
ukr	0.127161398349911
glg	0.11849770176385
hin	0.103672287119184
tam	0.0635806991749557
msa	0.045233736307588
numppl
France	172
United States	144
Germany	122
United Kingdom	106
Russian Federation	67
Austria	43
Italy	39
Poland	34
Spain	23
Czech Republic	21
Netherlands	19
Switzerland	17
Ukraine	14
Hungary	14
Denmark	13
Sweden	12
Canada	11
Belgium	11
India	10
Ireland	9
Norway	9
Japan	6
China	5
Australia	4
Finland	4
Romania	4
Mexico	4
Greece	4
Brazil	2
Lithuania	2
Slovakia	2
Slovenia	2
Croatia	2
New Zealand	2
Portugal	2
Kenya	1
Faroe Islands	1
Serbia	1
Luxembourg	1
Georgia	1
Argentina	1
Indonesia	1
Cuba	1
Iceland	1
Iran, Islamic Republic of	1
Guatemala	1
Bosnia and Herzegovina	1
Chile	1
Latvia	1
Belarus	1
Guadeloupe	1
Bulgaria	1
Virgin Islands, U.S.	1
Pakistan	1
Estonia	1
Egypt	1
Uruguay	1
Peru	1
South Africa	1
Nicaragua	1
