	Language	Code	Edits	Editors	Avg. edits per editors	% of total editors
1	Albanian	sqi	196,685	1,996	98.54	0.08
2	Arabic	ara	2,178,719	18,258	119.33	0.71
3	Bengali	ben	147,157	1,010	145.7	0.04
4	Bulgarian	bul	1,130,405	6,769	167	0.26
5	Catalan	cat	1,548,366	10,938	141.56	0.43
6	Chinese	zho	7,302,770	50,341	145.07	1.96
7	Czech	ces	1,697,926	15,230	111.49	0.59
8	Danish	dan	965,082	12,270	78.65	0.48
9	Dutch	nld	6,393,791	46,951	136.18	1.83
10	English	eng	198,361,048	1,589,250	124.81	62.01
11	Esperanto	epo	455,591	1,786	255.09	0.07
12	Estonian	est	366,370	3,005	121.92	0.12
13	Finnish	fin	2,926,115	20,811	140.6	0.81
14	French	fra	23,070,757	142,795	161.57	5.57
15	Galician	glg	246,354	1,536	160.39	0.06
16	German	deu	33,977,378	224,215	151.54	8.75
17	Greek (Modern)	ell	721,969	6,040	119.53	0.24
18	Hebrew	heb	5,467,149	18,998	287.77	0.74
19	Hindi	hin	310,187	1,431	216.76	0.06
20	Hungarian	hun	2,713,725	18,033	150.49	0.7
21	Italian	ita	11,923,658	72,981	163.38	2.85
22	Japanese	jpn	16,149,315	102,857	157.01	4.01
23	Korean	kor	2,634,092	16,464	159.99	0.64
24	Latin	lat	326,569	1,375	237.5	0.05
25	Lithuanian	lit	363,853	3,584	101.52	0.14
26	Malay	msa	969,369	11,005	88.08	0.43
27	Malayalam	mal	313,554	1,435	218.5	0.06
28	Norwegian	nor	1,789,110	22,777	78.55	0.89
29	Persian	fas	1,603,849	14,002	114.54	0.55
30	Polish	pol	6,589,015	47,015	140.15	1.83
31	Portuguese	por	5,168,734	60,487	85.45	2.36
32	Romanian	ron	852,536	11,157	76.41	0.44
33	Russian	rus	12,445,887	81,925	151.92	3.2
34	Serbo-Croatian	hbs	2,030,039	10,901	186.23	0.43
35	Slovak	slk	433,865	4,526	95.86	0.18
36	Slovenian	slv	456,115	5,556	82.09	0.22
37	Spanish	spa	13,645,596	145,487	93.79	5.68
38	Swedish	swe	3,521,224	30,498	115.46	1.19
39	Tamil	tam	304,589	1,289	236.3	0.05
40	Thai	tha	905,118	7,155	126.5	0.28
41	Turkish	tur	2,062,037	23,926	86.18	0.93
42	Ukrainian	ukr	1,839,988	10,028	183.49	0.39
43	Vietnamese	vie	1,151,775	8,244	139.71	0.32
