Language	Code	EV Centrality.twit	EV Centrality.wiki	EV Centrality
Afrikaans	afr	0.28		0.03
Albanian	sqi	0.21	0.05	0.2
Arabic	ara	0.27	0.17	0.32
Armenian	hye			0.06
Azerbaijani	aze	0.09		0.06
Bashkir	bak			0.03
Basque	eus	0.1		0.16
Belarusian	bel			0.06
Bengali	ben		0.05	0.1
Bulgarian	bul	0.08	0.1	0.29
Catalan	cat	0.32	0.16	0.28
Chinese	zho	0.16	0.4	0.35
Czech	ces	0.43	0.18	0.47
Danish	dan	0.19	0.18	0.5
Dutch	nld	0.48	0.58	0.54
English	eng	1	1	1
Esperanto	epo		0.05	
Estonian	est	0.06	0.05	0.29
Filipino	fil	0.58		
Finnish	fin	0.09	0.32	0.41
French	fra	0.51	0.82	0.91
Galician	glg	0.25	0.07	0.12
Georgian	kat			0.06
German	deu	0.35	0.88	0.95
Greek (Modern)	ell	0.17	0.1	0.27
Haitian	hat	0.11		
Hebrew	heb	0.06	0.18	0.24
Hindi	hin	0.06	0.05	0.1
Hungarian	hun	0.06	0.26	0.48
Icelandic	isl			0.18
Italian	ita	0.47	0.67	0.67
Japanese	jpn	0.27	0.72	0.49
Kara-Kalpak	kaa			0.03
Kazakh	kaz			0.07
Kirghiz	kir			0.06
Korean	kor	0.4	0.16	0.2
Latin	lat		0.05	0.26
Latvian	lav	0.06		0.16
Lithuanian	lit		0.05	0.23
Macedonian	mkd			0.09
Malay	msa	0.82	0.1	0.05
Malayalam	mal		0.05	0.03
Maltese	mlt	0.09		
Maori	mri			0.03
Marathi	mar			0.03
Moldavian	mol			0.13
Mongolian	mon			0.04
Norwegian	nor	0.09	0.32	0.45
Occitan	oci			0.03
Persian	fas	0.09	0.1	0.2
Polish	pol	0.06	0.52	0.55
Portuguese	por	0.57	0.46	0.35
Romanian	ron	0.1	0.18	0.34
Russian	rus	0.22	0.64	0.86
Sanskrit	san			0.07
Serbo-Croatian	hbs	0.17	0.18	0.45
Sinhala	sin			0.03
Slovak	slk	0.11	0.05	0.36
Slovenian	slv	0.06	0.05	0.24
Spanish	spa	0.69	0.72	0.78
Swahili	swa	0.14		
Swedish	swe	0.12	0.64	0.57
Tajik	tgk			0.03
Tamil	tam	0.06	0.05	0.06
Tatar	tat			0.06
Thai	tha	0.22	0.05	0.03
Tibetan	bod			0.05
Turkish	tur	0.31	0.26	0.17
Turkmen	tuk			0.03
Uighur	uig			0.04
Ukrainian	ukr	0.03	0.16	0.13
Urdu	urd			0.07
Uzbek	uzb			0.06
Vietnamese	vie	0.1	0.05	0.03
Welsh	cym	0.06		0.07
Yiddish	yid			0.07
