source	target	weight	common_num
fra	spa	0.158315495	36240
eng	zho	0.646049481	40475
por	eng	0.015701259	2297
lat	nld	0.005324546	593
slk	eng	0.002720549	398
fra	mkd	0.093309408	364
spa	fra	0.035171075	8387
ron	deu	0.00256398	749
spa	ara	0.02714606	339
cat	spa	0.023341051	5343
hbs	mkd	0.134324532	524
rus	slk	0.096125452	1888
rus	lit	0.147536739	2279
jpn	zho	0.114860335	7196
deu	fra	0.097092631	23153
lat	jpn	0.002330148	305
ces	hun	0.024641292	1355
lat	ces	0.006207132	400
hbs	eng	0.026651811	3899
swe	ces	0.004919152	317
deu	hbs	0.111777245	5034
fra	ces	0.064352441	4147
kor	fra	0.004692552	1119
deu	swe	0.052268162	3747
fin	fra	0.001358701	324
ara	spa	0.004932069	1129
rus	ara	0.122837924	1534
spa	ron	0.025888215	478
slk	deu	0.001198121	350
deu	nor	0.05080243	2333
swe	est	0.037709294	777
bul	rus	0.013446576	1113
slv	eng	0.003178531	465
spa	ell	0.032966231	904
fra	heb	0.0622206	682
nor	eng	0.009091282	1330
rus	uig	0.262096774	390
pol	ita	0.005281631	316
por	ita	0.005966906	357
jpn	rus	0.00612526	507
pol	eng	0.015537206	2273
eng	hbs	0.513389289	23121
zho	kaz	0.130806846	321
spa	bul	0.015888431	409
fin	eng	0.010793334	1579
deu	eus	0.081570227	320
eng	ara	0.535233824	6684
heb	fra	0.005363516	1279
spa	por	0.069605599	5201
spa	hbs	0.024691358	1112
est	deu	0.001526749	446
tur	deu	0.002358587	689
fra	nld	0.104264126	11612
lat	pol	0.007533889	578
swe	dan	0.115943147	7513
ukr	eng	0.002809411	411
hbs	ita	0.010128698	606
deu	sqi	0.086280894	583
deu	eng	0.191586805	28028
nor	deu	0.006753981	1973
spa	hun	0.014748404	811
ara	msa	0.189992614	1029
spa	cat	0.200844257	3616
spa	swe	0.009220511	661
ita	dan	0.00950632	616
spa	deu	0.022226863	6493
ces	eng	0.021313246	3118
jpn	deu	0.007154496	2090
cat	fra	0.002889337	689
jpn	nld	0.002998985	334
rus	hin	0.157729606	553
hye	rus	0.0057749	478
rus	nld	0.009293263	1035
eng	nld	0.659264979	73423
pol	rus	0.018846953	1560
lat	spa	0.012659997	2898
jpn	fra	0.035963651	8576
rus	bak	0.910358566	457
bel	rus	0.008541536	707
kaz	rus	0.008082443	669
fin	deu	0.002293547	670
fra	hun	0.071777992	3947
spa	pol	0.019395203	1488
deu	pol	0.1318561	10116
fra	isl	0.053576911	349
yid	deu	0.001044077	305
eng	pol	0.588933785	45183
swe	nor	0.13363674	6137
nor	pol	0.005982795	459
slk	ces	0.01716272	1106
fra	kor	0.072343092	1616
eng	glg	0.182201603	432
swe	jpn	0.004599176	602
ita	nld	0.015740184	1753
rus	pol	0.043925965	3370
zho	uig	0.565188172	841
ita	hbs	0.062971845	2836
fra	hbs	0.107958078	4862
fra	ell	0.176135949	4830
deu	isl	0.048664415	317
ita	pol	0.041384254	3175
ces	rus	0.010812835	895
ukr	rus	0.013229111	1095
lav	rus	0.006511864	539
slv	deu	0.001629445	476
deu	cat	0.095478782	1719
urd	eng	0.002119021	310
deu	fin	0.071189298	3294
hun	pol	0.004509906	346
heb	eng	0.019351443	2831
jpn	ita	0.005147919	308
deu	ces	0.270972347	17462
nld	eng	0.019515496	2855
ara	deu	0.00378264	1105
deu	ara	0.043481742	543
eng	mri	0.971786834	310
zho	bod	0.889534884	306
eng	por	0.626677908	46826
fra	bul	0.093038614	2395
eng	nor	0.650893888	29891
eng	ell	0.605316899	16599
swe	pol	0.012786757	981
fra	cat	0.180071095	3242
glg	spa	0.003438032	787
eng	mkd	0.388874648	1517
pol	lit	0.024017609	371
rus	jpn	0.015134499	1981
deu	ron	0.084705373	1564
dan	pol	0.003949426	303
eng	est	0.570298471	11751
deu	tur	0.094323733	1120
heb	spa	0.003140972	719
deu	zho	0.063080607	3952
hun	deu	0.009561008	2793
eng	kor	0.765959352	17110
nld	jpn	0.003269846	428
fra	eng	0.193541772	28314
fra	dan	0.055294063	3583
spa	zho	0.006592179	413
rus	vie	0.684478372	538
dan	spa	0.005128653	1174
cat	eus	0.079785878	313
por	fra	0.006621572	1579
fra	ron	0.229636049	4240
ces	fra	0.003702881	883
hbs	hun	0.01416647	779
por	deu	0.004511783	1318
eng	fas	0.705004855	7987
jpn	eng	0.023760373	3476
rus	deu	0.036950062	10794
slv	hbs	0.015676348	706
dan	rus	0.006403131	530
por	spa	0.011733869	2686
rus	tur	0.057015328	677
fra	lav	0.051197053	417
fra	pol	0.083941606	6440
rus	fas	0.065407362	741
nld	ces	0.006036436	389
nor	fin	0.017267835	799
zho	deu	0.003967493	1159
hun	eng	0.021750721	3182
eng	urd	0.326368159	328
deu	lit	0.138538227	2140
fra	jpn	0.075580818	9893
rus	sqi	0.048690247	329
bod	eng	0.002911944	426
deu	por	0.060183884	4497
nld	dan	0.012500193	810
fra	deu	0.110665334	32328
kat	rus	0.008046199	666
fra	swe	0.048850575	3502
nld	deu	0.021353946	6238
rus	bel	0.647278549	1213
hbs	fra	0.004101265	978
ita	sqi	0.078141187	528
fas	deu	0.00113308	331
eng	slk	0.335318976	6586
fra	fas	0.061788331	700
fra	zho	0.063623304	3986
rus	swe	0.013196072	946
jpn	dan	0.008642109	560
swe	rus	0.007079689	586
eng	lav	0.474033149	3861
fra	rus	0.095599961	7913
swe	fra	0.005602546	1336
rus	zho	0.042537909	2665
rus	kir	0.827225131	1264
fra	por	0.152768298	11415
est	eng	0.011661449	1706
lat	fra	0.011708315	2792
rus	ron	0.049718371	918
fra	ara	0.165999359	2073
nld	nor	0.007621453	350
cat	deu	0.001157043	338
dan	fra	0.004289974	1023
eng	rus	0.49711255	41147
est	rus	0.027859663	2306
kor	zho	0.022250599	1394
swe	hun	0.005946644	327
pol	fra	0.004860293	1159
aze	rus	0.0052554	435
hbs	deu	0.004703482	1374
san	eng	0.008127469	1189
