source	target	value	common_num
fra	nld	0.001530584	666
fra	spa	0.002059244	4208
eng	vie	0.715121951	4398
nld	tur	0.006690742	1560
ita	spa	0.004653364	9509
ces	fil	0.003334485	859
cat	eng	0.001055024	11457
eng	zho	0.397669307	9589
rus	ukr	0.733286418	2084
eng	swa	0.930447126	5244
ces	spa	0.001597774	3265
kor	tha	0.03113426	4800
nor	swe	0.019560704	716
jpn	kor	0.067880075	19684
eng	tam	0.652234637	934
jpn	msa	0.001374943	2271
eng	pol	0.617277933	5066
spa	swa	0.09510291	536
eng	kor	0.135477374	39286
ita	msa	0.002293388	3788
fil	por	0.007797038	12611
afr	eng	0.001966671	21357
eng	ron	0.596230159	3005
fil	ita	0.01844423	1646
eng	msa	0.602215287	994682
eng	fas	0.312614932	850
eng	ita	0.523923713	46756
ara	fra	0.016348424	2417
ces	por	0.003052413	4937
deu	eng	0.003394458	36862
fil	nld	0.020527293	8932
eng	tur	0.202377787	47186
eng	por	0.41073099	664320
eng	jpn	0.03630036	94469
eng	sqi	0.716197866	3692
eng	slv	0.471300448	1051
ara	msa	0.005348413	8834
afr	nld	0.051954827	22607
eng	glg	0.575252634	5351
eng	mlt	0.827854671	957
msa	rus	0.002553884	621
bul	rus	0.002159081	525
eng	eus	0.298461538	582
eng	hat	0.706153846	1836
fra	msa	0.001714592	2832
afr	fil	0.009832655	2533
msa	zho	0.042591133	1027
por	sqi	0.19243453	992
ell	rus	0.005366859	1305
dan	nor	0.215151515	3550
fra	hat	0.446923077	1162
glg	spa	0.002367544	4838
eng	fil	0.901809317	232316
kor	msa	0.006829912	11281
ces	eng	0.001926706	20923
msa	tha	0.004605276	710
fil	spa	0.00815036	16655
eng	heb	0.433510638	1467
msa	por	0.046379735	75015
cat	spa	0.011922379	24363
msa	spa	0.023304011	47621
msa	sqi	0.105334627	543
eng	rus	0.123260912	29972
eng	tha	0.25521661	39347
spa	sqi	0.546653734	2818
ces	msa	0.002460488	4064
eng	hun	0.543921732	2613
cat	msa	0.001035294	1710
msa	tur	0.027869513	6498
jpn	rus	0.016828495	4092
kor	zho	0.054617841	1317
msa	swa	0.164655784	928
eng	nor	0.569757576	9401
eng	hbs	0.682531894	5564
aze	tur	0.003722797	868
deu	nld	0.001948852	848
jpn	tha	0.007588976	1170
fra	ita	0.01002891	895
ita	por	0.003433887	5554
eng	nld	0.520046975	226287
ara	fas	0.246414123	670
fil	msa	0.046433837	76695
ces	slk	0.274268526	1003
eng	swe	0.429351983	15716
fil	kor	0.008100503	2349
ara	eng	0.010766552	116919
jpn	zho	0.104424999	2518
eng	slk	0.72026251	2634
por	spa	0.041705082	85223
eng	fra	0.538273709	79580
glg	por	0.003299722	5337
deu	fra	0.006459555	955
kor	vie	0.083252033	512
eng	spa	0.346116504	707278
ell	eng	0.001123076	12196
eng	fin	0.706690871	2725
msa	nld	0.015829825	6888
eng	est	0.464388835	965
ell	jpn	0.005978652	15559
eng	lav	0.371841155	5047
eng	hin	0.810418446	949
deu	tur	0.003332504	777
nld	fra	0.004504779	666
spa	fra	0.028462626	4208
tur	nld	0.003585152	1560
spa	ita	0.106552968	9509
fil	ces	0.034957067	859
eng	cat	0.353873239	11457
spa	nld	0.001330643	579
eng	aze	0.434575734	548
ukr	rus	0.008570524	2084
spa	ron	0.154166667	777
spa	ces	0.13286941	3265
tha	kor	0.016552752	4800
swe	nor	0.043393939	716
kor	jpn	0.007563712	19684
eng	dan	0.758666556	9126
msa	dan	0.081802311	984
kor	eng	0.003617674	39286
msa	ita	0.042446382	3788
por	fil	0.048953655	12611
msa	glg	0.100623522	936
por	fra	0.00854961	1264
eng	afr	0.861794851	21357
spa	kor	0.00340366	987
msa	deu	0.016725983	1236
ita	fil	0.006389479	1646
msa	eng	0.091595857	994682
ita	eng	0.004305553	46756
fra	ara	0.006592244	2417
por	ces	0.20091157	4937
eng	deu	0.498829452	36862
por	cat	0.046763034	1514
nld	fil	0.034672432	8932
tur	eng	0.00434515	47186
por	eng	0.061174284	664320
jpn	eng	0.008699231	94469
por	fin	0.136410788	526
msa	ara	0.024094282	8834
spa	eus	0.768205128	1498
nld	afr	0.912234686	22607
spa	deu	0.01636061	1209
por	hbs	0.116045142	946
rus	bul	0.321494182	525
msa	fra	0.019155455	2832
fil	afr	0.102211282	2533
por	mlt	0.591695502	684
rus	ell	0.042634519	1305
nor	dan	0.295120126	3550
hat	fra	0.007859689	1162
spa	glg	0.520103204	4838
fil	eng	0.021392951	232316
msa	kor	0.038902415	11281
eng	ces	0.851462988	20923
spa	fil	0.064651742	16655
por	msa	0.045416706	75015
spa	cat	0.752501853	24363
spa	dan	0.154792585	1862
spa	msa	0.02883142	47621
por	dan	0.092276997	1110
rus	eng	0.002759989	29972
tha	eng	0.003623291	39347
sqi	spa	0.001379028	2818
msa	ces	0.165384772	4064
eng	bul	0.369871402	604
msa	cat	0.052816901	1710
tur	msa	0.003934117	6498
rus	jpn	0.001572379	4092
zho	kor	0.004541661	1317
tur	aze	0.688342585	868
nld	deu	0.011475432	848
ita	fra	0.006053719	895
eng	cym	0.903296703	822
por	ita	0.06223527	5554
nld	eng	0.020837767	226287
fas	ara	0.001827391	670
msa	fil	0.297716324	76695
spa	hbs	0.216265947	1763
slk	ces	0.040817157	1003
swe	eng	0.001447217	15716
kor	fil	0.009118399	2349
eng	ara	0.318890583	116919
msa	afr	0.064764749	1605
spa	por	0.052691063	85223
fra	eng	0.007328169	79580
por	glg	0.573747581	5337
fra	deu	0.012923393	955
vie	kor	0.001765627	512
spa	eng	0.065130096	707278
eng	ell	0.398444902	12196
nld	msa	0.004170236	6888
jpn	ell	0.508314548	15559
msa	hbs	0.103778214	846
tur	deu	0.010514635	777
