source	target	weight	common_num
fra	spa	0.032587104	4741
eng	zho	0.202657873	10202
cat	spa	0.023349165	3397
jpn	zho	0.043046423	2167
deu	fra	0.064680136	9236
spa	zho	0.01023023	515
deu	swe	0.084759656	2585
fin	fra	0.004474947	639
deu	nor	0.067260833	1532
jpn	rus	0.012828807	1051
eng	hbs	0.282359417	3078
fra	nld	0.046431386	2180
deu	eng	0.031232972	49637
spa	swe	0.022821169	696
ces	eng	0.00192292	3056
jpn	nld	0.013482141	633
eng	nld	0.271261528	12736
pol	rus	0.012987489	1064
fra	hun	0.029667831	535
jpn	pol	0.014761246	694
deu	pol	0.061193236	2877
eng	pol	0.174050835	8183
ita	nld	0.015420332	724
ita	pol	0.014718707	692
deu	fin	0.061505934	1280
jpn	por	0.010431994	631
eng	por	0.177162035	10716
glg	spa	0.004082839	594
ell	eng	0.001332704	2118
eng	est	0.2359401	709
deu	tur	0.048608209	1163
deu	zho	0.02731372	1375
eng	kor	0.163447522	2691
eng	ita	0.18914512	13804
deu	hbs	0.07100266	774
eng	lat	0.492363636	677
por	spa	0.016035797	2333
fra	pol	0.029628842	1393
eng	fas	0.200257106	2804
fra	jpn	0.018209748	1873
deu	por	0.029857655	1806
eng	slk	0.228015908	1032
fra	zho	0.016805387	846
rus	swe	0.018132337	553
fra	rus	0.022972231	1882
fra	por	0.024517665	1483
eng	rus	0.177821178	14568
deu	ita	0.051575067	3764
fra	swe	0.035969572	1097
nld	spa	0.006296095	916
deu	jpn	0.030673654	3155
deu	hun	0.066821938	1205
eng	tha	0.184626136	1321
eng	hun	0.195696778	3529
eng	nor	0.267462791	6092
jpn	swe	0.020099679	613
ara	eng	0.002133082	3390
rus	spa	0.008172551	1189
rus	ukr	0.303151177	3040
nor	swe	0.029608499	903
deu	heb	0.030055795	571
fra	ita	0.045052822	3288
eng	swe	0.287953308	8782
eng	mal	0.465505226	668
ita	spa	0.017527339	2550
dan	eng	0.002231241	3546
ces	deu	0.004687465	1051
eng	tam	0.444530644	573
ita	rus	0.010790357	884
ita	por	0.014399788	871
fra	tur	0.024492184	586
eng	ron	0.258313167	2882
ita	swe	0.018230704	556
eng	tur	0.189124801	4525
eng	sqi	0.299599198	598
jpn	spa	0.008832404	1285
ita	jpn	0.0082639	850
deu	rus	0.043552029	3568
fin	swe	0.021017772	641
dan	deu	0.004460005	1000
eng	spa	0.198698165	28908
eng	msa	0.291958201	3213
deu	ron	0.047862329	534
deu	nld	0.079913101	3752
eng	epo	0.379059351	677
eng	hin	0.517120894	740
fra	nor	0.028844887	657
eng	jpn	0.104941812	10794
eng	slv	0.183405328	1019
ara	fra	0.005553416	793
eng	heb	0.168701969	3205
bul	eng	0.001101778	1751
pol	spa	0.006371703	927
eng	vie	0.178190199	1469
eng	lit	0.224888393	806
cat	eng	0.001162183	1847
nld	rus	0.007445835	610
jpn	kor	0.045857629	755
eng	fra	0.22147134	31625
deu	spa	0.034587283	5032
eng	fin	0.220268127	4584
nld	swe	0.018230704	556
eng	ukr	0.17989629	1804
spa	fra	0.033201443	4741
zho	eng	0.00641938	10202
spa	cat	0.31056866	3397
zho	jpn	0.021068085	2167
fra	deu	0.041192605	9236
zho	spa	0.003539835	515
swe	deu	0.011529113	2585
fra	fin	0.030704916	639
nor	deu	0.006832728	1532
rus	jpn	0.01021807	1051
hbs	eng	0.001936763	3078
nld	fra	0.015266641	2180
eng	deu	0.221381264	49637
swe	spa	0.004783933	696
eng	ces	0.200656599	3056
nld	jpn	0.006154175	633
nld	eng	0.008013843	12736
rus	pol	0.022631075	1064
hun	fra	0.00374663	535
pol	jpn	0.006747232	694
pol	deu	0.012831434	2877
pol	eng	0.00514897	8183
nld	ita	0.00992039	724
pol	ita	0.00948192	692
fin	deu	0.005708806	1280
por	jpn	0.006134731	631
por	eng	0.006742803	10716
spa	glg	0.38671875	594
eng	ell	0.350662252	2118
tur	deu	0.005186986	1163
zho	deu	0.006132507	1375
kor	eng	0.001693252	2691
ita	eng	0.008685858	13804
hbs	deu	0.003452044	774
spa	por	0.038570271	2333
pol	fra	0.009755244	1393
fas	eng	0.001764354	2804
jpn	fra	0.013116706	1873
por	deu	0.008054769	1806
zho	fra	0.005924577	846
swe	rus	0.006750076	553
rus	fra	0.013179733	1882
por	fra	0.010385518	1483
rus	eng	0.009166588	14568
ita	deu	0.016787458	3764
swe	fra	0.007682342	1097
spa	nld	0.019509702	916
jpn	deu	0.014071315	3155
hun	deu	0.005374306	1205
hun	eng	0.002220544	3529
nor	eng	0.003833255	6092
swe	jpn	0.00595973	613
eng	ara	0.185672034	3390
spa	rus	0.014513274	1189
ukr	rus	0.03710711	3040
eng	ben	0.503960396	509
swe	nor	0.039645256	903
heb	deu	0.002546663	571
ita	fra	0.023026016	3288
swe	eng	0.005525877	8782
spa	ita	0.034940601	2550
eng	dan	0.288997555	3546
deu	ces	0.069008536	1051
rus	ita	0.012112742	884
por	ita	0.011934613	871
tur	fra	0.004103785	586
ron	eng	0.001813434	2882
swe	ita	0.007618421	556
tur	eng	0.002847255	4525
spa	jpn	0.012493073	1285
jpn	ita	0.011646867	850
rus	deu	0.015913298	3568
swe	fin	0.030801019	641
deu	dan	0.081499593	1000
spa	eng	0.018189712	28908
msa	eng	0.002021708	3213
ron	deu	0.002381643	534
nld	deu	0.016733938	3752
nor	fra	0.004601001	657
jpn	eng	0.006791883	10794
fra	ara	0.043433016	793
heb	eng	0.002016675	3205
eng	bul	0.258679273	1751
spa	pol	0.019717112	927
eng	cat	0.168860852	1847
rus	nld	0.012992269	610
kor	jpn	0.007340288	755
fra	eng	0.019899324	31625
spa	deu	0.022442745	5032
fin	eng	0.002884379	4584
swe	nld	0.011842133	556
ukr	eng	0.001135127	1804
