lang_code	total_exports	population	gdp_per_capita
eng	772.138	1500000000	11942.616
deu	645.138	185000000	19535.211
fra	593.626	200000000	16621.545
ita	394.836	70000000	27714.911
zho	237.1	1575000000	8003.481
jpn	169.0	132000000	33520.632
rus	134.0	278000000	9436.652
nld	133.2	27000000	35088.977
spa	100.535	500000000	13299.566
ara	86.048	530000000	5027.213
ces	48.0	12000000	22951.714
swe	44.3	10000000	37726.978
hin	38.13	550000000	3321.737
dan	37.0	6000000	34324.606
pol	24.45	43000000	17921.088
nor	23.0	5000000	50340.202
hun	20.491	15000000	14527.09
por	14.0	290000000	9535.359
gla	13.275	70000	812623.765
cat	12.92	9000000	27213.723
hbs	9.46	23000000	7926.93
ell	8.052	15000000	20745.871
ben	7.533	230000000	2729.49
tel	6.696	80000000	4005.877
mar	6.51	90000000	3461.869
cym	6.372	750000	36405.545
fin	5.7	6000000	30195.334
tam	5.487	66000000	4311.297
glg	5.32	4000000	25212.714
urd	4.65	60000000	4416.253
ron	4.55	28000000	9231.921
slk	3.6	7000000	16428.496
mal	2.976	37000000	3849.491
pan	2.604	104000000	3646.021
isl	2.0	320000	37250.021
slv	2.0	2000000	28593.121
tur	1.821	70000000	15155.565
eus	1.52	1000000	28814.531
bul	0.845	12000000	6750.428
swa	0.8	50000000	3146.595
zul	0.2383	26000000	4908.953
xho	0.1764	8000000	11809.916
afr	0.1335	13000000	5554.146
nso	0.0939	4000000	12573.142
sqi	0.05	16000000	1718.909
