lang	total_exports
eng	466.258
deu	329.912
fra	255.743
rus	118.0
spa	63.012
ita	60.144
jpn	57.0
nld	47.2
ces	26.712
zho	22.163
nor	22.0
swe	21.275
pol	20.538
dan	20.0
hun	17.62
ara	14.048
hbs	8.107
por	7.384
hin	6.593
fin	4.56
cat	4.42
slk	3.804
ron	3.64
slv	1.822
glg	1.82
ben	1.296
tur	1.186
tel	1.152
mar	1.12
ell	1.042
isl	1.0
tam	0.944
urd	0.8
swa	0.8
bul	0.768
guj	0.72
kan	0.592
eus	0.52
ori	0.512
mal	0.512
sqi	0.469
pan	0.448
zul	0.2382
xho	0.1764
rom	0.176
afr	0.1335
que	0.13
mri	0.117
nso	0.0939
tsn	0.082
sot	0.0793
smo	0.063
ukr	0.04
vie	0.04
aym	0.017
