country_code	total_exports
USA	272
Germany	267
France	236
Britain	230
Russia	118
Italy	58
Japan	57
Austria	48
Switzerland	32
Netherlands	31
Czech	28
Belgium	27
Spain	26
Norway	22
China	22
Poland	21
Sweden	21
Denmark	20
Hungary	18
India	16
Arab World	14
Canada	11
Finland	5
Greece	5
Slovakia	4
Australia	4
Romania	4
Portugal	4
Mexico	4
Brazil	3
Cuba	3
Chile	3
Croatia	3
New Zealand	3
Serbia	2
Argentina	2
Slovenia	2
Kenya	1
Peru	1
Iceland	1
Montenegro	1
Guatemala	1
Bulgaria	1
South Africa	1
Grrece	1
Nicaragua	1
