lang_code	total_exports	population	gdp_per_capita
eng	461.43	1500000000	11942.616
deu	330.872	185000000	19535.211
fra	258.138	200000000	16621.545
rus	118.0	278000000	9436.652
ita	60.988	70000000	27714.911
spa	59.86	500000000	13299.566
jpn	57.0	132000000	33520.632
nld	47.2	27000000	35088.977
ces	28.0	12000000	22951.714
zho	22.1	1575000000	8003.481
nor	22.0	5000000	50340.202
swe	21.25	10000000	37726.978
pol	20.538	43000000	17921.088
dan	20.0	6000000	34324.606
hun	17.616	15000000	14527.09
ara	14.048	530000000	5027.213
por	7.0	290000000	9535.359
hbs	6.866	23000000	7926.93
hin	6.56	550000000	3321.737
gla	5.75	70000	812623.765
ell	5.052	15000000	20745.871
fin	4.75	6000000	30195.334
cat	4.42	9000000	27213.723
ron	3.64	28000000	9231.921
slk	3.6	7000000	16428.496
cym	2.76	750000	36405.545
slv	2.0	2000000	28593.121
glg	1.82	4000000	25212.714
ben	1.296	230000000	2729.49
tur	1.2	70000000	15155.565
tel	1.152	80000000	4005.877
mar	1.12	90000000	3461.869
isl	1.0	320000	37250.021
tam	0.944	66000000	4311.297
bul	0.845	12000000	6750.428
swa	0.8	50000000	3146.595
urd	0.8	60000000	4416.253
eus	0.52	1000000	28814.531
mal	0.512	37000000	3849.491
pan	0.448	104000000	3646.021
zul	0.2383	26000000	4908.953
xho	0.1764	8000000	11809.916
afr	0.1335	13000000	5554.146
nso	0.0939	4000000	12573.142
sqi	0.05	16000000	1718.909
