country_code	total_exports
France	542
Germany	536
Britain	531
Italy	389
USA	297
China	237
Japan	169
Russia	134
Anc Greece	134
India	93
Arab World	86
Netherlands	84
Belgium	82
Spain	76
Austria	75
Switzerland	64
Rome	55
Czech	48
Sweden	44
Denmark	37
Poland	25
Norway	23
Hungary	21
Canada	11
Portugal	11
Greece	8
Finland	6
Croatia	5
Romania	5
Mexico	5
Slovakia	4
Australia	4
Brazil	3
Cuba	3
Chile	3
New Zealand	3
Serbia	2
Argentina	2
Iceland	2
Slovenia	2
Kenya	1
Peru	1
Montenegro	1
Guatemala	1
Bulgaria	1
South Africa	1
Grrece	1
Nicaragua	1
