lang	total_exports
eng	323.955
deu	105.294
fra	65.509
spa	45.701
rus	31.401
swe	28.165
pol	24.618
nld	22.4
ita	20.2
jpn	18.0
dan	12.0
zho	11.313
nor	10.0
ara	9.534
hun	8.732
ces	5.724
heb	4.0
hbs	3.943
por	3.662
hin	2.903
fin	2.736
ron	2.73
ukr	2.69
lit	2.46
tur	2.396
zul	2.1438
kor	2.0
ell	1.89
pan	1.636
xho	1.5876
ben	1.547
aze	1.263
afr	1.2015
cat	1.19
vie	1.1
fas	1.06
msa	1.0
mya	1.0
isl	1.0
bel	0.936
slk	0.935
slv	0.911
nso	0.8451
swa	0.8
ltz	0.77
bul	0.768
tsn	0.738
tet	0.732
sot	0.7137
sna	0.7
mkd	0.665
urd	0.59
lav	0.582
tel	0.504
mar	0.49
glg	0.49
sqi	0.459
kur	0.44
tam	0.413
snd	0.36
guj	0.315
lah	0.3
mlg	0.3
kan	0.259
aka	0.247
pus	0.24
ori	0.224
mal	0.224
nde	0.2
eus	0.14
que	0.13
ewe	0.127
ldd	0.12
mri	0.117
rom	0.108
gle	0.08
smo	0.063
abr	0.046
lez	0.022
aym	0.017
hye	0.015
