lang_code	total_exports	population	gdp_per_capita
eng	5071.003	1500000000	11942.616
fra	1145.7584	200000000	16621.545
deu	1019.907	185000000	19535.211
spa	994.554	500000000	13299.566
ita	661.889	70000000	27714.911
rus	449.6013	278000000	9436.652
nld	267.458	27000000	35088.977
por	264.589	290000000	9535.359
jpn	216.03	132000000	33520.632
ara	194.193	530000000	5027.213
pol	181.474	43000000	17921.088
swe	179.2	10000000	37726.978
zho	154.626	1575000000	8003.481
hbs	145.376	23000000	7926.93
ell	111.989	15000000	20745.871
dan	96.411	6000000	34324.606
tur	93.171	70000000	15155.565
hun	91.651	15000000	14527.09
fin	79.8	6000000	30195.334
nor	79.0	5000000	50340.202
ukr	76.6495	45000000	4841.049
hin	68.65	550000000	3321.737
ron	65.4119	28000000	9231.921
cat	59.82	9000000	27213.723
heb	44.8	10000000	18809.954
fas	41.75	107000000	7352.126
gla	37.875	70000	812623.765
ces	37.0	12000000	22951.714
slk	30.6	7000000	16428.496
slv	28.0	2000000	28593.121
kat	25.6	4000000	5019.883
glg	24.22	4000000	25212.714
msa	22.787	300000000	5578.909
ben	22.185	230000000	2729.49
sqi	21.458	16000000	1718.909
swa	21.2	50000000	3146.595
lit	20.731	4000000	13665.479
bul	20.3598	12000000	6750.428
pan	19.5	104000000	3646.021
kur	18.96	30000000	9985.27
cym	18.18	750000	36405.545
hye	17.088	6000000	3264.709
kaz	16.2	12000000	11390.53
est	16.1	1070000	16995.129
zul	15.2512	26000000	4908.953
fil	14.242	90000000	2582.941
isl	14.0	320000	37250.021
aze	12.642	27000000	3239.093
vie	12.0	80000000	3842.29
tel	11.88	80000000	4005.877
mar	11.55	90000000	3461.869
xho	11.2896	8000000	11809.916
tam	10.995	66000000	4311.297
urd	10.73	60000000	4416.253
bel	9.909	6000000	8772.111
lav	9.894	2150000	9291.795
hat	9.404	12000000	2322.238
bam	8.8	6000000	2184.906
afr	8.72	13000000	5554.146
ltz	7.7	390000	80527.276
uzb	7.365	24000000	3125.297
kor	7.0	78000000	19865.971
mon	7.0	5000000	3017.021
eus	6.92	1000000	28814.531
mlt	6.314	370000	25405.543
nso	6.0096	4000000	12573.142
tha	6.0	73000000	8635.673
khm	5.7	18000000	1748.553
gle	5.5	530000	17657.979
mkd	5.32	3000000	4785.216
mal	5.28	37000000	3849.491
sin	5.18	19000000	4746.843
tgk	4.396	4000000	5044.88
div	2.85	300000	10906.158
amh	2.289	25000000	1340.779
orm	2.212	26000000	1245.843
tuk	2.16	9000000	3172.956
kir	1.941	5000000	1687.439
que	0.848	10000000	1044.757
aym	0.584	2000000	3597.513
