country_code	total_exports
US	1221
GB	508
DE	407
FR	397
RU	240
IT	194
PL	114
AT	91
ES	77
JP	75
IN	69
SE	61
HU	58
UA	58
CH	56
NL	56
BR	53
CZ	53
CA	46
BE	40
DK	39
CN	37
TR	35
FI	34
GR	34
AR	33
NO	33
IE	29
AU	28
RO	26
EG	24
MX	23
ZA	22
IL	20
IR	20
LT	19
KR	17
PH	16
PT	16
CL	13
PK	13
GE	12
PE	12
RS	12
DZ	11
LV	11
AF	10
BY	10
HR	10
CU	9
EE	9
NZ	9
SA	9
VN	9
BA	8
BG	8
IQ	8
IS	8
KE	8
AL	7
BD	7
ID	7
MA	7
MM	7
TN	7
UY	7
AZ	6
ET	6
KZ	6
LB	6
NG	6
SK	6
CY	5
LK	5
NI	5
TH	5
AE	4
AM	4
AO	4
GH	4
KG	4
KP	4
LU	4
ME	4
ML	4
MW	4
MY	4
SD	4
SG	4
TW	4
ZW	4
BW	3
CD	3
CI	3
CO	3
GA	3
GN	3
GW	3
IM	3
JM	3
JO	3
MK	3
MZ	3
NP	3
PA	3
PY	3
SI	3
SO	3
TL	3
TZ	3
UG	3
VE	3
ZM	3
CM	2
GT	2
HT	2
KH	2
KW	2
LC	2
LR	2
LY	2
MD	2
MQ	2
MT	2
NA	2
PS	2
SN	2
SR	2
SY	2
TG	2
TT	2
YE	2
AG	1
AW	1
BF	1
BH	1
BJ	1
BN	1
BO	1
BT	1
CF	1
CG	1
CR	1
CV	1
DO	1
EC	1
ER	1
FM	1
FO	1
GP	1
GQ	1
GU	1
HN	1
LA	1
MC	1
MG	1
MN	1
MU	1
MV	1
NE	1
OM	1
RW	1
SC	1
SS	1
ST	1
SV	1
TM	1
TO	1
UZ	1
VI	1
VU	1
WS	1
