lang	total_exports
eng	1617.773
deu	524.098
fra	455.511
spa	305.482
rus	272.908
ita	198.088
pol	112.556
ara	94.456
nld	81.258
jpn	75.0
por	74.918
swe	62.87
hun	57.128
ces	50.562
zho	44.241
ukr	39.008
dan	39.0
ell	38.084
hbs	36.925
tur	33.644
nor	33.0
fin	31.008
hin	28.389
ron	25.19
kor	21.0
fil	16.222
heb	16.0
fas	15.6
lit	15.58
cat	13.09
msa	12.564
ben	12.449
swa	10.0
aze	9.738
vie	9.28
kat	8.52
sqi	8.343
pan	8.172
isl	8.0
kur	7.4
mya	7.0
lav	6.402
bul	6.176
est	6.057
slk	5.882
glg	5.39
zul	5.2404
tam	5.099
tha	5.0
tel	4.968
hye	4.838
mar	4.83
pus	4.54
urd	4.49
tsn	4.15
afr	4.137
xho	3.8808
kaz	3.78
sin	3.7
nya	3.121
guj	3.105
ltz	3.08
sna	2.8
som	2.772
slv	2.733
kir	2.588
kan	2.553
bel	2.34
ori	2.208
mal	2.208
nso	2.0658
orm	2.028
mkd	1.995
uzb	1.977
khm	1.9
bam	1.852
mlt	1.804
que	1.772
amh	1.758
sot	1.7446
nep	1.654
snd	1.56
eus	1.54
hat	1.5
grn	1.5
wol	1.4
pov	1.32
lah	1.3
tuk	1.22
ldd	1.2
tet	1.098
smo	1.089
div	1.0
lao	1.0
fao	1.0
aka	0.988
kin	0.98
crs	0.91
bem	0.903
mon	0.9
rom	0.887
nde	0.8
sag	0.8
vmw	0.759
fan	0.75
lin	0.73
ton	0.7
pap	0.663
gle	0.58
tir	0.55
tig	0.514
ewe	0.508
hau	0.496
ful	0.459
lug	0.42
bci	0.42
yao	0.404
fon	0.39
tum	0.38
mai	0.363
mri	0.351
aym	0.35
bho	0.343
toi	0.318
tso	0.309
mlg	0.3
tsj	0.28
snk	0.256
dje	0.255
dzo	0.24
sid	0.24
kck	0.237
bis	0.231
seh	0.225
cha	0.222
ngl	0.21
abr	0.184
loz	0.171
tek	0.17
chw	0.153
lez	0.132
yor	0.12
tmh	0.084
gag	0.08
tgk	0.044
