country_code	total_exports
US	2291
GB	1140
FR	857
IT	793
DE	740
RU	369
ES	298
TR	184
PL	167
NL	162
GR	140
AT	139
BR	137
JP	137
IN	136
SE	135
CA	106
CZ	105
BE	103
AR	102
CH	102
UA	100
DK	99
AU	95
CN	94
PT	88
HU	81
IE	73
IL	73
EG	68
FI	63
IR	61
RS	60
NO	59
HR	56
MX	56
RO	50
ZA	43
KR	37
SA	35
BG	29
IQ	29
LT	28
PK	28
CL	27
BA	26
SK	24
NG	23
UY	23
BY	22
AF	21
GE	21
PE	21
PH	19
SY	19
LV	18
TN	18
CO	17
DZ	17
GH	17
NZ	17
AL	15
AZ	15
CI	15
EE	15
IS	15
MK	15
SI	15
MA	14
PS	14
CU	13
LB	13
PY	13
AM	12
VE	12
CM	11
LY	11
ET	10
JM	10
KE	10
KZ	10
ME	10
SN	10
TW	10
VN	10
CY	9
UZ	9
BD	8
ID	8
LU	8
ML	8
MN	8
SO	8
CD	7
HT	7
JO	7
MM	7
SG	7
TH	7
XK	7
ZW	7
KP	6
LK	6
MY	6
MZ	6
PR	6
YE	6
AE	5
AO	5
GN	5
GT	5
HK	5
KG	5
KH	5
LR	5
MD	5
NI	5
SR	5
TG	5
TT	5
UG	5
BT	4
BW	4
CV	4
EC	4
GP	4
HN	4
IM	4
MC	4
MW	4
NP	4
PA	4
SD	4
BJ	3
BO	3
CR	3
GA	3
GW	3
KW	3
MQ	3
MT	3
MV	3
SV	3
TL	3
TM	3
TZ	3
ZM	3
BF	2
CG	2
DO	2
LC	2
MG	2
NA	2
NC	2
OM	2
TD	2
TO	2
VI	2
AD	1
AG	1
AW	1
BB	1
BH	1
BI	1
BM	1
BN	1
CF	1
DJ	1
ER	1
FM	1
FO	1
GF	1
GI	1
GL	1
GM	1
GQ	1
GU	1
GY	1
JE	1
KN	1
LA	1
LS	1
MR	1
MU	1
NE	1
NR	1
QA	1
RW	1
SB	1
SC	1
SL	1
SS	1
ST	1
SZ	1
TJ	1
VU	1
WS	1
