lang	total_exports
eng	3300.798
fra	997.7
deu	929.088
ita	801.15
spa	774.644
rus	429.38
ara	273.068
por	235.687
nld	226.858
pol	164.894
tur	164.856
hbs	152.837
ell	147.215
swe	138.465
jpn	137.0
zho	115.598
ces	100.17
dan	100.0
hun	84.014
ukr	67.46
nor	59.0
heb	58.4
fin	57.456
hin	55.947
cat	51.06
ron	49.325
kor	43.0
fas	42.83
kur	32.53
sqi	26.871
aze	25.785
lit	22.96
bul	22.352
slk	21.816
glg	20.86
fil	19.222
ben	18.856
pan	17.248
msa	15.987
isl	15.0
kat	14.91
slv	13.665
hye	13.419
swa	12.4
vie	10.95
lav	10.476
zul	10.2426
est	10.095
mkd	9.975
tel	9.792
pus	9.59
mar	9.52
tam	9.328
urd	9.04
uzb	8.897
xho	7.5852
som	7.4
mon	7.2
wol	7.0
mya	7.0
tha	7.0
afr	6.9405
tsn	6.654
grn	6.5
kaz	6.3
ltz	6.16
guj	6.12
eus	5.96
hat	5.25
bel	5.148
kan	5.032
sna	4.9
khm	4.75
sin	4.44
sot	4.4099
ori	4.352
mal	4.352
aka	4.199
nso	4.0377
bam	3.704
ldd	3.66
orm	3.38
que	3.366
snd	3.36
kir	3.235
tuk	3.21
nya	3.121
rom	3.029
div	3.0
amh	2.93
lah	2.8
nep	2.792
mlt	2.706
ewe	2.159
bci	2.1
lin	1.66
vmw	1.518
gle	1.46
nde	1.4
ton	1.4
tgk	1.396
pov	1.32
smo	1.257
fon	1.17
tsj	1.12
tet	1.098
nau	1.0
lao	1.0
fao	1.0
ssw	0.98
kin	0.98
dzo	0.96
crs	0.91
bem	0.903
kri	0.9
ful	0.835
sag	0.8
aym	0.795
abr	0.782
tig	0.75
fan	0.75
lug	0.7
mri	0.663
pap	0.663
tso	0.618
mlg	0.6
tir	0.55
snk	0.512
run	0.5
hau	0.496
mai	0.484
seh	0.45
ngl	0.42
bho	0.417
yao	0.404
sid	0.4
tum	0.38
yor	0.36
tek	0.34
lez	0.33
toi	0.318
kck	0.316
chw	0.306
dje	0.255
bis	0.231
cha	0.222
gag	0.2
loz	0.171
aar	0.13
tmh	0.084
