lang_code	total_exports	population	gdp_per_capita
eng	2555.828	1500000000	11942.616
deu	787.445	185000000	19535.211
fra	691.049	200000000	16621.545
spa	455.297	500000000	13299.566
ita	284.897	70000000	27714.911
pol	163.27	43000000	17921.088
nld	134.058	27000000	35088.977
ara	125.446	530000000	5027.213
jpn	125.015	132000000	33520.632
por	113.428	290000000	9535.359
swe	92.2	10000000	37726.978
hun	90.257	15000000	14527.09
ces	86.0	12000000	22951.714
ukr	61.64	45000000	4841.049
rus	57.242	278000000	9436.652
ell	53.936	15000000	20745.871
zho	53.319	1575000000	8003.481
dan	52.137	6000000	34324.606
nor	48.0	5000000	50340.202
hbs	46.964	23000000	7926.93
hin	44.37	550000000	3321.737
tur	42.108	70000000	15155.565
fin	41.8	6000000	30195.334
ron	39.68	28000000	9231.921
hye	25.213	6000000	3264.709
heb	24.8	10000000	18809.954
cat	21.58	9000000	27213.723
gla	19.35	70000	812623.765
ben	17.487	230000000	2729.49
lit	15.888	4000000	13665.479
msa	15.364	300000000	5578.909
pan	14.036	104000000	3646.021
kat	12.8	4000000	5019.883
fil	11.907	90000000	2582.941
bul	11.83	12000000	6750.428
sqi	10.55	16000000	1718.909
swa	10.4	50000000	3146.595
tha	10.0	73000000	8635.673
aze	9.933	27000000	3239.093
lav	9.312	2150000	9291.795
cym	9.288	750000	36405.545
est	9.1	1070000	16995.129
isl	9.0	320000	37250.021
kaz	9.0	12000000	11390.53
slk	9.0	7000000	16428.496
glg	8.68	4000000	25212.714
bel	8.441	6000000	8772.111
slv	8.0	2000000	28593.121
tel	7.704	80000000	4005.877
tam	7.573	66000000	4311.297
mar	7.49	90000000	3461.869
urd	7.19	60000000	4416.253
mya	6.67	52000000	927.442
zul	5.9575	26000000	4908.953
bam	5.6	6000000	2184.906
ltz	5.39	390000	80527.276
hat	5.335	12000000	2322.238
sin	5.18	19000000	4746.843
fas	5.0	107000000	7352.126
khm	4.75	18000000	1748.553
kur	4.66	30000000	9985.27
mlt	4.51	370000	25405.543
xho	4.41	8000000	11809.916
afr	3.4695	13000000	5554.146
mal	3.424	37000000	3849.491
mon	3.0	5000000	3017.021
kir	2.588	5000000	1687.439
eus	2.48	1000000	28814.531
gle	2.4	530000	17657.979
nso	2.3475	4000000	12573.142
uzb	2.12	24000000	3125.297
amh	1.308	25000000	1340.779
orm	1.264	26000000	1245.843
tgk	1.088	4000000	5044.88
lao	1.0	5000000	3502.483
div	0.95	300000	10906.158
tuk	0.72	9000000	3172.956
