lagnuage	vals
eng	3220.794
fra	943.637
deu	874.747
ita	764.923
spa	733.794
rus	410.17
ara	220.21
nld	219.858
por	209.416
hbs	141.348
pol	139.41
ell	133.299
jpn	133.0
tur	128.522
swe	127.355
zho	111.527
dan	92.0
ces	90.63
hun	75.229
ukr	63.982
nor	59.0
fin	55.632
hin	53.476
cat	48.0
heb	41.6
fas	39.71
ron	39.605
kor	36.0
kur	25.74
aze	23.139
sqi	23.076
lit	22.14
bul	20.016
glg	19.6
fil	19.222
slk	18.3
ben	17.39
pan	16.6
msa	15.987
slv	13.665
kat	13.49
hye	12.272
swa	11.6
isl	11.0
est	10.095
zul	10.0044
vie	9.93
lav	9.894
tel	9.36
mar	9.1
tam	8.974
pus	8.81
uzb	8.777
urd	8.66
mkd	7.98
xho	7.4088
som	7.276
mon	7.2
wol	7.0
mya	7.0
tha	7.0
afr	6.807
tsn	6.572
kaz	6.3
ltz	6.16
guj	5.85
eus	5.6
hat	5.25
grn	5.0
kan	4.81
khm	4.75
bel	4.446
sin	4.44
sot	4.3306
sna	4.2
aka	4.199
ori	4.16
mal	4.16
nso	3.9438
bam	3.704
ldd	3.42
snd	3.24
kir	3.235
nya	3.121
tuk	3.11
div	3.0
que	2.976
mlt	2.706
orm	2.704
lah	2.7
rom	2.61
amh	2.344
ewe	2.159
bci	2.1
nep	1.874
lin	1.66
vmw	1.518
ton	1.4
tgk	1.396
gle	1.38
pov	1.32
smo	1.236
nde	1.2
nau	1.0
lao	1.0
fao	1.0
ssw	0.98
kin	0.98
crs	0.91
bem	0.903
kri	0.9
ful	0.835
sag	0.8
abr	0.782
fon	0.78
fan	0.75
aym	0.744
tet	0.732
lug	0.7
pap	0.663
tig	0.632
mri	0.624
tso	0.618
mlg	0.6
tsj	0.56
tir	0.55
snk	0.512
run	0.5
hau	0.496
dzo	0.48
seh	0.45
ngl	0.42
yao	0.404
tum	0.38
mai	0.363
bho	0.343
tek	0.34
sid	0.32
toi	0.318
kck	0.316
chw	0.306
lez	0.286
dje	0.255
yor	0.24
bis	0.231
cha	0.222
loz	0.171
aar	0.13
gag	0.12
tmh	0.084
