langcode	translated_from	translated_to	out_degree	in_degree
roh	90	284	8	14
osx	6	0	3	0
sco	29	32	5	13
scn	2	2	1	1
rom	79	82	27	23
ron	5475	18464	58	86
bvr	3	3	1	2
osp	29	0	13	0
oss	195	153	14	21
mns	20	1	6	1
mnw	1	0	1	0
mnh	0	2	0	1
mni	11	1	4	1
xav	0	2	0	1
hai	2	0	1	0
nwb	0	1	0	1
rop	7	7	2	3
alt	56	50	6	4
mnc	9	2	5	2
mnf	0	18	0	2
alq	2	4	2	1
fod	0	3	0	3
mwp	1	1	1	1
vep	4	5	3	4
aji	1	1	1	1
wmt	3	2	1	2
zmz	0	1	0	1
auu	0	1	0	1
vec	5	0	4	0
fkv	1	0	1	0
ven	0	5	0	2
xtm	1	0	1	0
uga	6	0	4	0
mwl	0	1	0	1
wib	0	15	0	3
kca	21	3	5	1
mpc	1	0	1	0
fas	2837	11329	89	72
lrl	1	0	1	0
khb	0	2	0	1
fak	1	0	1	0
mpu	1	0	1	0
fan	3	0	1	0
fao	104	415	12	19
got	2	0	1	0
vls	9	0	5	0
faa	0	1	0	1
sme	103	173	18	18
kla	1	0	1	0
tri	1	1	1	1
dih	1	0	1	0
hye	1100	2139	47	54
evn	24	8	4	1
gud	0	2	0	1
guj	264	524	22	30
wsk	0	1	0	1
tnr	1	0	1	0
eve	10	15	3	4
gul	1	1	1	1
gur	0	15	0	3
gup	1	3	1	3
guw	1	0	1	0
zdj	3	0	1	0
div	1	7	1	1
cni	1	1	1	1
pbi	0	8	0	2
des	1	0	1	0
tel	277	668	29	31
tem	3	0	3	0
ibd	0	1	0	1
ted	0	7	0	1
osa	1	0	1	0
nbl	0	3	0	1
ibg	0	2	0	2
tet	3	3	2	2
nbf	0	19	0	1
tew	3	0	2	0
sbl	0	1	0	1
nem	4	0	1	0
suc	0	5	0	1
sub	0	1	0	1
bdm	13	3	1	1
sun	0	1	0	1
sum	2	0	2	0
kut	4	0	2	0
neb	0	4	0	2
kur	137	201	21	16
kup	0	1	0	1
abq	10	8	3	1
kum	44	65	7	9
ain	1	0	1	0
ifk	0	4	0	1
