.	jpn,3	msa,1	eng,11
0	eng,7
00000000	eng,17
000000000000005	jpn,2
000000000000014	jpn,4
000000000000034	jpn,4
000000000000037	jpn,15
000000000000038	jpn,8	eng,6
000000000000058	jpn,1
00000000000006	jpn,3
000000000000085	jpn,2
000000000000087	jpn,24
0000000000000a0	jpn,2
0000000000000hy	jpn,15
0000000000000tm	jpn,5
00000000000024	jpn,9
000000000000326	jpn,10
000000000000402	jpn,5
00000000000056	jpn,69
000000000000728	jpn,9
000000000000818	jpn,7
000000000000823	jpn,3
000000000001224	jpn,2
0000000000017	jpn,1
000000000003590	ara,4
000000000005	jpn,13
000000000005555	jpn,1
00000000001112	msa,2
000000000021	jpn,2
00000000002444	eng,2
0000000000709	jpn,1
0000000000x	jpn,124
0000000000y	jpn,1
000000000112	jpn,1
000000000121	eng,3
00000000078	jpn,5
000000000_0	spa,2
00000000100	jpn,1
000000001955516	jpn,1
000000001uupir3	jpn,2
00000000234	eng,1
0000000034aqubi	jpn,1
000000007	jpn,1
00000000721	jpn,51
0000000099999	eng,13
00000000rrrrrrr	jpn,1
00000000vtk0x0a	jpn,4
00000000x1	msa,1
00000001000000	jpn,9
000000019511252	jpn,15
000000020110620	jpn,1
0000000454	ara,1
0000000803	jpn,3
0000000_	kor,2
0000000cccc000	eng,1
0000000hhh	jpn,8
0000000kandn	jpn,1
0000000oll39	kor,1
0000000risa	jpn,50
0000000ttttttt0	jpn,2
0000000v	kor,3
00000013	jpn,16
000000130	jpn,5
000000315	jpn,1
000000323berry	jpn,1
000000422	jpn,8
000000512	kor,2
00000057	tur,1
0000007000	jpn,1
0000007_	jpn,3
0000008000000	eng,1
000000828_8	kor,78
000000828_88	kor,3
000000_bot	jpn,14
000000abd	eng,1
000000aki	jpn,4
000000ali000000	ara,10
000000anonymous	eng,1
000000becca0000	jpn,2
000000fb	tur,4
000000ike000000	jpn,5
000000kat	rus,1
000000mag	eng,1
000000mataro	jpn,2
000000miki00000	jpn,3
000000miy000000	jpn,2
000000sa0000000	jpn,1
000000sin	kor,1
000000ty	eng,1
000000va	jpn,7
000000yukie	jpn,4
000000zero00000	jpn,1
00000102	por,1
00000128	jpn,6
00000148	jpn,14
00000173	jpn,1
000001cristhian	spa,1
00000212	eng,3
0000027t	eng,1
00000328	jpn,1
000003800000000	jpn,4
000003a	jpn,1
000004080408	jpn,1
00000498	jpn,14
00000510	jpn,12
00000514	jpn,4
00000526	jpn,5
00000528	jpn,7
0000055555	jpn,27	eng,3
000005555522255	jpn,31
00000677	spa,2
000006jml	ara,1
00000727	jpn,1
00000731	jpn,22
00000753	jpn,7
00000802	jpn,1
00000827	jpn,19
000009089	jpn,3
00000927	jpn,1
00000930	jpn,4
000009646	jpn,3
000009696videro	jpn,3
000009999988888	ara,41
00000_91	jpn,19
00000_henrique	por,2	eng,1
00000_nhn_00000	tur,3
00000_yoshi	jpn,3
00000amnos00000	jpn,3
00000amy00000	eng,38
00000ari00000	jpn,32
00000chaah00000	jpn,1
00000chi	jpn,1
00000cm	jpn,12
00000eri	jpn,34
00000hapi0000	jpn,1
00000hasui00000	jpn,3
00000ichii00000	jpn,8
00000ie	eng,2
00000kiki00000	jpn,72
00000ko	msa,1
00000kotoe00000	jpn,33
00000kyana00000	jpn,2
00000kyon00000	jpn,1
00000luis0000	eng,1
00000maaaa00000	jpn,1
00000mai00000	jpn,10
00000maki000000	jpn,39
00000maruo00000	jpn,13
00000mii00000	jpn,1
00000miki00000	jpn,2
00000miyan00000	jpn,3
00000moco000069	jpn,1
00000mv	eng,3
00000pink000000	jpn,5
00000riimo00000	jpn,1
00000rina0000	jpn,1
00000rosmeryss	spa,1
00000san	jpn,5
00000sasa00000	jpn,16
00000sio	jpn,1
00000sodai00000	jpn,40
00000supra00000	jpn,1
00000tan1	jpn,34
00000ties4ghost	eng,1
00000tsu	jpn,33
00000u	jpn,5
00000willi	spa,1
00000yu00000	jpn,2
00000yumij00000	jpn,3
00000yuri00000	jpn,1
00000yuya000000	jpn,7
00000z1	eng,4
00000zero00000	jpn,127
00000zin5555555	jpn,3
00000zuch00000	jpn,17
0000100383	jpn,9
00001017	jpn,1
00001024	jpn,11
0000105	rus,12	eng,1
000010sg	eng,5
00001102	jpn,1
0000111223	kor,15
00001220	kor,1
00001228	jpn,1
00001231	jpn,1
0000124244949	jpn,6
0000137	rus,5
