lang.code	num.exp	num.users	avg.exp.per.user	num.exp.by.polys	num.polys	avg.exp.per.poly	total.users	total.polys
ron	17	2	8.5	5	1	5	3969	407
jpn	68615	2140	32.0630841121	9479	90	105.322222222	3969	407
por	2814	117	24.0512820513	1809	43	42.0697674419	3969	407
ita	49	5	9.8	15	2	7.5	3969	407
ara	2351	114	20.6228070175	606	18	33.6666666667	3969	407
pol	33	2	16.5	23	1	23	3969	407
nld	3872	153	25.3071895425	3229	102	31.6568627451	3969	407
spa	3293	173	19.0346820809	1300	49	26.5306122449	3969	407
fra	308	12	25.6666666667	265	7	37.8571428571	3969	407
ell	53	12	4.41666666667	31	11	2.81818181818	3969	407
eng	19500	990	19.696969697	3230	368	8.77717391304	3969	407
swa	5	1	5	5	1	5	3969	407
swe	33	2	16.5	27	1	27	3969	407
heb	6	1	6	6	1	6	3969	407
kor	23197	473	49.0422832981	6068	45	134.844444444	3969	407
msa	780	53	14.7169811321	664	40	16.6	3969	407
fas	5	1	5	5	1	5	3969	407
tur	735	31	23.7096774194	334	9	37.1111111111	3969	407
ces	4	2	2	4	2	2	3969	407
rus	897	44	20.3863636364	202	9	22.4444444444	3969	407
fil	188	20	9.4	180	19	9.47368421053	3969	407
bel	6	1	6	6	1	6	3969	407
deu	71	7	10.1428571429	58	5	11.6	3969	407
cat	21	3	7	12	2	6	3969	407
afr	59	16	3.6875	59	16	3.6875	3969	407
tha	3211	47	68.3191489362	2353	18	130.722222222	3969	407
zho	31	7	4.42857142857	15	5	3	3969	407
