lang.code	num.exp	num.users	avg.exp.per.user	num.exp.by.polys	num.polys	avg.exp.per.poly	total.users	total.polys
roh	7	1	7	7	1	7	3806	234
sco	72	1	72	72	1	72	3806	234
scn	7	1	7	0	0	0	3806	234
dan	131	14	9.35714285714	4	2	2	3806	234
hif	265	1	265	265	1	265	3806	234
ron	359	5	71.8	287	1	287	3806	234
jpn	9904	191	51.8534031414	836	19	44	3806	234
por	27632	54	511.703703704	24790	14	1770.71428571	3806	234
ita	44226	129	342.837209302	14170	24	590.416666667	3806	234
ara	3393	20	169.65	1585	2	792.5	3806	234
pol	1724	43	40.0930232558	620	7	88.5714285714	3806	234
sah	3	1	3	3	1	3	3806	234
nld	11990	58	206.724137931	8911	16	556.9375	3806	234
afr	9	2	4.5	3	1	3	3806	234
spa	82472	159	518.691823899	72137	26	2774.5	3806	234
cat	698	7	99.7142857143	558	4	139.5	3806	234
fra	70558	149	473.543624161	64310	15	4287.33333333	3806	234
est	111	6	18.5	8	2	4	3806	234
kom	30	1	30	0	0	0	3806	234
ell	6609	2	3304.5	6609	2	3304.5	3806	234
eng	339743	2305	147.393926247	58230	202	288.267326733	3806	234
swa	2	1	2	2	1	2	3806	234
vie	35	5	7	6	2	3	3806	234
swe	32188	28	1149.57142857	31588	7	4512.57142857	3806	234
ukr	511	11	46.4545454545	410	8	51.25	3806	234
lit	18	2	9	0	0	0	3806	234
nap	15	1	15	0	0	0	3806	234
hin	20	1	20	0	0	0	3806	234
heb	408	19	21.4736842105	64	6	10.6666666667	3806	234
kor	7900	25	316	7427	3	2475.66666667	3806	234
fin	20943	56	373.982142857	8144	8	1018	3806	234
hun	1279	21	60.9047619048	188	3	62.6666666667	3806	234
msa	3475	19	182.894736842	3289	12	274.083333333	3806	234
haw	86	1	86	86	1	86	3806	234
ceb	5	1	5	0	0	0	3806	234
fas	93	7	13.2857142857	8	1	8	3806	234
tur	2447	34	71.9705882353	5	1	5	3806	234
kan	8	1	8	0	0	0	3806	234
kur	2	1	2	2	1	2	3806	234
sqi	5	1	5	0	0	0	3806	234
mkd	27	2	13.5	0	0	0	3806	234
ces	2969	19	156.263157895	1652	3	550.666666667	3806	234
sag	42	1	42	0	0	0	3806	234
bul	98	5	19.6	54	2	27	3806	234
kat	13	1	13	0	0	0	3806	234
lat	11	2	5.5	11	2	5.5	3806	234
rus	11473	118	97.2288135593	5106	20	255.3	3806	234
lav	11	1	11	11	1	11	3806	234
fil	5	1	5	0	0	0	3806	234
nor	1196	26	46	127	8	15.875	3806	234
sin	259	4	64.75	0	0	0	3806	234
bar	12	1	12	0	0	0	3806	234
ltz	7	1	7	0	0	0	3806	234
slv	489	11	44.4545454545	50	3	16.6666666667	3806	234
deu	79108	433	182.697459584	36285	70	518.357142857	3806	234
glg	37	2	18.5	8	1	8	3806	234
epo	2138	3	712.666666667	53	2	26.5	3806	234
ben	145	2	72.5	145	2	72.5	3806	234
zho	5134	51	100.666666667	425	12	35.4166666667	3806	234
slk	326	11	29.6363636364	56	3	18.6666666667	3806	234
jbo	167	3	55.6666666667	10	1	10	3806	234
tha	201	9	22.3333333333	2	1	2	3806	234
hbs	287	9	31.8888888889	96	3	32	3806	234
