src.name	tgt.name	common.num	src.num	tgt.num	total.num	exposure	phi	ttest	pval
ces	slk	1	19	11	3806	0.0909090909090909	0.065631714891257	0.271191204270142	0.394584220175734
deu	ita	5	433	129	3806	0.0387596899224806	-0.04424585104684	-0.919468198239974	0.17918132925305
ces	eng	3	19	2305	3806	0.00130151843817787	-0.064891280061213	-3.1206827576812	0.000913334128751352
rus	spa	1	118	159	3806	0.00628930817610063	-0.029772311401742	-0.373211434835037	0.354744091337432
nld	nor	1	58	26	3806	0.0384615384615385	0.015721850512	0.117666099254897	0.453369384287421
fra	roh	1	149	1	3806	1	0.080314140387261	0.97691302018782	0.165097822959945
deu	fin	2	433	56	3806	0.0357142857142857	-0.030039115832689	-0.623909806112352	0.266507682690843
deu	jpn	1	433	191	3806	0.00523560209424084	-0.07856652353041	-1.63614093366232	0.0512683550106485
eng	haw	1	2305	1	3806	1	0.013082102594637	0.627858366432307	0.265079461498123
fra	spa	2	149	159	3806	0.0125786163522013	-0.028604672315701	-0.358562239533535	0.360199118276982
deu	hbs	1	433	9	3806	0.111111111111111	-0.000407331240909	-0.00845641701476659	0.496628365244725
deu	fra	2	433	149	3806	0.0134228187919463	-0.063788544766704	-1.32698709560995	0.0926061355875902
ita	por	2	129	54	3806	0.037037037037037	0.00208383128139	0.0234836368884161	0.490650388840517
pol	ukr	2	43	11	3806	0.181818181818182	0.08686279753815	0.558303512926156	0.289766409459343
eng	nld	13	2305	58	3806	0.224137931034483	-0.097103387984025	-4.68207711210596	1.5023695211284e-06
ita	lat	1	129	2	3806	0.5	0.059061801425474	0.666756637511969	0.2530591985163
pol	rus	1	43	118	3806	0.00847457627118644	-0.004778388502364	-0.0514654067535782	0.47952084356352
glg	spa	1	2	159	3806	0.00628930817610063	0.052513961384844	0.658907216945406	0.255454216778135
eng	jbo	1	2305	3	3806	0.333333333333333	-0.015648442593011	-0.751054184522756	0.22634835741356
eng	vie	2	2305	5	3806	0.4	-0.015259844212866	-0.73239882745771	0.231999819171477
epo	rus	1	3	118	3806	0.00847457627118644	0.04899034943054	0.528276538317158	0.299149769111071
kor	msa	1	25	19	3806	0.0526315789473684	0.040390277467614	0.193863162171177	0.42392481079055
eng	sco	1	2305	1	3806	1	0.013082102594637	0.627858366432307	0.265079461498123
eng	fas	1	2305	7	3806	0.142857142857143	-0.040646052597138	-1.95220036559807	0.0255176677075163
eng	ita	19	2305	129	3806	0.147286821705426	-0.175660805157626	-8.56303744872706	9.88247077638534e-18
ita	spa	1	129	159	3806	0.00628930817610063	-0.031852121675885	-0.399308552844277	0.345100848221073
eng	swe	6	2305	28	3806	0.214285714285714	-0.06893533786202	-3.31606655396612	0.000463550682778895
jpn	pol	1	191	43	3806	0.0232558139534884	-0.013184719024789	-0.181275675721392	0.428171709058658
cat	eng	3	7	2305	3806	0.00130151843817787	-0.015550931146135	-0.7463729422535	0.227759137234037
hbs	jpn	2	9	191	3806	0.0104712041884817	0.038364015109686	0.527806564861336	0.2991231120407
nld	spa	1	58	159	3806	0.00628930817610063	-0.015254515691011	-0.191160776634066	0.424321757517506
deu	lat	1	433	2	3806	0.5	0.027890735023597	0.579252047836176	0.281360168993863
ara	eng	2	20	2305	3806	0.000867678958785249	-0.075195911879061	-3.61886620256543	0.000151133157503312
kur	tur	1	1	34	3806	0.0294117647058824	0.170753279277038	0.980323625837938	0.16692547062235
dan	deu	2	14	433	3806	0.0046189376443418	0.005566489538783	0.115565116354853	0.454025392343791
eng	zho	12	2305	51	3806	0.235294117647059	-0.088310089348717	-4.25458682732249	1.08903070699769e-05
deu	eng	58	433	2305	3806	0.0251626898047722	-0.345796215663508	-17.6856500674489	4.89067936278272e-66
eng	epo	1	2305	3	3806	0.333333333333333	-0.015648442593011	-0.751054184522756	0.22634835741356
cat	por	1	7	54	3806	0.0185185185185185	0.046701287282597	0.337135620654557	0.368660780366917
deu	por	3	433	54	3806	0.0555555555555556	-0.021993583216903	-0.45670912545117	0.324054573336984
eng	est	2	2305	6	3806	0.333333333333333	-0.022138973642547	-1.0627005603444	0.144014544626364
fra	nor	1	149	26	3806	0.0384615384615385	-0.00029384663682	-0.00356270128605059	0.498581073580989
eng	lat	2	2305	2	3806	1	0.018503318521362	0.888118572040397	0.187284818854893
rus	ukr	7	118	11	3806	0.636363636363636	0.188034035758239	2.06196888761791	0.0207032493130915
