country_code	gdp	population
AE	48157.836	5314317
AF	956.448	30419928
AG	17980.652	89018
AL	7741.428	3002859
AM	5384.089	2970495
AO	5894.617	18056072
AR	17516.147	42192494
AT	41822	8219743
AU	40234.321	22015576
AZ	10201.604	9493600
BA	8133.004	4622292
BB	23416.651	287733
BD	1692.957	161083804
BE	37736.857	10438353
BF	1466.143	17275115
BG	13597.403	7037935
BH	27556.233	1248348
BI	614.52	10557259
BJ	1481.063	9598787
BM	1324.627	55167330
BN	49384.399	408786
BO	4789.212	10290003
BR	11769.411	205716890
BS	30958.55	316182
BT	6112.043	716896
BW	16029.809	2098018
BY	15028.295	9542883
BZ	8263.623	327719
CA	40541.093	34300083
CD	348.098	73599190
CF	767.615	5057208
CG	4589.098	4366266
CH	43369.711	7655628
CI	1589.83	21952093
CL	17221.689	17067369
CM	2257.125	20129878
CN	8382.014	1343239923
CO	10248.589	45239079
CR	11927.454	4636348
CV	3947.265	523568
CY	29074.125	1138071
CZ	27062.243	10177300
DE	37896.948	81305856
DJ	2641.539	774389
DK	37151.508	5543453
DM	13815.721	73126
DO	9286.724	10088598
DZ	7333.226	35406303
EC	8492.429	15223680
EE	20379.764	1274709
EG	6539.844	83688164
ER	735.471	6086495
ES	30625.747	47042984
ET	1092.629	93815992
FI	36235.97	5262930
FJ	4620.194	890057
FR	35156.451	65630692
GA	16183.114	1608321
GB	36089.595	63047162
GD	13895.543	109011
GE	5491.091	4570934
GH	3083.293	25241998
GM	1943.429	1840454
GN	1082.635	10884958
GQ	19355.546	685991
GR	26293.949	10767827
GT	5069.694	14099032
GW	1144.064	1628603
GY	7465.568	741908
HK	49137.468	7153519
HN	4345.148	8296693
HR	18191.682	4480043
HT	1234.953	9801664
HU	19591.395	9958453
ID	4666.007	248216193
IE	39638.6	4722028
IL	30975.092	7590758
IN	3693.529	1205073612
IQ	3885.623	31129225
IR	13053.422	78868711
IS	38060.836	313183
IT	30464.429	61261254
JM	9029.301	2889187
JO	5899.677	6508887
JP	34739.655	127368088
KE	1745.962	43013341
KG	2372.405	5496737
KH	2215.691	14952665
KI	5721.562	101998
KM	1231.672	737284
KN	15573.471	50726
KR	31713.669	48860500
KW	41690.642	2646314
KZ	13001.396	17522010
LA	2658.929	6586266
LB	15522.766	4140289
LC	12607.143	162178
LK	5673.689	21481334
LR	456.442	3887886
LS	1959.77	1930493
LT	18856.187	3525761
LU	80119.084	509074
LV	15662.381	2191580
LY	5786.653	6733620
MA	5052.25	32309239
MD	3373.298	3656843
MG	933.598	22585517
MK	10366.766	2082370
ML	1127.518	14533511
MM	1324.627	54584650
MN	11545.47	2796000
MN	4743.748	3179997
MR	2178.628	3359185
MT	25428.08	409836
MU	14954	1313095
MV	8731.249	394451
MW	859.851	16323044
MX	14609.77	114975406
MY	15567.932	29179952
MZ	1084.899	23515934
NA	7363.177	2165828
NE	771.08	17078839
NG	2578.249	170123740
NI	3205.615	5727707
NL	42183.002	16730632
NO	53470.697	4707270
NP	1327.999	29890686
NZ	27668.367	4327944
OM	26519.429	3090150
PA	14096.703	3510045
PE	10062.44	29549517
PG	2532.198	6310129
PH	4072.879	103775002
PK	2786.946	190291129
PL	20334.191	38415284
PT	23361.25	10781459
PY	5412.699	6541591
QA	102943.321	1951591
RO	12476.463	21848504
RS	10641.991	7276604
RU	16736.048	138082178
RW	1340.532	11689696
SA	24237.401	26534504
SB	3191.552	584578
SC	24726.094	90024
SD	2726.416	34206710
SE	40393.561	9103788
SG	59711.239	5353494
SI	28641.568	1996617
SK	23303.874	5483088
SL	848.816	5485998
SN	1870.988	12969606
SO	600	10085000 
SR	9475.39	560157
ST	2251.764	183176
SV	7549.79	6090646
SY	5040.53	21393000
SZ	5301.965	1386914
TD	1865.12	10975648
TG	898.663	6961049
TH	9396.242	67091089
TJ	2066.589	7768385
TL	8701.27	1093000
TM	7846.351	5054828
TN	9477.511	10732900
TO	7344.378	106146
TR	14517.446	79749461
TT	20053.394	1226383
TV	3240.140	10619
TW	37719.617	23113901
TZ	1514.885	43601796
UA	7233.151	44854065
UG	1317.258	35873253
US	48386.686	313847465
UY	15112.562	3316328
UZ	3302.102	28394180
VC	11490.907	103537
VE	12568.029	28047938
VN	3358.671	91519289
VU	4916.164	227574
WS	5965.022	194320
YE	2306.695	24771809
ZA	10973.006	48810427
ZM	1610.722	14309466
ZW	487.197	12619600
CU	10200	11167325
SS	1006	11000000		
KP	1800	24500000
ME	11800	625000
