lagnuage	gdp
ltz	80119.084
nor	53470.697
nld	40518.2127388
swe	40265.4412139
gle	39638.6
deu	38268.2796026
isl	38060.836
dan	37151.508
fin	36235.97
jpn	34739.655
eng	32952.654697
heb	30975.092
eus	30625.747
cat	30625.747
glg	30625.747
ita	30623.2300236
slv	28641.568
mri	27668.367
ces	27062.243
ell	26693.0809689
mlt	25428.08
crs	24726.094
slk	23432.3606287
kor	21723.4850386
est	20379.764
pol	20326.4642435
lit	18856.187
hun	18671.7887242
spa	16776.6240904
fan	16183.114
kck	16029.809
lav	15662.381
rus	15487.109845
fra	15102.6722995
bel	15028.295
tur	14623.1660236
rom	14043.9210772
bul	13487.9143151
smo	13386.8991648
ldd	13053.422
kaz	13001.396
hbs	12907.5138499
tsn	12443.1973386
aze	11902.4669348
por	11852.9173512
kur	11751.9165684
ron	11353.6063289
nso	10973.006
zul	10973.006
xho	10973.006
afr	10372.8079431
mkd	10366.766
lez	10201.604
fas	9826.0354018
tha	9396.242
zho	9206.98537851
sqi	9181.68500011
div	8731.249
ara	8719.5625651
tet	8701.27
que	8152.4945109
sot	7973.60770346
ton	7344.378
ukr	7241.74481868
tsj	6112.043
dzo	6112.043
aym	6110.59987467
msa	6022.80157538
tuk	5815.62270186
gil	5721.562
sin	5673.689
hye	5598.16572386
kat	5491.091
grn	5412.699
ssw	5301.965
bis	4916.164
mon	4743.748
fij	4620.194
hif	4620.194
tek	4589.098
fil	4072.879
tam	3923.14947372
hin	3695.83888693
ori	3693.529
mal	3693.529
guj	3693.529
tel	3693.529
kan	3693.529
mar	3693.529
urd	3510.6761902
vie	3447.16495996
gag	3373.298
uzb	3181.52188022
aka	3083.293
ewe	3083.293
abr	3083.293
pan	3031.50578618
snd	2786.946
lah	2786.946
lao	2658.929
aar	2641.539
tpi	2532.198
ben	2457.33401614
kir	2372.405
bho	2241.17793417
tgk	2237.76077377
khm	2215.691
pus	2033.59979396
wol	1870.988
bem	1610.722
toi	1610.722
loz	1610.722
bci	1589.83
yor	1481.063
fon	1481.063
swa	1415.42235424
nep	1380.23170003
kin	1340.532
mai	1327.999
mya	1324.627
lug	1317.258
hat	1234.953
pov	1144.064
bam	1127.518
snk	1127.518
amh	1092.629
sid	1092.629
orm	1092.629
vmw	1084.899
tso	1084.899
ngl	1084.899
chw	1084.899
seh	1084.899
tig	1039.19292934
nya	948.578840256
ful	946.00865357
mlg	933.598
tum	859.851
yao	859.851
kri	848.816
som	844.4611945
tmh	771.08
dje	771.08
hau	771.08
sag	767.615
tir	735.471
run	614.52
lin	505.563962441
nde	487.197
sna	487.197
