lagnuage	gdp	aggregated_speakers	actual_speakers
ltz	80119.084	0.39198698	0.39
nor	53470.697	4.70727	5
nld	40518.2127388	23.329738	27
swe	40265.4412139	9.39324915	10
gle	39638.6	0.09444056	0.53
deu	38268.2796026	94.178611254	185
isl	38060.836	0.313183	0.32
dan	37151.508	5.543453	6
fin	36235.97	4.79979216	6
jpn	34739.655	127.368088	132
eng	32952.654697	516.69130138	1500
heb	30975.092	6.0726064	10
eus	30625.747	0.94085968	1
cat	30625.747	7.99730728	9
glg	30625.747	3.29300888	4
ita	30623.2300236	62.111119036	70
slv	28641.568	1.818918087	2
mri	27668.367	0.168789816	0.157
ces	27062.243	9.7091442	12
ell	26693.0809689	11.912751658	15
mlt	25428.08	0.369672072	0.37
crs	24726.094	0.08192184	0.0
slk	23432.3606287	4.763147632	7
kor	21723.4850386	73.3605	78
est	20379.764	0.857879157	1.07
pol	20326.4642435	37.767590368	43
lit	18856.187	2.89112402	4
hun	18671.7887242	11.648163144	15
spa	16776.6240904	424.741671492	500
fan	16183.114	0.40208025	0.0
kck	16029.809	0.165743422	0.0
lav	15662.381	1.27549956	2.15
rus	15487.109845	167.578246595	278
fra	15102.6722995	202.689980738	200
bel	15028.295	2.233034622	6
tur	14623.1660236	69.149940183	70
rom	14043.9210772	0.726078332	2
bul	13487.9143151	5.463643568	12
smo	13386.8991648	0.265774824	0.37
ldd	13053.422	4.73212266	0.0
kaz	13001.396	11.0388663	12
hbs	12907.5138499	16.769951063	23
tsn	12443.1973386	5.64310509	4
aze	11902.4669348	23.04334482	27
por	11852.9173512	232.754099294	290
kur	11751.9165684	22.12619017	30
ron	11353.6063289	22.679623535	28
nso	10973.006	4.5832990953	4
zul	10973.006	11.6266437114	26
xho	10973.006	8.6101593228	8
afr	10372.8079431	7.8156888045	13
mkd	10366.766	1.38477605	3
lez	10201.604	0.2088592	0.784
fas	9826.0354018	57.01038083	107
tha	9396.242	67.091089	73
zho	9206.98537851	1376.93879775	1575
sqi	9181.68500011	3.508039084	16
div	8731.249	0.394451	0.3
ara	8719.5625651	334.558656864	530
tet	8701.27	0.400038	0.8
que	8152.4945109	6.022917846	10
sot	7973.60770346	5.8011598611	5
ton	7344.378	0.0743022	0.105
ukr	7241.74481868	30.267955522	45
tsj	6112.043	0.20073088	0.0
dzo	6112.043	0.17205504	0.6
aym	6110.59987467	2.004682227	2
msa	6022.80157538	278.559773654	300
tuk	5815.62270186	5.16047256	9
gil	5721.562	0.063850748	0.0
sin	5673.689	15.89618716	19
hye	5598.16572386	3.364542995	6
kat	5491.091	3.24536314	4
grn	5412.699	3.2707955	7
ssw	5301.965	1.35917572	3
bis	4916.164	0.052569594	0.2
mon	4743.748	2.8619973	5
fij	4620.194	0.349792401	0.55
hif	4620.194	0.403195821	0.46
tek	4589.098	0.74226522	0.0
fil	4072.879	103.775002	90
tam	3923.14947372	75.137295036	66
hin	3695.83888693	494.127788304	550
ori	3693.529	38.562355584	31
mal	3693.529	38.562355584	37
guj	3693.529	54.22831254	46
tel	3693.529	86.765300064	80
kan	3693.529	44.587723644	47
mar	3693.529	84.35515284	90
urd	3510.6761902	75.47697092	60
vie	3447.16495996	91.73944476	80
gag	3373.298	0.14627372	0.16
uzb	3181.52188022	24.124562172	24
aka	3083.293	6.234773506	19
ewe	3083.293	3.205733746	4
abr	3083.293	1.161131908	0.0
pan	3031.50578618	125.081803056	104
snd	2786.946	22.83493548	41
lah	2786.946	19.0291129	60
lao	2658.929	6.586266	5
aar	2641.539	0.10067057	1.5
tpi	2532.198	0.113582322	4
ben	2457.33401614	255.473090492	230
kir	2372.405	3.556388839	5
bho	2241.17793417	2.370795259	0.0
tgk	2237.76077377	9.01772892	4
khm	2215.691	14.20503175	18
pus	2033.59979396	25.87026512	26
wol	1870.988	9.0787242	4
bem	1610.722	4.307149266	0.0
toi	1610.722	1.516803396	0.0
loz	1610.722	0.815639562	0.0
bci	1589.83	3.07329302	0.0
yor	1481.063	1.15185444	25
fon	1481.063	3.74352693	0.0
swa	1415.42235424	92.7323068	50
nep	1380.23170003	14.445465028	30
kin	1340.532	11.45590208	12
mai	1327.999	3.616773006	0.0
mya	1324.627	54.58465	52
lug	1317.258	5.02225542	10
hat	1234.953	7.351248	12
pov	1144.064	0.71658532	0.0
bam	1127.518	6.729015593	6
snk	1127.518	0.930144704	0.0
amh	1092.629	27.488085656	25
sid	1092.629	3.75263968	0.0
orm	1092.629	31.709805296	26
vmw	1084.899	5.949531302	0.0
tso	1084.899	2.422141202	3
ngl	1084.899	1.64611538	0.0
chw	1084.899	1.199312634	0.0
seh	1084.899	1.76369505	0.0
tig	1039.19292934	6.508982728	0.0
nya	948.578840256	12.957243662	9
ful	946.00865357	2.783693671	13
mlg	933.598	6.7756551	20
tum	859.851	1.55068918	2
yao	859.851	1.648627444	0.0
kri	848.816	4.9373982	0.0
som	844.4611945	14.178859324	14
tmh	771.08	1.434622476	0.0
dje	771.08	4.355103945	0.0
hau	771.08	8.471104144	39
sag	767.615	4.0457664	3
tir	735.471	3.34757225	7
run	614.52	5.2786295	5
lin	505.563962441	15.28745258	25
nde	487.197	2.52392	0.0
sna	487.197	8.83372	7
