lang	gdp_pc	actual_speakers_m
ltz	80119.084	0.39
nor	53470.697	5
nld	40518.21274	27
swe	40265.44121	10
gle	39638.6	0.53
deu	38268.2796	185
isl	38060.836	0.32
dan	37151.508	6
fin	36235.97	6
jpn	34739.655	132
eng	32952.6547	1500
heb	30975.092	10
eus	30625.747	1
cat	30625.747	9
glg	30625.747	4
ita	30623.23002	70
slv	28641.568	2
mri	27668.367	0.157
ces	27062.243	12
ell	26693.08097	15
mlt	25428.08	0.37
crs	24726.094	0
slk	23432.36063	7
kor	21723.48504	78
est	20379.764	1.07
pol	20326.46424	43
lit	18856.187	4
hun	18671.78872	15
spa	16776.62409	500
fan	16183.114	0
kck	16029.809	0
lav	15662.381	2.15
rus	15487.10985	278
fra	15102.6723	200
bel	15028.295	6
tur	14623.16602	70
rom	14043.92108	2
bul	13487.91432	12
smo	13386.89916	0.37
ldd	13053.422	0
kaz	13001.396	12
hbs	12907.51385	23
tsn	12443.19734	4
aze	11902.46693	27
por	11852.91735	290
kur	11751.91657	30
ron	11353.60633	28
nso	10973.006	4
zul	10973.006	26
xho	10973.006	8
afr	10372.80794	13
mkd	10366.766	3
lez	10201.604	0.784
fas	9826.035402	107
tha	9396.242	73
zho	9206.985379	1575
sqi	9181.685	16
div	8731.249	0.3
ara	8719.562565	530
tet	8701.27	0.8
que	8152.494511	10
sot	7973.607703	5
ton	7344.378	0.105
ukr	7241.744819	45
tsj	6112.043	0
dzo	6112.043	0.6
aym	6110.599875	2
msa	6022.801575	300
tuk	5815.622702	9
gil	5721.562	0
sin	5673.689	19
hye	5598.165724	6
kat	5491.091	4
grn	5412.699	7
ssw	5301.965	3
bis	4916.164	0.2
mon	4743.748	5
fij	4620.194	0.55
hif	4620.194	0.46
tek	4589.098	0
fil	4072.879	90
tam	3923.149474	66
hin	3695.838887	550
ori	3693.529	31
mal	3693.529	37
guj	3693.529	46
tel	3693.529	80
kan	3693.529	47
mar	3693.529	90
urd	3510.67619	60
vie	3447.16496	80
gag	3373.298	0.16
uzb	3181.52188	24
aka	3083.293	19
ewe	3083.293	4
abr	3083.293	0
pan	3031.505786	104
snd	2786.946	41
lah	2786.946	60
lao	2658.929	5
aar	2641.539	1.5
tpi	2532.198	4
ben	2457.334016	230
kir	2372.405	5
bho	2241.177934	0
tgk	2237.760774	4
khm	2215.691	18
pus	2033.599794	26
wol	1870.988	4
bem	1610.722	0
toi	1610.722	0
loz	1610.722	0
bci	1589.83	0
yor	1481.063	25
fon	1481.063	0
swa	1415.422354	50
nep	1380.2317	30
kin	1340.532	12
mai	1327.999	0
mya	1324.627	52
lug	1317.258	10
hat	1234.953	12
pov	1144.064	0
bam	1127.518	6
snk	1127.518	0
amh	1092.629	25
sid	1092.629	0
orm	1092.629	26
vmw	1084.899	0
tso	1084.899	3
ngl	1084.899	0
chw	1084.899	0
seh	1084.899	0
tig	1039.192929	0
nya	948.5788403	9
ful	946.0086536	13
mlg	933.598	20
tum	859.851	2
yao	859.851	0
kri	848.816	0
som	844.4611945	14
tmh	771.08	0
dje	771.08	0
hau	771.08	39
sag	767.615	3
tir	735.471	7
run	614.52	5
lin	505.5639624	25
nde	487.197	0
sna	487.197	7
