language	gdp_per_capita	population
ell	20745.871	15000000
xho	11809.916	8000000
eng	11942.616	1500000000
afr	5554.146	13000000
vie	3842.290	80000000
cat	27213.723	9000000
amh	1340.779	25000000
ita	27714.911	70000000
ces	22951.714	12000000
cym	36405.545	750000
ara	5027.213	530000000
khm	1748.553	18000000
gle	17657.979	530000
zul	4908.953	26000000
aym	3597.513	2000000
est	16995.129	1070000
glg	25212.714	4000000
spa	13299.566	500000000
rus	9436.652	278000000
aze	3239.093	27000000
ltz	80527.276	390000
por	9535.359	290000000
kor	19865.971	78000000
lao	3502.483	5000000
eus	28814.531	1000000
nso	12573.142	4000000
tur	15155.565	70000000
lav	9291.795	2150000
lit	13665.479	4000000
pan	3646.021	104000000
tuk	3172.956	9000000
tha	8635.673	73000000
bam	2184.906	6000000
tgk	5044.880	4000000
ron	9231.921	28000000
isl	37250.021	320000
fil	2582.941	90000000
tam	4311.297	66000000
mon	3017.021	5000000
bel	8772.111	6000000
fra	16621.545	200000000
bul	6750.428	12000000
kur	9985.270	30000000
mar	3461.869	90000000
hbs	7926.930	23000000
ben	2729.490	230000000
deu	19535.211	185000000
kat	5019.883	4000000
hat	2322.238	12000000
dan	34324.606	6000000
zho	8003.481	1575000000
hin	3321.737	550000000
div	10906.158	300000
fin	30195.334	6000000
hye	3264.709	6000000
hun	14527.090	15000000
jpn	33520.632	132000000
heb	18809.954	10000000
orm	1245.843	26000000
tel	4005.877	80000000
que	1044.757	10000000
msa	5578.909	300000000
fas	7352.126	107000000
kaz	11390.530	12000000
mal	3849.491	37000000
sqi	1718.909	16000000
uzb	3125.297	24000000
swa	3146.595	50000000
swe	37726.978	10000000
mkd	4785.216	3000000
urd	4416.253	60000000
slk	16428.496	7000000
mlt	25405.543	370000
sin	4746.843	19000000
gla	812623.765	70000
pol	17921.088	43000000
ukr	4841.049	45000000
slv	28593.121	2000000
kir	1687.439	5000000
nld	35088.977	27000000
mya	927.442	52000000
nor	50340.202	5000000
