Lang_Code	Lang_Name	Num_Speakers_M	Family_Name	Family_Code	Viz_Family_Name	Viz_Family_Code	Primary_Family_Name	Primary_Family_Code
kab	Kabyle	8	Berber	ber	Afro-Asiatic (Other)	#N/A	Afro-Asiatic	afa
hau	Hausa	39	Chadic	cdc	Afro-Asiatic (Other)	#N/A	Afro-Asiatic	afa
aar	Afar	1.5	Cushitic	cus	Afro-Asiatic (Other)	#N/A	Afro-Asiatic	afa
orm	Oromo	26	Cushitic	cus	Afro-Asiatic (Other)	#N/A	Afro-Asiatic	afa
som	Somali	14	Cushitic	cus	Afro-Asiatic (Other)	#N/A	Afro-Asiatic	afa
amh	Amharic	25	Semitic	sem	Semitic	sem	Afro-Asiatic	afa
ara	Arabic	530	Semitic	sem	Semitic	sem	Afro-Asiatic	afa
heb	Hebrew	10	Semitic	sem	Semitic	sem	Afro-Asiatic	afa
mlt	Maltese	0.37	Semitic	sem	Semitic	sem	Afro-Asiatic	afa
arc	Official Aramaic	2	Semitic	sem	Semitic	sem	Afro-Asiatic	afa
syr	Syriac	0.000001	Semitic	sem	Semitic	sem	Afro-Asiatic	afa
tir	Tigrinya	7	Semitic	sem	Semitic	sem	Afro-Asiatic	afa
jpn	Japanese	132	Japanese	jpx	Japanese	jpx	Altaic	tut
kor	Korean	78	Korean	#N/A	Korean	#N/A	Altaic	tut
bua	Buriat	0.4	Mongolian	xgn	Mongolian	xgn	Altaic	tut
xal	Kalmyk	0.174	Mongolian	xgn	Mongolian	xgn	Altaic	tut
mon	Mongolian	5	Mongolian	xgn	Mongolian	xgn	Altaic	tut
aze	Azerbaijani	27	Turkic	trk	Turkic	trk	Altaic	tut
bak	Bashkir	2	Turkic	trk	Turkic	trk	Altaic	tut
chv	Chuvash	1	Turkic	trk	Turkic	trk	Altaic	tut
crh	Crimean Tatar	0.456	Turkic	trk	Turkic	trk	Altaic	tut
gag	Gagauz	0.16	Turkic	trk	Turkic	trk	Altaic	tut
kaa	Kara-Kalpak	0.41	Turkic	trk	Turkic	trk	Altaic	tut
krc	Karachay-Balkar	0.3	Turkic	trk	Turkic	trk	Altaic	tut
