Code	Language	Prim.+Sec. Speakers	Editors (5+) per M speakers	Views per hour	Article count
ab	Abkhazian	125 k	8	299	800
ace	Acehnese	3 M	1	338	"1,864"
af	Afrikaans	13 M	2	"5,424"	"23,209"
ak	Akan	19 M	0.1	98	149
als	Alemannic	10 M	2	"1,935"	"11,765"
am	Amharic	25 M	0.2	925	"11,698"
an	Aragonese	10 k	1200	"2,973"	"27,751"
ang	Anglo-Saxon	-	-	757	"2,567"
ar	Arabic	530 M	1	"97,929"	"329,481"
arc	Aramaic	2 M	2	328	"1,550"
arz	Egyptian Arabic	76 M	0.2	"2,449"	"8,996"
as	Assamese	13 M	2	528	"1,192"
ast	Asturian	275 k	51	"1,567"	"18,261"
av	Avar	60 k	17	155	"1,028"
ay	Aymara	2 M	0.9	299	"2,274"
az	Azeri	27 M	4	"6,281"	"88,220"
ba	Bashkir	2 M	4	646	"16,052"
bar	Bavarian	12 M	2	"1,161"	"5,534"
bat-smg	Samogitian	500 k	10	630	"13,229"
bcl	Central Bicolano	2 M	2	588	"5,521"
be	Belarusian	6 M	6	"3,753"	"43,574"
be-x-old	Belarusian (Taraå_kievica)	6 M	5	"2,780"	"44,843"
bg	Bulgarian	12 M	22	"28,710"	"133,269"
bh	Bihari	-	-	206	"2,791"
bi	Bislama				
bjn	Banjar	4 M	0.9	327	"1,287"
bm	Bambara	6 M	0.2	143	399
bn	Bengali	230 M	0.3	"3,142"	"23,618"
bo	Tibetan	7 M	0.4	480	"7,709"
bpy	Bishnupriya Manipuri	450 k	2	887	"24,858"
br	Breton	250 k	84	"3,728"	"42,991"
bs	Bosnian	3 M	13	"5,934"	"32,514"
bug	Buginese	4 M	0.2	378	"10,688"
bxr	Buryat	400 k	2	98	248
ca	Catalan	9 M	50	"29,922"	"378,599"
cbk-zam	Chavacano	607 k	3	227	883
cdo	Min Dong	9 M	0.1	115	319
ce	Chechen	1 M	0	272	"1,678"
ceb	Cebuano	20 M	0.1	"1,895"	"42,936"
ch	Chamorro	60 k	0	102	149
chr	Cherokee	18 k	56	203	484
chy	Cheyenne	712	2809	123	583
ckb	Sorani	4 M	4	847	"6,202"
co	Corsican	250 k	8	620	"6,324"
cr	Cree	117 k	0	110	171
crh	Crimean Tatar	456 k	7	310	"1,723"
cs	Czech	12 M	57	"79,769"	"234,853"
csb	Cassubian	50 k	20	348	"3,087"
cu	Old Church Slavonic	-	-	175	520
cv	Chuvash	1 M	5	915	"13,851"
cy	Welsh	750 k	39	"3,422"	"36,774"
da	Danish	6 M	47	"36,992"	"165,703"
de	German	185 M	35	"1,359,017"	"1,431,409"
diq	Zazaki	2 M	2	"1,042"	"17,203"
dsb	Lower Sorbian	14 k	357	365	"1,678"
dv	Divehi	300 k	3	426	"4,064"
dz	Dzongkha	600 k	0	103	173
ee	Ewe	4 M	0.3	121	297
el	Greek	15 M	19	"23,296"	"75,298"
eml	Emilian-Romagnol	2 M	2	289	"1,729"
en	English	1500 M	22	"10,491,924"	"4,028,686"
eo	Esperanto	1 M	110	"10,740"	"166,646"
es	Spanish	500 M	8	"1,396,362"	"901,989"
et	Estonian	1 M	109	"10,069"	"97,396"
eu	Basque	1 M	64	"5,945"	"135,261"
ext	Extremaduran	500 k	6	323	"2,359"
fa	Persian	107 M	7	"59,721"	"199,094"
ff	Fulfulde	13 M	0.1	82	161
fi	Finnish	6 M	96	"77,713"	"301,049"
fiu-vro	Voro	70 k	43	389	"4,848"
fj	Fijian	550 k	0	68	149
fo	Faroese	70 k	86	785	"5,557"
fr	French	200 M	25	"908,289"	"1,266,272"
frp	Arpitan	113 k	18	321	"2,191"
frr	North Frisian	10 k	300	345	"2,292"
fur	Friulian	794 k	1	354	"3,053"
fy	Frisian	650 k	20	"2,015"	"25,145"
ga	Irish	530 k	32	"1,409"	"14,964"
gan	Gan	35 M	0.1	"1,219"	"6,086"
gd	Scots Gaelic	70 k	114	"1,625"	"8,808"
gl	Galician	4 M	24	"5,541"	"87,827"
glk	Gilaki	3 M	0.6	186	"6,472"
gn	Guarani	7 M	0.3	331	"1,713"
got	Gothic	-	-	104	445
