1	China	     1,343,239,923
2	India	     1,205,073,612
3	United States	      313,847,465
4	Indonesia	      248,216,193
5	Brazil	      205,716,890
6	Pakistan	      190,291,129
7	Nigeria	      170,123,740
8	Bangladesh	      161,083,804
9	Russia	      138,082,178
10	Japan	      127,368,088
11	Mexico	      114,975,406
12	Philippines	      103,775,002
13	Ethiopia	       93,815,992
14	Vietnam	       91,519,289
15	Egypt	       83,688,164
16	Germany	       81,305,856
17	Turkey	       79,749,461
18	Iran	       78,868,711
19	Congo, Democratic Republic of the	       73,599,190
20	Thailand	       67,091,089
21	France	       65,630,692
22	United Kingdom	       63,047,162
23	Italy	       61,261,254
24	Burma	       54,584,650
25	Korea, South	       48,860,500
26	South Africa	       48,810,427
27	Spain	       47,042,984
28	Colombia	       45,239,079
29	Ukraine	       44,854,065
30	Tanzania	       43,601,796
31	Kenya	       43,013,341
32	Argentina	       42,192,494
33	Poland	       38,415,284
34	Uganda	       35,873,253
35	Algeria	       35,406,303
36	Canada	       34,300,083
37	Sudan	       34,206,710
38	Morocco	       32,309,239
39	Iraq	       31,129,225
40	Afghanistan	       30,419,928
41	Nepal	       29,890,686
42	Peru	       29,549,517
43	Malaysia	       29,179,952
44	Uzbekistan	       28,394,180
45	Venezuela	       28,047,938
46	Saudi Arabia	       26,534,504
47	Ghana	       25,241,998
48	Yemen	       24,771,809
49	Korea, North	       24,589,122
50	Mozambique	       23,515,934
51	Taiwan	       23,113,901
52	Madagascar	       22,585,517
53	Syria	       22,530,746
54	Australia	       22,015,576
55	Cote d'Ivoire	       21,952,093
56	Romania	       21,848,504
57	Sri Lanka	       21,481,334
58	Cameroon	       20,129,878
59	Angola	       18,056,072
60	Kazakhstan	       17,522,010
61	Burkina Faso	       17,275,115
62	Niger	       17,078,839
63	Chile	       17,067,369
64	Netherlands	       16,730,632
65	Malawi	       16,323,044
66	Ecuador	       15,223,680
67	Cambodia	       14,952,665
68	Mali	       14,533,511
69	Zambia	       14,309,466
70	Guatemala	       14,099,032
71	Senegal	       12,969,606
72	Zimbabwe	       12,619,600
73	Rwanda	       11,689,696
74	Cuba	       11,075,244
75	Chad	       10,975,648
76	Guinea	       10,884,958
77	Portugal	       10,781,459
78	Greece	       10,767,827
79	Tunisia	       10,732,900
80	South Sudan	       10,625,176
81	Burundi	       10,557,259
82	Belgium	       10,438,353
83	Bolivia	       10,290,003
