AFRICA,ASIA,EUROPE,"N. AMERICA",OCEANIA,"S. AMERICA"
Algeria,Afghanistan,Albania,Antigua and Barbuda,Australia,Argentina
Angola,Bahrain,Andorra,Bahamas,Fiji,Bolivia
Benin,Bangladesh,Armenia,Barbados,Kiribati,Brazil
Botswana,Bhutan,Austria,Belize,Marshall Islands,Chile
Burkina,Brunei,Azerbaijan,Canada,Micronesia,Colombia
Burundi,Burma (Myanmar),Belarus,Costa Rica,Nauru,Ecuador
Cameroon,Cambodia,Belgium,Cuba,New Zealand,Guyana
Cape Verde,China,Bosnia and Herzegovina,Dominica,Palau,Paraguay
Central African Republic,East Timor,Bulgaria,Dominican Republic,Papua New Guinea,Peru
Chad,India,Croatia,El Salvador,Samoa,Suriname
Comoros,Indonesia,Cyprus,Grenada,Solomon Islands,Uruguay
Congo,Iran,Czech Republic,Guatemala,Tonga,Venezuela
"Congo, Democratic Republic of",Iraq,Denmark,Haiti,Tuvalu,
Djibouti,Israel,Estonia,Honduras,Vanuatu,
Egypt,Japan,Finland,Jamaica,,
Equatorial Guinea,Jordan,France,Mexico,,
Eritrea,Kazakhstan,Georgia,Nicaragua,,
Ethiopia,"Korea, North",Germany,Panama,,
Gabon,"Korea, South",Greece,Saint Kitts and Nevis,,
Gambia,Kuwait,Hungary,Saint Lucia,,
Ghana,Kyrgyzstan,Iceland,Saint Vincent and the Grenadines,,
Guinea,Laos,Ireland,Trinidad and Tobago,,
Guinea-Bissau,Lebanon,Italy,United States,,
Ivory Coast,Malaysia,Latvia,,,
Kenya,Maldives,Liechtenstein,,,
Lesotho,Mongolia,Lithuania,,,
Liberia,Nepal,Luxembourg,,,
Libya,Oman,Macedonia,,,
Madagascar,Pakistan,Malta,,,
Malawi,Philippines,Moldova,,,
Mali,Qatar,Monaco,,,
Mauritania,Russian Federation,Montenegro,,,
Mauritius,Saudi Arabia,Netherlands,,,
Morocco,Singapore,Norway,,,
Mozambique,Sri Lanka,Poland,,,
Namibia,Syria,Portugal,,,
Niger,Tajikistan,Romania,,,
Nigeria,Thailand,San Marino,,,
Rwanda,Turkey,Serbia,,,
Sao Tome and Principe,Turkmenistan,Slovakia,,,
Senegal,United Arab Emirates,Slovenia,,,
Seychelles,Uzbekistan,Spain,,,
Sierra Leone,Vietnam,Sweden,,,
Somalia,Yemen,Switzerland,,,
South Africa,,Ukraine,,,
South Sudan,,United Kingdom,,,
Sudan,,Vatican City,,,
Swaziland,,,,,
Tanzania,,,,,
Togo,,,,,
Tunisia,,,,,
Uganda,,,,,
Zambia,,,,,
Zimbabwe,,,,,
