date_period,orig_country,lang_family,lang_branch,orig_lang,dest_continent,dest_country,num_results
1/1/07,us,Indo-European,Germanic,en,AFRICA,Angola,909
1/1/07,us,Indo-European,Germanic,en,AFRICA,Burundi,99
1/1/07,us,Indo-European,Germanic,en,AFRICA,Benin,77
1/1/07,us,Indo-European,Germanic,en,AFRICA,Burkina Faso,126
1/1/07,us,Indo-European,Germanic,en,AFRICA,Botswana,96
1/1/07,us,Indo-European,Germanic,en,AFRICA,Central African Republic,81
1/1/07,us,Indo-European,Germanic,en,AFRICA,Cote d'Ivoire,353
1/1/07,us,Indo-European,Germanic,en,AFRICA,Cameroon,114
1/1/07,us,Indo-European,Germanic,en,AFRICA,Republic of the Congo,84
1/1/07,us,Indo-European,Germanic,en,AFRICA,Eritrea,127
1/1/07,us,Indo-European,Germanic,en,AFRICA,Ethiopia,1820
1/1/07,us,Indo-European,Germanic,en,AFRICA,Gabon,55
1/1/07,us,Indo-European,Germanic,en,AFRICA,Ghana,1080
1/1/07,us,Indo-European,Germanic,en,AFRICA,Guinea,741
1/1/07,us,Indo-European,Germanic,en,AFRICA,Gambia,71
1/1/07,us,Indo-European,Germanic,en,AFRICA,Guinea-Bissau,35
1/1/07,us,Indo-European,Germanic,en,AFRICA,Kenya,2560
1/1/07,us,Indo-European,Germanic,en,AFRICA,Liberia,547
1/1/07,us,Indo-European,Germanic,en,AFRICA,Lesotho,37
1/1/07,us,Indo-European,Germanic,en,AFRICA,Madagascar,82
1/1/07,us,Indo-European,Germanic,en,AFRICA,Mali,1270
1/1/07,us,Indo-European,Germanic,en,AFRICA,Mozambique,131
1/1/07,us,Indo-European,Germanic,en,AFRICA,Mauritania,103
1/1/07,us,Indo-European,Germanic,en,AFRICA,Mauritius,67
1/1/07,us,Indo-European,Germanic,en,AFRICA,Malawi,138
1/1/07,us,Indo-European,Germanic,en,AFRICA,Namibia,109
1/1/07,us,Indo-European,Germanic,en,AFRICA,Niger,737
1/1/07,us,Indo-European,Germanic,en,AFRICA,Nigeria,2740
1/1/07,us,Indo-European,Germanic,en,AFRICA,Rwanda,581
1/1/07,us,Indo-European,Germanic,en,AFRICA,Sudan,2190
1/1/07,us,Indo-European,Germanic,en,AFRICA,Senegal,684
1/1/07,us,Indo-European,Germanic,en,AFRICA,Sierra Leone,139
1/1/07,us,Indo-European,Germanic,en,AFRICA,Somalia,3810
1/1/07,us,Indo-European,Germanic,en,AFRICA,Chad,2530
1/1/07,us,Indo-European,Germanic,en,AFRICA,Togo,98
1/1/07,us,Indo-European,Germanic,en,AFRICA,Tanzania,990
1/1/07,us,Indo-European,Germanic,en,AFRICA,Uganda,1430
1/1/07,us,Indo-European,Germanic,en,AFRICA,South Africa,5410
1/1/07,us,Indo-European,Germanic,en,AFRICA,Democratic Republic of the Congo,75
1/1/07,us,Indo-European,Germanic,en,AFRICA,Zambia,113
1/1/07,us,Indo-European,Germanic,en,AFRICA,Zimbabwe,736
1/1/07,us,Indo-European,Germanic,en,ASIA,Afghanistan,7470
1/1/07,us,Indo-European,Germanic,en,ASIA,Bangladesh,1220
1/1/07,us,Indo-European,Germanic,en,ASIA,Bhutan,40
1/1/07,us,Indo-European,Germanic,en,ASIA,India,14700
1/1/07,us,Indo-European,Germanic,en,ASIA,Sri Lanka,1750
1/1/07,us,Indo-European,Germanic,en,ASIA,Nepal,753
1/1/07,us,Indo-European,Germanic,en,ASIA,Pakistan,4860
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Canada,12400
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,United States,45387
1/1/07,us,Indo-European,Germanic,en,ASIA,United Arab Emirates,992
1/1/07,us,Indo-European,Germanic,en,AFRICA,Algeria,540
1/1/07,us,Indo-European,Germanic,en,AFRICA,Egypt,2720
1/1/07,us,Indo-European,Germanic,en,ASIA,Iran,11600
1/1/07,us,Indo-European,Germanic,en,ASIA,Iraq,26700
1/1/07,us,Indo-European,Germanic,en,ASIA,Israel,10300
1/1/07,us,Indo-European,Germanic,en,ASIA,Jordan,5140
1/1/07,us,Indo-European,Germanic,en,ASIA,Kuwait,1890
1/1/07,us,Indo-European,Germanic,en,ASIA,Lebanon,4030
1/1/07,us,Indo-European,Germanic,en,AFRICA,Libya,709
1/1/07,us,Indo-European,Germanic,en,AFRICA,Morocco,186
1/1/07,us,Indo-European,Germanic,en,ASIA,Oman,185
1/1/07,us,Indo-European,Germanic,en,ASIA,Qatar,1730
1/1/07,us,Indo-European,Germanic,en,ASIA,Saudi Arabia,3090
1/1/07,us,Indo-European,Germanic,en,ASIA,Syria,3640
1/1/07,us,Indo-European,Germanic,en,AFRICA,Tunisia,119
1/1/07,us,Indo-European,Germanic,en,ASIA,West Bank,2457
1/1/07,us,Indo-European,Germanic,en,ASIA,Yemen,165
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Argentina,8820
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Bolivia,3060
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Brazil,2570
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Chile,5010
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Colombia,3830
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Costa Rica,1170
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Cuba,3960
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Dominican Republic,164
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Ecuador,4960
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Guatemala,966
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Honduras,704
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Haiti,544
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Jamaica,1000
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Mexico,7630
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Nicaragua,2100
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Panama,1830
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Peru,1220
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,Puerto Rico,1230
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Paraguay,2260
1/1/07,us,Indo-European,Germanic,en,N_AMERICA,El Salvador,1930
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Uruguay,4270
1/1/07,us,Indo-European,Germanic,en,S_AMERICA,Venezuela,6750
1/1/07,us,Indo-European,Germanic,en,EUROPE,Albania,88
1/1/07,us,Indo-European,Germanic,en,EUROPE,Armenia,768
1/1/07,us,Indo-European,Germanic,en,EUROPE,Austria,2020
1/1/07,us,Indo-European,Germanic,en,EUROPE,Azerbaijan,836
1/1/07,us,Indo-European,Germanic,en,EUROPE,Belgium,1420
1/1/07,us,Indo-European,Germanic,en,EUROPE,Bulgaria,1670
1/1/07,us,Indo-European,Germanic,en,EUROPE,Bosnia and Herzegovina,32
