Final_Code	Final_Name	Status	Partner_Agency	639_3	639_2	639_2_B	639_1	Common_Twitter_Wiki_Code	Twitter_CLD_Only_Code	Wiki_Only_Code	Reference_Name	Element_Scope	Language_Type	Documentation
aaa	Ghotuo	A	SIL	aaa							Ghotuo	I	L	SIL
aab	Alumu-Tesu	A	SIL	aab							Alumu-Tesu	I	L	SIL
aac	Ari	A	SIL	aac							Ari	I	L	SIL
aad	Amal	A	SIL	aad							Amal	I	L	SIL
aaf	Aranadan	A	SIL	aaf							Aranadan	I	L	SIL
aag	Ambrak	A	SIL	aag							Ambrak	I	L	SIL
aah	Abu' Arapesh	A	SIL	aah							Abu' Arapesh	I	L	
aai	Arifama-Miniafia	A	SIL	aai							Arifama-Miniafia	I	L	SIL
aak	Ankave	A	SIL	aak							Ankave	I	L	SIL
aal	Afade	A	SIL	aal							Afade	I	L	SIL
aam	Aramanik	A	SIL	aam							Aramanik	I	L	SIL
aan	Anambé	A	SIL	aan							Anambé	I	L	SIL
aap	Pará Arára	A	SIL	aap							Pará Arára	I	L	SIL
aaq	Eastern Abnaki	A	SIL	aaq							Eastern Abnaki	I	E	SIL
aar	Afar	A	JAC	aar	aar		aa	aa			Afar	I	L	SIL
aas	Aasáx	A	SIL	aas							Aasáx	I	L	SIL
aau	Abau	A	SIL	aau							Abau	I	L	SIL
aaw	Solong	A	SIL	aaw							Solong	I	L	SIL
aax	Mandobo Atas	A	SIL	aax							Mandobo Atas	I	L	SIL
aay	Aariya	R	SIL	aay							Aariya	I	L	
aaz	Amarasi	A	SIL	aaz							Amarasi	I	L	SIL
aba	Abé	A	SIL	aba							Abé	I	L	SIL
abb	Bankon	A	SIL	abb							Bankon	I	L	SIL
abc	Ambala Ayta	A	SIL	abc							Ambala Ayta	I	L	SIL
abd	Manide	A	SIL	abd							Manide	I	L	SIL
abe	Western Abnaki	A	SIL	abe							Western Abnaki	I	E	SIL
abf	Abai Sungai	A	SIL	abf							Abai Sungai	I	L	SIL
abg	Abaga	A	SIL	abg							Abaga	I	L	SIL
abi	Abidji	A	SIL	abi							Abidji	I	L	SIL
abj	Aka-Bea	A	SIL	abj							Aka-Bea	I	E	SIL
abk	Abkhazian	A	JAC	abk	abk		ab	ab			Abkhazian	I	L	SIL
abl	Lampung Nyo	A	SIL	abl							Lampung Nyo	I	L	SIL
abm	Abanyom	A	SIL	abm							Abanyom	I	L	SIL
abn	Abua	A	SIL	abn							Abua	I	L	SIL
abo	Abon	A	SIL	abo							Abon	I	L	SIL
abp	Abellen Ayta	A	SIL	abp							Abellen Ayta	I	L	SIL
abq	Abaza	A	SIL	abq							Abaza	I	L	SIL
abr	Abron	A	SIL	abr							Abron	I	L	SIL
abs	Ambonese Malay	A	SIL	abs							Ambonese Malay	I	L	SIL
abt	Ambulas	A	SIL	abt							Ambulas	I	L	SIL
abu	Abure	A	SIL	abu							Abure	I	L	SIL
abw	Pal	A	SIL	abw							Pal	I	L	SIL
abx	Inabaknon	A	SIL	abx							Inabaknon	I	L	SIL
aby	Aneme Wake	A	SIL	aby							Aneme Wake	I	L	SIL
abz	Abui	A	SIL	abz							Abui	I	L	SIL
aca	Achagua	A	SIL	aca							Achagua	I	L	SIL
acb	Áncá	A	SIL	acb							Áncá	I	L	SIL
acc	Cubulco Achí	R	SIL	acc							Cubulco Achí	I	L	
acd	Gikyode	A	SIL	acd							Gikyode	I	L	SIL
ace	Achinese	A	JAC	ace	ace						Achinese	I	L	SIL
acf	Saint Lucian Creole French	A	SIL	acf							Saint Lucian Creole French	I	L	SIL
ach	Acoli	A	JAC	ach	ach						Acoli	I	L	SIL
aci	Aka-Cari	A	SIL	aci							Aka-Cari	I	E	SIL
ack	Aka-Kora	A	SIL	ack							Aka-Kora	I	E	SIL
acl	Akar-Bale	A	SIL	acl							Akar-Bale	I	E	SIL
acn	Achang	A	SIL	acn							Achang	I	L	SIL
acp	Eastern Acipa	A	SIL	acp							Eastern Acipa	I	L	SIL
acr	Achi	A	SIL	acr							Achi	I	L	SIL
acs	Acroá	A	SIL	acs							Acroá	I	E	SIL
act	Achterhoeks	A	SIL	act							Achterhoeks	I	L	SIL
acu	Achuar-Shiwiar	A	SIL	acu							Achuar-Shiwiar	I	L	SIL
acv	Achumawi	A	SIL	acv							Achumawi	I	L	SIL
