MacroCode	MacroName	IndivCode	IndivName
sqi	Albanian	aae	Arbëreshë Albanian
ara	Arabic	aao	Algerian Saharan Arabic
sqi	Albanian	aat	Arvanitika Albanian
ara	Arabic	abh	Tajiki Arabic
ara	Arabic	abv	Baharna Arabic
ara	Arabic	acm	Mesopotamian Arabic
ara	Arabic	acq	Ta'izzi-Adeni Arabic
ara	Arabic	acw	Hijazi Arabic
ara	Arabic	acx	Omani Arabic
ara	Arabic	acy	Cypriot Arabic
ara	Arabic	adf	Dhofari Arabic
ara	Arabic	aeb	Tunisian Arabic
ara	Arabic	aec	Saidi Arabic
ara	Arabic	afb	Gulf Arabic
syr	Syriac	aii	Assyrian Neo-Aramaic
ara	Arabic	ajp	South Levantine Arabic
jrb	Judeo-Arabic	ajt	Judeo-Tunisian Arabic
jrb	Judeo-Arabic	aju	Judeo-Moroccan Arabic
sqi	Albanian	aln	Gheg Albanian
sqi	Albanian	als	Tosk Albanian
ara	Arabic	apc	North Levantine Arabic
ara	Arabic	apd	Sudanese Arabic
ara	Arabic	arb	Standard Arabic
ara	Arabic	arq	Algerian Arabic
ara	Arabic	ars	Najdi Arabic
ara	Arabic	ary	Moroccan Arabic
ara	Arabic	arz	Egyptian Arabic
ara	Arabic	auz	Uzbeki Arabic
ara	Arabic	avl	Eastern Egyptian Bedawi Arabic
aym	Aymara	ayc	Southern Aymara
ara	Arabic	ayh	Hadrami Arabic
ara	Arabic	ayl	Libyan Arabic
ara	Arabic	ayn	Sanaani Arabic
ara	Arabic	ayp	North Mesopotamian Arabic
aym	Aymara	ayr	Central Aymara
aze	Azerbaijani	azb	South Azerbaijani
aze	Azerbaijani	azj	North Azerbaijani
ara	Arabic	bbz	Babalia Creole Arabic
bal	Baluchi	bcc	Southern Balochi
bik	Bikol	bcl	Central Bikol
gba	Gbaya (Central African Republic)	bdt	Bokoto
bal	Baluchi	bgn	Western Balochi
bal	Baluchi	bgp	Eastern Balochi
raj	Rajasthani	bgq	Bagri
bik	Bikol	bhk	Albay Bicolano  (Retired 1/15/2010)
mlg	Malagasy	bhr	Bara Malagasy
msa	Malay (macrolanguage)	bjn	Banjar
mlg	Malagasy	bjq	Southern Betsimisaraka Malagasy  (Retired )
bik	Bikol	bln	Southern Catanduanes Bikol
