FirstTime	Lang	EnglishName	ISO6393Lang	FirstDate	IndigName	LastSize
09:57:45	en	Rain (entertainer)	eng	2005-02-23	Rain (entertainer)	43710
14:25:59	zh	Rain (entertainer)	zho	2006-07-15	Rain	9877
12:47:37	vi	Rain (entertainer)	vie	2006-04-16	Rain (ca sĩ)	20976
18:11:40	it	Rain (entertainer)	ita	2008-07-18	Rain (cantante)	9106
11:25:34	gl	Rain (entertainer)	glg	2012-07-23	Rain (artista)	2915
10:33:46	id	Rain (entertainer)	msa	2009-06-21	Rain (penyanyi)	3549
03:02:12	es	Rain (entertainer)	spa	2008-11-12	Rain (cantante)	7377
14:03:43	ru	Rain (entertainer)	rus	2010-03-23	Рейн (актёр)	29255
04:04:06	pt	Rain (entertainer)	por	2011-10-02	Rain (cantor)	2527
15:08:00	tl	Rain (entertainer)	fil	2010-11-05	Rain (mang-aawit)	620
02:42:45	th	Rain (entertainer)	tha	2006-02-08	เรน (นักร้อง)	15031
16:26:04	ro	Rain (entertainer)	ron	2010-09-07	Rain (artist)	31318
20:32:23	pam	Rain (entertainer)	pam	2011-11-10	Rain (talakanta)	704
14:43:32	fr	Rain (entertainer)	fra	2008-03-12	Rain (chanteur)	9763
20:17:36	jv	Rain (entertainer)	jav	2011-08-11	Jeong Ji Hoon	5867
13:24:40	de	Rain (entertainer)	deu	2007-05-05	Rain (Sänger)	11970
16:08:57	hu	Rain (entertainer)	hun	2011-11-23	Rain (előadó)	8813
18:21:18	fi	Rain (entertainer)	fin	2006-10-20	Rain	4039
07:38:24	ja	Rain (entertainer)	jpn	2005-09-07	ピ (歌手)	32191
02:24:53	ko	Rain (entertainer)	kor	2004-11-28	비 (가수)	26478
16:01:32	ms	Rain (entertainer)	msa	2007-12-11	Rain (penghibur)	2361
07:58:10	my	Rain (entertainer)	mya	2009-08-18	ရိန်း	10451
03:22:14	en	Yao Chen	eng	2011-06-14	Yao Chen	3987
12:04:24	zh	Yao Chen	zho	2006-07-22	姚晨	9791
19:03:01	ru	Camila Vallejo	rus	2011-09-11	Вальехо, Камила	11232
10:07:00	fr	Camila Vallejo	fra	2011-08-30	Camila Vallejo	4094
02:14:01	en	Camila Vallejo	eng	2011-08-06	Camila Vallejo	9529
05:50:15	pt	Camila Vallejo	por	2011-08-16	Camila Vallejo	2333
16:29:58	tr	Camila Vallejo	tur	2011-08-28	Camila Vallejo	2390
21:19:43	de	Camila Vallejo	deu	2011-08-25	Camila Vallejo	11855
22:03:37	ko	Camila Vallejo	kor	2011-09-21	카밀라 바예호	1056
02:20:57	ne	Camila Vallejo	nep	2011-11-27	क्यामिला भ्यालेजो	2890
14:40:45	it	Camila Vallejo	ita	2011-08-05	Camila Vallejo	10648
15:39:24	si	Camila Vallejo	sin	2012-06-03	කමිලා බෂේහෝ	5413
