Lang_Code	Lang_Name	Num_Speakers_M	Family_Name	Family_Code	Viz_Family_Name	Viz_Family_Code	Primary_Family_Name	Primary_Family_Code
aar	Afar	1.5	Cushitic	cus	Afro-Asiatic	afa	Afro-Asiatic	afa
abk	Abkhazian	0.125	Caucasian	cau	Caucasian	cau	Caucasian	cau
ace	Achinese	3	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
afr	Afrikaans	13	Germanic	gem	Germanic	gem	Indo-European	ine
aka	Akan	34	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
amh	Amharic	25	Semitic	sem	Afro-Asiatic	afa	Afro-Asiatic	afa
ang	English (Old)	0	Germanic	gem	Germanic	gem	Indo-European	ine
ara	Arabic	606	Semitic	sem	Afro-Asiatic	afa	Afro-Asiatic	afa
arc	Official Aramaic (700-300 BCE)	2	Semitic	sem	Afro-Asiatic	afa	Afro-Asiatic	afa
arg	Aragonese	0.01	Italic	itc	Italic	itc	Indo-European	ine
asm	Assamese	13	Indic	inc	Indic	inc	Indo-European	ine
ast	Asturian	0.275	Italic	itc	Italic	itc	Indo-European	ine
ava	Avaric	0.06	Caucasian	cau	Caucasian	cau	Caucasian	cau
aym	Aymara	2	Quechuan	qwe	Amerindian	z-ame	South American Indian	sai
aze	Azerbaijani	27	Turkic	trk	Turkic	trk	Altaic	tut
bak	Bashkir	2	Turkic	trk	Turkic	trk	Altaic	tut
bam	Bambara	6	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
bar	Bavarian	12	Germanic	gem	Germanic	gem	Indo-European	ine
bel	Belarusian	6	Slavic	sla	Balto-Slavic	z-bsl	Indo-European	ine
ben	Bengali	230	Indic	inc	Indic	inc	Indo-European	ine
bik	Bikol	2	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
bis	Bislama	0	Creole (English)	cpe	Creoles and pidgins	crp	Creoles and pidgins	crp
