EnglishName	Lang	ISO6393Lang	IndigName	FirstDate	FirstTime	LastSize
Intuit	fr	fra	Intuit	2007-11-26	20:45:08	2361
Intuit	en	eng	Intuit	2001-03-28	19:36:34	28070
Intuit	kk	kaz	Intuit	2012-03-30	13:48:44	3289
Intuit	ml	mal	ഇന്റുഇറ്റ്	2008-11-08	18:33:57	3440
Intuit	de	deu	Intuit	2007-01-29	20:06:25	2411
Intuit	id	msa	Intuit	2012-01-13	09:45:02	4281
Marvell Technology Group	fr	fra	Marvell Technology Group	2007-11-26	20:38:34	3510
Marvell Technology Group	en	eng	Marvell Technology Group	2006-05-24	19:13:07	9479
Marvell Technology Group	zh	zho	迈威尔科技	2007-11-15	08:19:33	4452
Marvell Technology Group	pt	por	Marvell Technology Group	2012-03-22	02:57:34	505
Marvell Technology Group	de	deu	Marvell Technology Group	2007-12-06	11:23:32	4240
Marvell Technology Group	ko	kor	마벨 테크놀로지 그룹	2010-02-17	02:55:43	1556
Marvell Technology Group	it	ita	Marvell Technology Group	2006-12-01	14:10:21	2202
Marvell Technology Group	id	msa	Marvell Technology Group	2012-09-19	16:38:48	3846
Marvell Technology Group	ja	jpn	Marvell	2009-10-20	09:59:04	13400
IDEO	fr	fra	IDEO (design)	2005-07-13	20:06:35	667
IDEO	en	eng	IDEO	2003-07-13	05:02:45	6342
IDEO	zh	zho	IDEO	2005-04-15	08:58:33	2692
IDEO	de	deu	IDEO	2008-07-18	13:40:53	9187
IDEO	ko	kor	아이데오	2011-03-27	10:06:22	4088
IDEO	sv	swe	Ideo	2010-10-11	08:04:58	2579
IDEO	ja	jpn	IDEO	2008-09-15	15:09:26	6324
IDEO	ta	tam	ஐடியோ	2009-10-30	00:16:51	901
Dentsu	ru	rus	Dentsu	2009-10-02	14:16:54	2520
Dentsu	fr	fra	Dentsu	2008-05-02	05:08:03	3071
Dentsu	en	eng	Dentsu	2005-12-19	11:52:11	7915
Dentsu	zh	zho	电通	2005-07-03	06:17:28	4168
Dentsu	pt	por	Dentsu	2009-12-27	17:52:12	5375
Dentsu	de	deu	Dentsū	2006-02-26	23:28:49	5109
Dentsu	ko	kor	덴쓰	2009-10-26	13:53:30	856
Dentsu	sv	swe	Dentsu	2008-03-24	17:58:38	559
Dentsu	id	msa	Dentsu	2012-10-10	13:17:26	2850
Dentsu	tl	fil	Dentsu	2010-11-21	07:13:24	258
Dentsu	ro	ron	Dentsu	2009-05-02	14:16:01	751
Dentsu	ja	jpn	電通	2004-03-31	11:59:43	38800
ESPN	en	eng	ESPN	2002-08-30	05:37:05	19846
ESPN	zh	zho	ESPN	2005-04-19	11:30:48	10191
ESPN	vi	vie	ESPN	2008-01-07	09:44:11	5284
ESPN	ca	cat	ESPN	2005-10-26	14:02:44	1165
ESPN	it	ita	ESPN	2007-10-12	03:23:29	21245
ESPN	ar	ara	إي إس بي إن	2011-11-14	00:08:58	3270
ESPN	gl	glg	ESPN	2011-01-07	14:55:23	757
ESPN	id	msa	ESPN	2007-12-02	04:26:29	3960
ESPN	es	spa	ESPN	2005-06-01	23:34:09	10436
ESPN	ru	rus	ESPN	2007-08-03	10:13:55	6137
ESPN	nl	nld	ESPN	2005-07-10	09:51:48	2357
ESPN	pt	por	ESPN	2005-08-02	13:50:05	26814
ESPN	no	nor	ESPN	2009-05-01	11:39:47	2115
ESPN	tr	tur	ESPN	2009-03-23	10:58:55	3015
ESPN	lv	lav	ESPN	2010-12-27	15:51:44	2353
ESPN	tl	fil	ESPN	2005-11-10	01:26:09	1329
ESPN	th	tha	อีเอสพีเอ็น	2008-12-11	11:27:14	45901
ESPN	pl	pol	ESPN	2007-08-08	07:01:46	2542
ESPN	ta	tam	ஈஎஸ்பிஎன்	2008-10-23	06:12:16	4081
ESPN	fr	fra	ESPN (chaîne américaine)	2006-04-27	06:13:49	7952
ESPN	ms	msa	ESPN	2007-12-16	17:41:30	2414
ESPN	mr	mar	ईएसपीएन	2007-09-21	08:31:48	1671
ESPN	de	deu	ESPN	2005-06-22	09:40:31	4769
ESPN	da	dan	ESPN	2010-06-14	08:57:58	3757
ESPN	fa	fas	ای‌اس‌پی‌ان	2010-01-05	20:35:46	1847
ESPN	fi	fin	ESPN	2005-11-03	14:51:49	2686
ESPN	ja	jpn	ESPN	2006-05-06	00:29:35	7986
ESPN	he	heb	ESPN	2008-03-17	22:06:14	4796
ESPN	ko	kor	ESPN	2008-02-10	21:55:30	3948
ESPN	sv	swe	ESPN	2006-04-22	00:33:35	6280
ESPN	uk	ukr	ESPN	2010-06-22	20:05:26	3196
ESPN	sl	slv	ESPN	2005-07-22	09:39:13	1799
Toppan	fr	fra	Toppan Printing	2007-11-30	21:31:47	1665
Toppan	en	eng	Toppan	2010-11-11	20:22:47	671
Toppan	zh	zho	凸版印刷 (公司)	2007-06-28	04:31:25	9327
Toppan	ja	jpn	凸版印刷	2004-10-15	18:17:19	12323
Culture Convenience Club	en	eng	Culture Convenience Club	2010-06-13	03:56:16	3291
Culture Convenience Club	zh	zho	Culture Convenience Club	2011-03-01	03:10:51	5102
Culture Convenience Club	ja	jpn	カルチュア・コンビニエンス・クラブ	2004-03-20	13:50:06	33484
Sberbank	sah	sah	Сбербанк	2011-01-15	13:13:34	1961
Sberbank	zh	zho	俄罗斯联邦储蓄银行	2009-09-11	12:15:27	2748
Sberbank	vi	vie	Sberbank	2012-09-19	09:50:15	2216
Sberbank	it	ita	Sberbank	2007-06-06	09:33:15	2339
Sberbank	en	eng	Sberbank	2004-03-16	11:02:24	16757
Sberbank	cs	ces	Sberbank	2009-05-31	01:32:03	3189
Sberbank	et	est	Sberbank	2008-10-28	21:12:59	1245
Sberbank	cv	chv	Раççей Перекет банкĕ	2008-09-21	19:37:34	2072
Sberbank	es	spa	Sberbank	2011-01-13	19:24:53	5216
Sberbank	ru	rus	Сбербанк России	2006-02-10	14:46:03	55082
Sberbank	nl	nld	Sberbank	2008-08-19	22:04:39	1700
Sberbank	pt	por	Sberbank	2011-09-16	17:05:38	1260
Sberbank	lt	lit	Sberbank	2011-05-25	16:43:16	1140
Sberbank	ro	ron	Sberbank	2010-06-27	21:09:05	1704
Sberbank	pl	pol	Sbierbank Rossii	2012-09-13	21:28:32	1352
Sberbank	fr	fra	Sberbank	2007-11-29	18:58:33	3027
Sberbank	de	deu	Sberbank	2006-09-24	06:49:53	5208
Sberbank	fi	fin	Sberbank	2007-06-27	15:28:33	4328
Sberbank	ja	jpn	ロシア貯蓄銀行	2007-12-04	01:42:24	2250
Sberbank	he	heb	סברבנק	2006-09-21	18:17:15	2356
Sberbank	sv	swe	Sberbank	2009-05-30	09:06:57	2034
Sberbank	uk	ukr	Сбербанк Росії	2009-08-02	07:24:16	10381
NEC	en	eng	NEC	2003-11-30	17:17:05	26990
NEC	zh	zho	日本電氣	2004-04-12	14:36:41	16449
NEC	vi	vie	NEC	2008-05-23	06:03:43	2725
NEC	ca	cat	NEC Corporation	2010-10-21	14:07:13	3424
NEC	fr	fra	NEC	2005-01-16	00:15:09	9576
NEC	ar	ara	إن إي سي	2008-07-02	15:54:22	7316
NEC	et	est	NEC	2010-12-01	07:57:39	1100
NEC	id	msa	NEC	2005-09-24	03:13:43	4424
NEC	es	spa	NEC Corporation	2005-12-17	14:23:45	4264
NEC	ru	rus	NEC	2006-06-16	06:38:39	5552
NEC	nl	nld	NEC Corporation	2005-10-05	11:25:30	2202
NEC	pt	por	NEC Corporation	2006-07-29	17:29:55	2796
NEC	no	nor	NEC Corporation	2005-03-31	14:48:11	1489
NEC	tr	tur	NEC	2008-08-05	20:39:49	3012
NEC	lt	lit	NEC	2012-01-26	19:13:44	2964
NEC	ro	ron	NEC	2008-06-14	06:38:44	2261
NEC	pl	pol	NEC Corporation	2005-03-25	11:40:35	3731
NEC	kaa	kaa	NEC	2008-09-14	09:03:05	2036
NEC	hr	hbs	NEC	2006-01-20	12:01:11	1701
NEC	bn	ben	এনইসি	2006-11-04	09:40:04	1393
NEC	de	deu	NEC Corporation	2004-09-13	11:19:51	7095
NEC	it	ita	NEC Corporation	2006-05-13	13:04:39	5196
NEC	fa	fas	ان‌ای‌سی	2008-05-26	17:56:41	2797
NEC	bs	hbs	NEC	2006-05-05	07:08:52	1668
NEC	fi	fin	NEC	2012-08-19	17:22:39	1099
NEC	da	dan	NEC	2009-03-01	11:12:35	778
NEC	ja	jpn	日本電気	2003-02-17	06:29:21	55715
NEC	ckb	kur	ئێن ئی سی	2012-07-19	21:07:00	1006
NEC	ml	mal	നിപ്പോൺ ഇലക്ട്രിക് കോർപ്പറേഷൻ	2012-07-19	06:13:08	6828
NEC	ko	kor	닛폰 전기	2007-11-11	12:13:33	31834
NEC	sv	swe	NEC	2006-06-28	21:35:31	1684
NEC	sh	hbs	NEC	2007-05-16	12:00:08	1783
NEC	uk	ukr	NEC	2007-11-19	08:45:56	2958
Denso	fr	fra	Denso Corporation	2007-11-17	15:05:18	2811
Denso	en	eng	Denso	2005-11-01	22:05:28	5920
Denso	nl	nld	Denso	2008-01-15	09:52:34	2141
Denso	pt	por	Denso	2010-03-23	13:15:08	2340
Denso	af	afr	DENSO Corporation	2008-03-27	02:10:30	1607
Denso	de	deu	Denso	2006-02-12	21:54:35	5674
Denso	it	ita	Denso	2010-08-04	17:39:13	3903
Denso	hu	hun	DENSO	2009-05-09	21:56:39	1794
Denso	ar	ara	دنسو	2009-02-23	13:59:45	2027
Denso	zh	zho	電裝	2005-10-05	19:45:57	794
