Lang_Code	Lang_Name	Lang_Long_Name	Num_Speakers_M	Blurb
aar	Afar	Afar	1.5	
aaz	Amarasi	Amarasi	-1	
abi	Abidji	Abidji	-1	
abk	Abkhazian	Abkhazian	0.125	
abq	Abaza	Abaza	-1	
abx	Inabaknon	Inabaknon	-1	
aby	Aneme Wake	Aneme Wake	-1	
acd	Gikyode	Gikyode	-1	
ace	Achinese	Achinese	3	
acf	Saint Lucian Creole French	Saint Lucian Creole French	-1	
ach	Acoli	Acoli	-1	
acr	Achi	Achi	-1	
adj	Adioukrou	Adioukrou	-1	
ady	Adyghe	Adyghe	-1	
aee	Northeast Pashayi	Northeast Pashayi	-1	
afr	Afrikaans	Afrikaans	13	
agq	Aghem	Aghem	-1	
agr	Aguaruna	Aguaruna	-1	
agt	Central Cagayan Agta	Central Cagayan Agta	-1	
agx	Aghul	Aghul	-1	
aho	Ahom	Ahom	-1	
aht	Ahtena	Ahtena	-1	
ain	Ainu (Japan)	Ainu (Japan)	-1	
ajg	Aja (Benin)	Aja (Benin)	-1	
aji	Ajië	Ajië	-1	
aka	Akan	Akan	34	
akc	Mpur	Mpur	-1	
ake	Akawaio	Akawaio	-1	
akk	Akkadian	Akkadian	-1	
akl	Aklanon	Aklanon	-1	
akp	Siwu	Siwu	-1	
alq	Algonquin	Algonquin	-1	
alt	Southern Altai	Southern Altai	-1	
amh	Amharic	Amharic	25	
amm	Ama (Papua New Guinea)	Ama (Papua New Guinea)	-1	
amx	Anmatyerre	Anmatyerre	-1	
ane	Xârâcùù	Xârâcùù	-1	
ang	Old English (ca. 450-1100)	Old English (ca. 450-1100)	-1	
anv	Denya	Denya	-1	
any	Anyin	Anyin	-1	
aoi	Anindilyakwa	Anindilyakwa	-1	
aom	Ömie	Ömie	-1	
ape	Bukiyip	Bukiyip	-1	
apm	Mescalero-Chiricahua Apache	Mescalero-Chiricahua Apache	-1	
apn	Apinayé	Apinayé	-1	
apr	Arop-Lokep	Arop-Lokep	-1	
apw	Western Apache	Western Apache	-1	
apz	Safeyoka	Safeyoka	-1	
ara	Arabic	Arabic	606	
arc	Official Aramaic (700-300 BCE)	Official Aramaic (700-300 BCE)	2	
are	Western Arrarnta	Western Arrarnta	-1	
arg	Aragonese	Aragonese	0.01	
ari	Arikara	Arikara	-1	
ark	Arikapú	Arikapú	-1	
arn	Mapudungun	Mapudungun	-1	
arp	Arapaho	Arapaho	-1	
arw	Arawak	Arawak	-1	
arx	Aruá (Rodonia State)	Aruá (Rodonia State)	-1	
asm	Assamese	Assamese	13	
aso	Dano	Dano	-1	
ast	Asturian	Asturian	0.275	
atb	Zaiwa	Zaiwa	-1	
atd	Ata Manobo	Ata Manobo	-1	
ati	Attié	Attié	-1	
atj	Atikamekw	Atikamekw	-1	
ats	Gros Ventre	Gros Ventre	-1	
att	Pamplona Atta	Pamplona Atta	-1	
atv	Northern Altai	Northern Altai	-1	
auu	Auye	Auye	-1	
auv	Auvergnat	Auvergnat	-1	
ava	Avaric	Avaric	0.06	
ave	Avestan	Avestan	-1	
awa	Awadhi	Awadhi	-1	
axk	Yaka (Central African Republic)	Yaka (Central African Republic)	-1	
axm	Middle Armenian	Middle Armenian	-1	
aym	Aymara	Aymara	2	
ayt	Magbukun Ayta	Magbukun Ayta	-1	
aze	Azerbaijani	Azerbaijani	27	
azr	Adzera	Adzera	-1	
azz	Highland Puebla Nahuatl	Highland Puebla Nahuatl	-1	
bak	Bashkir	Bashkir	2	
bal	Baluchi	Baluchi	-1	
bam	Bambara	Bambara	6	
bar	Bavarian	Bavarian	12	
bas	Basa (Cameroon)	Basa (Cameroon)	-1	
bav	Vengo	Vengo	-1	
bay	Batuley	Batuley	-1	
bba	Baatonum	Baatonum	-1	
bbb	Barai	Barai	-1	
bbj	Ghomálá'	Ghomálá'	-1	
bca	Central Bai	Central Bai	-1	
bci	Baoulé	Baoulé	-1	
bcj	Bardi	Bardi	-1	
bcq	Bench	Bench	-1	
bcw	Bana	Bana	-1	
bdm	Buduma	Buduma	-1	
bdy	Bandjalang	Bandjalang	-1	
beh	Biali	Biali	-1	
bel	Belarusian	Belarusian	6	
bem	Bemba (Zambia)	Bemba (Zambia)	-1	
ben	Bengali	Bengali	230	
beq	Beembe	Beembe	-1	
bet	Guiberoua Béte	Guiberoua Béte	-1	
bev	Daloa Bété	Daloa Bété	-1	
bfd	Bafut	Bafut	-1	
bho	Bhojpuri	Bhojpuri	-1	
bhy	Bhele	Bhele	-1	
bib	Bissa	Bissa	-1	
bik	Bikol	Bikol	2	
bim	Bimoba	Bimoba	-1	
bis	Bislama	Bislama	-1	
biv	Southern Birifor	Southern Birifor	-1	
bji	Burji	Burji	-1	
bjt	Balanta-Ganja	Balanta-Ganja	-1	
bkb	Finallig	Finallig	-1	
bkc	Baka (Cameroon)	Baka (Cameroon)	-1	
bkd	Binukid	Binukid	-1	
bkm	Kom (Cameroon)	Kom (Cameroon)	-1	
bla	Siksika	Siksika	-1	
blw	Balangao	Balangao	-1	
bmy	Bemba (Democratic Republic of Congo)	Bemba (Democratic Republic of Congo)	-1	
bnc	Bontok	Bontok	-1	
