source	target	influence	common
fra	spa	0.0325871040024195	4741
eng	zho	0.202657873304066	10202
cat	spa	0.0233491652175108	3397
jpn	zho	0.0430464233924634	2167
deu	fra	0.0646801358590987	9236
spa	zho	0.0102302298325421	515
deu	swe	0.0847596563709096	2585
fin	fra	0.00447494660177177	639
deu	nor	0.0672608332967467	1532
jpn	rus	0.0128288068355203	1051
eng	hbs	0.282359416567287	3078
fra	nld	0.0464313859129731	2180
deu	eng	0.0312329715274501	49637
spa	swe	0.0228211686012198	696
ces	eng	0.00192291961617115	3056
jpn	nld	0.0134821409554642	633
eng	nld	0.271261527975975	12736
pol	rus	0.0129874885566067	1064
fra	hun	0.0296678311983586	535
jpn	pol	0.01476124641072	694
deu	pol	0.0611932362012124	2877
eng	pol	0.174050834839945	8183
ita	nld	0.0154203318353177	724
ita	pol	0.0147187067957035	692
deu	fin	0.0615059343616357	1280
jpn	por	0.0104319936515284	631
eng	por	0.177162034817399	10716
glg	spa	0.00408283901654443	594
ell	eng	0.00133270410571024	2118
eng	est	0.235940099833611	709
deu	tur	0.0486082086433169	1163
deu	zho	0.02731372042669	1375
eng	kor	0.163447521865889	2691
eng	ita	0.18914511996273	13804
deu	hbs	0.0710026603063939	774
eng	lat	0.492363636363636	677
por	spa	0.0160357970127915	2333
fra	pol	0.0296288418589812	1393
eng	fas	0.200257106127696	2804
fra	jpn	0.0182097475135382	1873
deu	por	0.0298576553639625	1806
eng	slk	0.228015908086611	1032
fra	zho	0.0168053872588943	846
rus	swe	0.0181323365466588	553
fra	rus	0.0229722306988099	1882
fra	por	0.0245176649527998	1483
eng	rus	0.177821177906622	14568
deu	ita	0.0515750674833176	3764
fra	swe	0.0359695717751984	1097
nld	spa	0.00629609518376212	916
deu	jpn	0.0306736537134079	3155
deu	hun	0.0668219375589198	1205
eng	tha	0.184626135569532	1321
eng	hun	0.195696778128986	3529
eng	nor	0.26746279141239	6092
jpn	swe	0.0200996786674536	613
ara	eng	0.0021330816422841	3390
rus	spa	0.00817255149944669	1189
rus	ukr	0.303151176705225	3040
nor	swe	0.0296084989179618	903
deu	heb	0.0300557953468786	571
fra	ita	0.0450528219673614	3288
eng	swe	0.287953308413666	8782
eng	mal	0.465505226480836	668
ita	spa	0.0175273392124382	2550
dan	eng	0.00223124115148655	3546
ces	deu	0.00468746515621167	1051
eng	tam	0.444530643910008	573
ita	rus	0.0107903570338724	884
ita	por	0.0143997883842809	871
fra	tur	0.0244921842347237	586
eng	ron	0.258313166621852	2882
ita	swe	0.0182307036526985	556
eng	tur	0.189124801471203	4525
eng	sqi	0.299599198396794	598
jpn	spa	0.0088324042697973	1285
ita	jpn	0.00826390036652829	850
deu	rus	0.043552029295087	3568
fin	swe	0.0210177716571578	641
dan	deu	0.0044600049060054	1000
eng	spa	0.198698165471829	28908
eng	msa	0.29195820081781	3213
deu	ron	0.0478623285829524	534
deu	nld	0.0799131008924198	3752
eng	epo	0.379059350503919	677
eng	hin	0.517120894479385	740
fra	nor	0.0288448873863986	657
eng	jpn	0.104941812419184	10794
eng	slv	0.183405327573794	1019
ara	fra	0.00555341573584509	793
eng	heb	0.168701968628277	3205
bul	eng	0.00110177756803524	1751
pol	spa	0.00637170331369813	927
eng	vie	0.178190198932557	1469
eng	lit	0.224888392857143	806
cat	eng	0.00116218341985213	1847
nld	rus	0.00744583460482148	610
jpn	kor	0.045857628765792	755
eng	fra	0.221471340032914	31625
deu	spa	0.0345872827125448	5032
eng	fin	0.220268127432608	4584
nld	swe	0.0182307036526985	556
eng	ukr	0.179896290386917	1804
spa	fra	0.033201442627543	4741
zho	eng	0.00641938021079125	10202
spa	cat	0.310568659718413	3397
zho	jpn	0.0210680848167845	2167
fra	deu	0.0411926053118658	9236
zho	spa	0.00353983517427674	515
swe	deu	0.011529112682024	2585
fra	fin	0.0307049156695978	639
nor	deu	0.00683272751600027	1532
rus	jpn	0.0102180697473191	1051
hbs	eng	0.00193676262387919	3078
nld	fra	0.0152666409888301	2180
eng	deu	0.22138126351939	49637
swe	spa	0.00478393258504196	696
eng	ces	0.200656598818122	3056
nld	jpn	0.00615417521413224	633
nld	eng	0.00801384300770804	12736
rus	pol	0.0226310751887695	1064
hun	fra	0.00374662978395602	535
pol	jpn	0.00674723159337721	694
pol	deu	0.0128314341145775	2877
pol	eng	0.00514896963976719	8183
nld	ita	0.00992039023855524	724
pol	ita	0.00948191995176827	692
fin	deu	0.00570880627968691	1280
por	jpn	0.00613473074268159	631
por	eng	0.00674280320906088	10716
spa	glg	0.38671875	594
eng	ell	0.350662251655629	2118
tur	deu	0.00518698570568428	1163
zho	deu	0.00613250674575742	1375
kor	eng	0.00169325153374233	2691
ita	eng	0.00868585810917099	13804
hbs	deu	0.00345204379724818	774
spa	por	0.0385702712979649	2333
pol	fra	0.00975524353093596	1393
fas	eng	0.0017643542551518	2804
jpn	fra	0.0131167057670086	1873
por	deu	0.00805476886024575	1806
zho	fra	0.00592457719107812	846
swe	rus	0.00675007628928898	553
rus	fra	0.013179733183935	1882
por	fra	0.0103855177001996	1483
rus	eng	0.00916658801321378	14568
ita	deu	0.0167874584662043	3764
swe	fra	0.00768234181869113	1097
spa	nld	0.0195097016037997	916
jpn	deu	0.014071315478447	3155
hun	deu	0.0053743059117365	1205
hun	eng	0.00222054428189398	3529
nor	eng	0.00383325467988045	6092
swe	jpn	0.00595973049962569	613
eng	ara	0.185672034176799	3390
spa	rus	0.0145132743362832	1189
ukr	rus	0.0371071101617333	3040
eng	ben	0.503960396039604	509
swe	nor	0.0396452561794793	903
heb	deu	0.00254666280132908	571
ita	fra	0.0230260163170979	3288
swe	eng	0.00552587698599969	8782
spa	ita	0.0349406009783368	2550
eng	dan	0.288997555012225	3546
deu	ces	0.0690085357846356	1051
rus	ita	0.0121127416724901	884
por	ita	0.0119346131184829	871
tur	fra	0.00410378514653874	586
ron	eng	0.00181343400975303	2882
swe	ita	0.00761842123292364	556
tur	eng	0.00284725499449426	4525
spa	jpn	0.0124930729070457	1285
jpn	ita	0.0116468669927789	850
rus	deu	0.0159132975046273	3568
swe	fin	0.0308010186920379	641
deu	dan	0.0814995925020375	1000
spa	eng	0.0181897121283624	28908
msa	eng	0.0020217083529967	3213
ron	deu	0.00238164261980688	534
nld	deu	0.0167339384073322	3752
nor	fra	0.0046010014356245	657
jpn	eng	0.0067918829636621	10794
fra	ara	0.0434330156643663	793
heb	eng	0.00201667453201196	3205
eng	bul	0.258679273157039	1751
spa	pol	0.0197171115601404	927
eng	cat	0.168860852075334	1847
rus	nld	0.0129922685352815	610
kor	jpn	0.00734028797262218	755
fra	eng	0.0198993235803052	31625
spa	deu	0.0224427446870192	5032
fin	eng	0.00288437942425673	4584
swe	nld	0.0118421332878959	556
ukr	eng	0.00113512663205915	1804
