name	num.exps	num.users	avg.exp.per.user	num.exp.by.polys	num.polys	avg.exp.per.poly	total.users	total.polys
roh	6781	95	71.3789473684	4928	52	94.7692307692	2562860	279172
sco	11474	228	50.3245614035	8116	165	49.1878787879	2562860	279172
scn	24330	232	104.870689655	20641	151	136.695364238	2562860	279172
rom	368	18	20.4444444444	352	16	22.0	2562860	279172
ron	852536	11157	76.4126557318	563675	4191	134.496540205	2562860	279172
lij	6943	50	138.86	6745	36	187.361111111	2562860	279172
oss	6179	45	137.311111111	5212	21	248.19047619	2562860	279172
ita	11923658	72981	163.380304463	6356273	21393	297.119291357	2562860	279172
zea	4757	39	121.974358974	4344	27	160.888888889	2562860	279172
nld	6393791	46951	136.180081361	4084965	18050	226.313850416	2562860	279172
nov	3302	15	220.133333333	2999	12	249.916666667	2562860	279172
oci	112691	177	636.672316384	96802	125	774.416	2562860	279172
tso	1912	10	191.2	1500	6	250.0	2562860	279172
szl	1962	70	28.0285714286	1304	52	25.0769230769	2562860	279172
ell	721969	6040	119.531291391	395628	2666	148.3975994	2562860	279172
jav	53424	232	230.275862069	50083	150	333.886666667	2562860	279172
bug	2783	20	139.15	2276	15	151.733333333	2562860	279172
nor	1789110	22777	78.548974843	1150691	9112	126.283033363	2562860	279172
fij	111	9	12.3333333333	53	5	10.6	2562860	279172
fin	2926115	20811	140.604247754	1823021	7431	245.326470192	2562860	279172
ksh	7454	95	78.4631578947	2640	64	41.25	2562860	279172
eus	221173	1250	176.9384	158757	606	261.975247525	2562860	279172
haw	2048	18	113.777777778	1781	11	161.909090909	2562860	279172
amh	4596	68	67.5882352941	4039	45	89.7555555556	2562860	279172
ceb	18206	88	206.886363636	16611	64	259.546875	2562860	279172
fas	1603849	14002	114.544279389	652672	3621	180.24634079	2562860	279172
dan	965082	12270	78.6537897311	696958	5282	131.949640288	2562860	279172
pag	4418	12	368.166666667	4288	8	536.0	2562860	279172
ces	1697926	15230	111.485620486	1095385	5336	205.282046477	2562860	279172
mon	40808	391	104.368286445	33019	132	250.143939394	2562860	279172
hif	13598	111	122.504504505	10142	44	230.5	2562860	279172
mol	3075	44	69.8863636364	1235	21	58.8095238095	2562860	279172
ava	602	13	46.3076923077	405	8	50.625	2562860	279172
fur	7472	66	113.212121212	3053	55	55.5090909091	2562860	279172
vls	33952	189	179.64021164	28202	117	241.042735043	2562860	279172
gla	23463	117	200.538461538	15912	83	191.710843373	2562860	279172
bis	383	20	19.15	150	13	11.5384615385	2562860	279172
hin	310187	1431	216.762403913	87515	838	104.433174224	2562860	279172
bar	32653	352	92.7642045455	28932	243	119.061728395	2562860	279172
hye	65797	638	103.130094044	29242	301	97.1495016611	2562860	279172
eml	10186	72	141.472222222	9596	55	174.472727273	2562860	279172
tir	155	10	15.5	45	5	9.0	2562860	279172
sin	124011	728	170.34478022	48827	225	217.008888889	2562860	279172
pan	3378	69	48.9565217391	2577	46	56.0217391304	2562860	279172
guj	75352	297	253.71043771	68982	146	472.479452055	2562860	279172
bpy	751	18	41.7222222222	674	11	61.2727272727	2562860	279172
div	11788	53	222.41509434	10693	25	427.72	2562860	279172
bam	754	13	58.0	86	8	10.75	2562860	279172
bak	14703	50	294.06	4944	32	154.5	2562860	279172
tel	274160	1084	252.915129151	151395	418	362.188995215	2562860	279172
pms	57974	82	707.0	27671	56	494.125	2562860	279172
tpi	3756	39	96.3076923077	2954	27	109.407407407	2562860	279172
mdf	742	11	67.4545454545	294	6	49.0	2562860	279172
kaa	1612	9	179.111111111	137	5	27.4	2562860	279172
deu	33977378	224215	151.539272573	19229693	70281	273.611545083	2562860	279172
ara	2178719	18258	119.329554168	655776	4647	141.118140736	2562860	279172
arc	2152	21	102.476190476	2049	13	157.615384615	2562860	279172
arg	60924	141	432.085106383	58810	103	570.970873786	2562860	279172
pam	18819	29	648.931034483	18382	15	1225.46666667	2562860	279172
tet	1533	25	61.32	953	14	68.0714285714	2562860	279172
sna	3043	14	217.357142857	30	9	3.33333333333	2562860	279172
est	366370	3005	121.920133111	267964	1132	236.717314488	2562860	279172
mus	9	1	9.0	9	1	9.0	2562860	279172
sun	27304	137	199.299270073	23036	91	253.142857143	2562860	279172
abk	2807	15	187.133333333	1494	7	213.428571429	2562860	279172
kur	45967	323	142.312693498	29972	193	155.295336788	2562860	279172
smo	1608	28	57.4285714286	1079	14	77.0714285714	2562860	279172
wol	7343	26	282.423076923	4662	13	358.615384615	2562860	279172
lug	529	7	75.5714285714	7	3	2.33333333333	2562860	279172
got	2133	25	85.32	1579	18	87.7222222222	2562860	279172
sme	9570	60	159.5	7827	38	205.973684211	2562860	279172
dsb	453	27	16.7777777778	214	16	13.375	2562860	279172
nep	32572	209	155.846889952	28685	105	273.19047619	2562860	279172
stq	145	14	10.3571428571	85	10	8.5	2562860	279172
hsb	12265	53	231.41509434	3912	33	118.545454545	2562860	279172
tsn	618	27	22.8888888889	224	10	22.4	2562860	279172
run	94	7	13.4285714286	37	4	9.25	2562860	279172
iku	678	14	48.4285714286	78	8	9.75	2562860	279172
ast	21525	218	98.7385321101	13090	138	94.8550724638	2562860	279172
tur	2062037	23926	86.183942155	1141521	6820	167.378445748	2562860	279172
cre	764	17	44.9411764706	567	12	47.25	2562860	279172
glv	340	24	14.1666666667	173	15	11.5333333333	2562860	279172
tuk	4768	63	75.6825396825	2328	41	56.7804878049	2562860	279172
que	4034	74	54.5135135135	2263	57	39.701754386	2562860	279172
tum	65	7	9.28571428571	8	3	2.66666666667	2562860	279172
lmo	36978	147	251.551020408	27148	101	268.792079208	2562860	279172
rus	12445887	81925	151.9180592	5341971	23828	224.188811482	2562860	279172
rup	72391	43	1683.51162791	67811	32	2119.09375	2562860	279172
crh	1577	34	46.3823529412	582	19	30.6315789474	2562860	279172
asm	11708	74	158.216216216	8272	36	229.777777778	2562860	279172
pus	19327	71	272.211267606	15136	27	560.592592593	2562860	279172
kik	47	3	15.6666666667	36	2	18.0	2562860	279172
cos	5861	53	110.58490566	5439	39	139.461538462	2562860	279172
glk	14441	88	164.102272727	561	56	10.0178571429	2562860	279172
srd	2704	80	33.8	1819	54	33.6851851852	2562860	279172
ltz	98105	561	174.875222816	87159	310	281.158064516	2562860	279172
srn	1465	14	104.642857143	1431	12	119.25	2562860	279172
gle	83598	431	193.96287703	59018	291	202.810996564	2562860	279172
dzo	80	11	7.27272727273	46	7	6.57142857143	2562860	279172
glg	246354	1536	160.38671875	162770	876	185.810502283	2562860	279172
ido	46037	76	605.75	44978	66	681.484848485	2562860	279172
orm	1387	10	138.7	1332	8	166.5	2562860	279172
wln	14733	50	294.66	5497	28	196.321428571	2562860	279172
isl	179477	1193	150.441743504	119333	591	201.917089679	2562860	279172
cha	556	13	42.7692307692	525	9	58.3333333333	2562860	279172
nds	83466	195	428.030769231	70608	169	417.798816568	2562860	279172
pdc	5959	36	165.527777778	5475	29	188.793103448	2562860	279172
hbs	2030039	10901	186.225025227	967834	4670	207.24496788	2562860	279172
pih	808	25	32.32	461	17	27.1176470588	2562860	279172
vie	1151775	8244	139.71069869	711939	2077	342.772749157	2562860	279172
ipk	339	9	37.6666666667	35	6	5.83333333333	2562860	279172
sgs	6169	30	205.633333333	3464	20	173.2	2562860	279172
ori	6735	59	114.152542373	5467	40	136.675	2562860	279172
por	5168734	60487	85.4519814175	2835234	15213	186.369157957	2562860	279172
uzb	21270	171	124.385964912	17338	91	190.527472527	2562860	279172
ukr	1839988	10028	183.485041883	747515	4519	165.416021244	2562860	279172
pol	6589015	47015	140.147080719	3660163	13932	262.716264714	2562860	279172
ang	9915	86	115.290697674	9504	64	148.5	2562860	279172
sot	444	13	34.1538461538	398	10	39.8	2562860	279172
mah	34	2	17.0	27	1	27.0	2562860	279172
ndo	25	3	8.33333333333	10	2	5.0	2562860	279172
tgk	13998	122	114.737704918	4047	39	103.769230769	2562860	279172
bre	121144	303	399.815181518	94808	185	512.475675676	2562860	279172
mzn	12690	34	373.235294118	3007	24	125.291666667	2562860	279172
aym	453	22	20.5909090909	156	10	15.6	2562860	279172
yid	145467	432	336.729166667	7592	100	75.92	2562860	279172
fra	23070757	142795	161.565580027	12737133	45439	280.312792975	2562860	279172
mkd	276542	1534	180.275097784	70179	590	118.947457627	2562860	279172
kom	1463	21	69.6666666667	330	11	30.0	2562860	279172
che	2119	46	46.0652173913	877	30	29.2333333333	2562860	279172
kon	1553	13	119.461538462	1370	8	171.25	2562860	279172
swa	31319	244	128.356557377	26779	132	202.871212121	2562860	279172
swe	3521224	30498	115.457538199	2392851	13476	177.563891362	2562860	279172
chm	8214	29	283.24137931	894	15	59.6	2562860	279172
cho	26	3	8.66666666667	14	2	7.0	2562860	279172
chr	1393	29	48.0344827586	264	16	16.5	2562860	279172
frp	8357	28	298.464285714	8090	22	367.727272727	2562860	279172
xal	2652	17	156.0	2277	13	175.153846154	2562860	279172
chu	8706	44	197.863636364	248	22	11.2727272727	2562860	279172
heb	5467149	18998	287.774976313	1329466	4555	291.869593853	2562860	279172
ton	312	12	26.0	125	9	13.8888888889	2562860	279172
chy	65	8	8.125	53	6	8.83333333333	2562860	279172
fry	111983	179	625.603351955	54969	134	410.21641791	2562860	279172
kor	2634092	16464	159.99101069	1045044	3991	261.850162866	2562860	279172
war	16769	37	453.216216216	16722	33	506.727272727	2562860	279172
msa	969369	11005	88.0844161745	691259	4106	168.35338529	2562860	279172
vec	23199	161	144.093167702	20423	123	166.040650407	2562860	279172
pli	44	5	8.8	4	2	2.0	2562860	279172
chv	2746	88	31.2045454545	1679	55	30.5272727273	2562860	279172
nrm	6261	18	347.833333333	6074	15	404.933333333	2562860	279172
hun	2713725	18033	150.486607886	1529534	6031	253.612004643	2562860	279172
pnt	701	12	58.4166666667	444	8	55.5	2562860	279172
ven	456	11	41.4545454545	427	6	71.1666666667	2562860	279172
ile	801	23	34.8260869565	521	12	43.4166666667	2562860	279172
bul	1130405	6769	166.997340818	544717	2606	209.024174981	2562860	279172
bua	262	15	17.4666666667	109	9	12.1111111111	2562860	279172
iii	2	1	2.0	2	1	2.0	2562860	279172
hau	173	16	10.8125	90	10	9.0	2562860	279172
cym	70485	462	152.564935065	48930	310	157.838709677	2562860	279172
udm	2173	35	62.0857142857	1658	14	118.428571429	2562860	279172
ben	147157	1010	145.7	116822	551	212.01814882	2562860	279172
mlg	1760	58	30.3448275862	859	41	20.9512195122	2562860	279172
bel	227568	474	480.101265823	47284	274	172.569343066	2562860	279172
ibo	2412	14	172.285714286	2110	7	301.428571429	2562860	279172
hat	10057	65	154.723076923	9801	43	227.930232558	2562860	279172
slv	456115	5556	82.0941324694	296189	1750	169.250857143	2562860	279172
xho	180	13	13.8461538462	65	6	10.8333333333	2562860	279172
aze	149621	1403	106.643620813	78731	638	123.402821317	2562860	279172
cat	1548366	10938	141.558420187	1143570	5161	221.579151327	2562860	279172
zha	615	25	24.6	471	17	27.7058823529	2562860	279172
aka	327	31	10.5483870968	240	24	10.0	2562860	279172
