source	target	exposure
ces	slk	1
deu	ita	5
rus	spa	1
nld	nor	1
fra	roh	1
deu	fin	2
deu	jpn	1
eng	haw	1
fra	spa	2
deu	hbs	1
deu	fra	2
ita	por	2
pol	ukr	2
eng	nld	13
ita	lat	1
pol	rus	1
glg	spa	1
eng	jbo	1
eng	vie	2
epo	rus	1
kor	msa	1
eng	sco	1
eng	fas	1
eng	ita	19
ita	spa	1
eng	swe	6
jpn	pol	1
cat	eng	3
hbs	jpn	2
nld	spa	1
deu	lat	1
ara	eng	2
kur	tur	1
dan	deu	2
ces	eng	3
deu	eng	58
eng	epo	1
cat	por	1
deu	por	3
deu	sah	1
fra	nor	1
eng	lat	2
rus	ukr	7
jpn	zho	1
eng	heb	6
cat	spa	3
eng	por	11
eng	jpn	13
nld	zho	1
cat	jpn	1
eng	slv	3
eng	hif	1
eng	swa	1
eng	slk	3
deu	heb	1
cat	deu	1
ces	spa	1
eng	sah	1
roh	spa	1
deu	rus	2
fra	heb	1
est	fin	1
fin	rus	1
eng	fra	11
deu	swe	1
epo	lat	1
eng	rus	12
eng	tha	1
afr	slv	1
deu	pol	1
fin	jpn	1
heb	slv	1
cat	kor	1
ben	eng	2
jpn	nld	1
eng	roh	1
deu	spa	4
bul	ita	1
jpn	vie	1
jpn	spa	2
deu	epo	1
bul	eng	2
eng	hun	3
nor	swe	2
jpn	kor	1
eng	spa	16
deu	nor	1
pol	slk	1
fra	ita	2
jpn	rus	1
jpn	msa	1
fra	swe	1
est	rus	1
ell	eng	1
eng	zho	12
ita	nld	1
eng	pol	6
eng	fin	7
fra	jpn	1
eng	kor	3
deu	ell	2
nor	spa	3
deu	ukr	1
deu	slv	1
eng	ukr	2
ces	nor	1
eng	msa	12
fra	por	1
afr	eng	1
eng	est	2
heb	rus	1
bul	lat	1
eng	lav	1
eng	ron	1
por	spa	2
eng	nor	5
deu	msa	1
hbs	vie	1
haw	swa	1
eng	hbs	2
msa	zho	1
ell	por	1
kor	slk	1
deu	nld	3
ita	jpn	2
