source	target	exposure
ces	eng	0.0020202020202
tur	eng	0.00808080808081
rus	ell	0.166666666667
jpn	tha	0.0212765957447
fra	spa	0.0115606936416
eng	nld	0.647058823529
ara	fas	1.0
kor	eng	0.0282828282828
eng	afr	0.9375
kor	msa	0.0566037735849
fil	msa	0.0754716981132
fil	eng	0.0171717171717
eng	ita	0.2
eng	swe	0.5
rus	bel	1.0
jpn	fil	0.1
swa	eng	0.0010101010101
nld	ces	0.5
nld	ita	0.2
ara	eng	0.0161616161616
eng	deu	0.714285714286
ell	rus	0.0454545454545
nld	fil	0.05
eng	zho	0.714285714286
deu	eng	0.00505050505051
zho	fil	0.05
zho	eng	0.00505050505051
spa	msa	0.0566037735849
fil	nld	0.00653594771242
rus	jpn	0.0018691588785
kor	jpn	0.0088785046729
fil	ara	0.00877192982456
eng	pol	0.5
eng	tur	0.258064516129
eng	heb	1.0
fil	jpn	0.000934579439252
msa	por	0.034188034188
cat	spa	0.0115606936416
eng	por	0.34188034188
eng	jpn	0.0308411214953
spa	eng	0.0454545454545
eng	fil	0.85
heb	eng	0.0010101010101
ita	eng	0.0010101010101
afr	msa	0.0377358490566
eng	swa	1.0
swe	eng	0.0010101010101
tha	kor	0.00845665961945
deu	rus	0.0227272727273
bel	rus	0.0227272727273
spa	cat	0.666666666667
eng	fra	0.583333333333
ces	nld	0.00653594771242
por	eng	0.040404040404
jpn	eng	0.0666666666667
eng	rus	0.0909090909091
nld	afr	0.8125
eng	tha	0.36170212766
kor	tha	0.0851063829787
fil	zho	0.142857142857
tha	eng	0.0171717171717
tur	msa	0.0188679245283
ron	eng	0.0010101010101
afr	nld	0.0849673202614
jpn	ell	0.916666666667
por	msa	0.0754716981132
eng	ara	0.140350877193
fra	eng	0.00707070707071
jpn	kor	0.0401691331924
eng	spa	0.260115606936
msa	tur	0.0322580645161
msa	eng	0.0343434343434
msa	fil	0.2
jpn	rus	0.0909090909091
pol	eng	0.0010101010101
jpn	msa	0.0188679245283
spa	fra	0.166666666667
tha	jpn	0.000467289719626
msa	kor	0.00634249471459
ell	eng	0.00505050505051
eng	ell	0.416666666667
ita	nld	0.00653594771242
por	spa	0.028901734104
tur	rus	0.0227272727273
nld	msa	0.0943396226415
fas	ara	0.00877192982456
msa	spa	0.0173410404624
eng	ces	1.0
msa	nld	0.0326797385621
eng	kor	0.0591966173362
spa	por	0.042735042735
nld	eng	0.1
msa	jpn	0.000467289719626
eng	msa	0.641509433962
msa	afr	0.125
afr	eng	0.0151515151515
rus	eng	0.0040404040404
ell	jpn	0.00514018691589
eng	ron	0.5
ara	fil	0.05
rus	deu	0.142857142857
rus	tur	0.0322580645161
