Source	Target	NumTransFromSrc	NumTransToTgt	NumOfTransSrcToTgt
eng	que	1225237	25	3
krl	est	23	20605	1
uzb	hun	872	54989	7
frm	hbs	267	45036	1
swe	kan	39192	700	1
hun	mon	11256	2423	4
fra	spa	216624	228910	36240
hmb	eng	3	146294	3
eus	bre	1021	406	2
est	heb	5739	10961	2
btg	fra	1	238463	1
spa	hub	52955	1	1
eng	bpr	1225237	1	1
krl	kir	23	1528	1
hin	slv	1469	18719	1
glg	jpn	1346	130893	2
yid	tur	1590	11874	1
ita	mlg	66453	204	2
jpn	fao	26921	415	1
eng	plw	1225237	2	1
vie	cat	668	18004	2
tgk	ben	476	1878	1
tcs	mwp	2	1	1
ava	kat	186	2176	3
rom	nld	79	111371	1
kir	swa	708	323	3
non	deu	299	292124	58
eng	zho	1225237	62650	40475
nor	cym	14530	2312	3
enf	por	11	74721	1
tgk	bul	476	25742	1
sag	deu	3	292124	2
kpy	est	6	20605	1
hit	spa	8	228910	1
akk	ita	136	59830	1
grc	mdm	17342	2	2
ara	lah	11884	4	1
yid	spa	1590	228910	23
sux	ron	133	18464	2
kaa	tuk	129	741	1
xra	por	1	74721	1
yid	ita	1590	59830	31
eng	gvn	1225237	1	1
bak	est	357	20605	1
rus	eus	101395	3923	26
non	ces	299	64442	1
amh	ita	58	59830	5
kir	spa	708	228910	12
kat	krc	1224	103	2
jpn	lav	26921	8145	18
dan	frr	21239	4	2
por	eng	11390	146294	2297
heb	tyv	9889	164	1
fil	zho	87	62650	1
ara	fod	11884	3	1
syr	kor	252	22338	1
arc	lit	347	15447	11
ara	tha	11884	1227	1
kaz	spa	948	228910	3
ben	nld	2223	111371	10
dan	mon	21239	2423	21
lat	eus	19240	3923	34
chv	fra	203	238463	1
hbs	mar	12743	878	1
spa	roh	52955	284	1
lat	nld	19240	111371	593
bel	urd	1409	1005	2
slk	eng	4205	146294	398
krc	slk	141	19641	1
grc	del	17342	1	1
san	sqi	4282	6757	1
sqi	ron	1424	18464	17
swe	sma	39192	30	10
spa	swa	52955	323	1
grc	faa	17342	1	1
csb	eng	4	146294	1
tam	heb	496	10961	1
msa	deu	485	292124	50
zho	bel	13337	1874	1
enh	rus	1	82772	1
lad	fra	32	238463	4
hin	nld	1469	111371	20
zho	uzb	13337	2757	1
tur	sqi	2658	6757	122
egy	bul	235	25742	5
mar	kan	405	700	22
zho	kir	13337	1528	5
tuk	kaa	434	568	5
nep	slv	47	18719	1
san	hun	4282	54989	44
pol	asm	14104	526	1
fra	frp	216624	3	3
fra	msa	216624	5416	198
bel	tyv	1409	164	1
swe	ita	39192	59830	184
tyv	alt	56	50	2
heb	rcf	9889	16	1
mga	deu	12	292124	1
fra	mkd	216624	3901	364
doi	eng	10	146294	5
spa	ltz	52955	36	1
lit	swe	1985	71688	25
dum	eng	84	146294	15
mya	rus	60	82772	5
bel	aze	1409	1658	5
swe	bul	39192	25742	92
fas	kur	2837	201	4
och	deu	16	292124	4
srm	nld	25	111371	25
hbs	ara	12743	12488	36
amh	ron	58	18464	2
chv	bel	203	1874	2
arg	ast	5	193	1
ita	ori	66453	752	4
glg	rus	1346	82772	2
abq	abk	10	115	1
bre	zho	212	62650	1
zho	tel	13337	668	2
gez	deu	22	292124	2
gwi	eng	1	146294	1
grc	knp	17342	9	5
fra	tgk	216624	1062	12
