Lang1	Lang2	NumOfCommonUsers	NumOfUsersLang1	NumOfUsersLang2	NumOfPolysLang1	NumOfPolysLang2	TotalNumOfUsers	TotalNumOfPolyglots
fra	spa	2	12	173	7	49	3969	407
afr	nld	13	16	153	16	102	3969	407
eng	kor	28	990	473	368	45	3969	407
ell	rus	2	12	44	11	9	3969	407
eng	tur	8	990	31	368	9	3969	407
eng	heb	1	990	1	368	1	3969	407
fil	jpn	2	20	2140	19	90	3969	407
ces	eng	2	2	990	2	368	3969	407
msa	por	4	53	117	40	43	3969	407
eng	nld	99	990	153	368	102	3969	407
msa	nld	5	53	153	40	102	3969	407
eng	fil	17	990	20	368	19	3969	407
eng	por	40	990	117	368	43	3969	407
jpn	kor	19	2140	473	90	45	3969	407
ara	fil	1	114	20	18	19	3969	407
eng	jpn	66	990	2140	368	90	3969	407
jpn	tha	1	2140	47	90	18	3969	407
eng	spa	45	990	173	368	49	3969	407
eng	msa	34	990	53	368	40	3969	407
msa	tur	1	53	31	40	9	3969	407
kor	msa	3	473	53	45	40	3969	407
fil	msa	4	20	53	19	40	3969	407
afr	eng	15	16	990	16	368	3969	407
cat	spa	2	3	173	2	49	3969	407
ell	jpn	11	12	2140	11	90	3969	407
eng	ita	1	990	5	368	2	3969	407
eng	swe	1	990	2	368	1	3969	407
deu	rus	1	7	44	5	9	3969	407
eng	ron	1	990	2	368	1	3969	407
afr	msa	2	16	53	16	40	3969	407
por	spa	5	117	173	43	49	3969	407
fil	nld	1	20	153	19	102	3969	407
jpn	rus	4	2140	44	90	9	3969	407
bel	rus	1	1	44	1	9	3969	407
eng	fra	7	990	12	368	7	3969	407
ara	fas	1	114	1	18	1	3969	407
rus	tur	1	44	31	9	9	3969	407
ell	eng	5	12	990	11	368	3969	407
eng	zho	5	990	7	368	5	3969	407
ara	eng	16	114	990	18	368	3969	407
ces	nld	1	2	153	2	102	3969	407
eng	swa	1	990	1	368	1	3969	407
ita	nld	1	5	153	2	102	3969	407
jpn	msa	1	2140	53	90	40	3969	407
eng	pol	1	990	2	368	1	3969	407
eng	rus	4	990	44	368	9	3969	407
eng	tha	17	990	47	368	18	3969	407
deu	eng	5	7	990	5	368	3969	407
kor	tha	4	473	47	45	18	3969	407
fil	zho	1	20	7	19	5	3969	407
msa	spa	3	53	173	40	49	3969	407
