! ! ! ! ! ! ! ! ! ! ! ! ! ! !	zho,7
! ! ! ! ! ! ! ! ! ! ! ! ! !	zho,8
! ! ! ! ! ! ! ! ! ! ! ! !	zho,30
! ! ! ! ! ! ! ! ! ! ! !	zho,7
! ! ! ! ! ! ! ! ! ! !	zho,5
! 0lm	deu,252
! aağa !	tur,31
! ari-ari-ari !	jpn,7
! biswas amitava !	eng,11
! danskammelsrod !	spa,9
! kaiser	sqi,5
!! db	eng,6
!!!!! lesen !!!!!!	deu,5
!!!!!!!!!!!!!!!!!!!cammellobello	ita,10
!!!!!adeen!!!!!	fin,365
!!!!akamcia	pol,111
!!!alert!!!	ces,13
!!!desperados!!!	deu,5
!!!dr.gaio!!!	ita,10
!!!lolersk8!!!	eng,7
!!!whus!!!	ita,60
!!!	jpn,82
!!!להלהלה!!!	heb,6
!!2011worldprotests!!	eng,49
!!8uyvasdaw	eng,8
!!archie!!	eng,89
!!gnikmra	eng,10
!!house down!!	eng,70
!!lokastory	fra,9
!!mese!!	fin,9
!!onpu	jpn,11
!!sgott	eng,28
!!suzzy!!	tur,602
!!viewcountfun1	eng,145
!!wawawiwa!!	eng,37
!!weed!!	jpn,12
!!wrewe	jpn,5
!!yeahman!!	deu,6
!!	jpn,3	eng,1448
!&quot;£$	eng,8
!*!jodie-2007!*!	eng,5
!-!z3ta!-!	spa,11
!---slappdash---!	eng,128
!--mk--!	fra,8
!-artmaster	rus,2	ukr,216
!.!.1	heb,14
!157	jpn,6
!1bhansen	eng,15
!1qqaazz	eng,6
!51hans	deu,98
!? $prain me!	eng,6
!abacus	ita,6
!achtung!	hbs,42
!adrianzen25	spa,7
!alfredo	fra,7
!arrizog	eng,23
!astep	ita,18
!aunbos	eng,7
!bamitsolly!	eng,5
!barmaid	fra,13
!bfvinfo	deu,15
!blardi	eng,5
!bob+2!07	eng,7
!c to the m!	eng,9
!computeralert!	eng,151
!culturauniversal™	spa,12
!darkfire!6'28'14	eng,364
!do'worix	rus,7
!dragon	eng,28
!eddo0!	spa,8
!eebdfg	jpn,7
!exp	ita,22
!fedk	por,6
!flame! br	rus,5
!frbzh	fra,5
!gangsta g home dogg	eng,12
!general4death!	deu,8
!hazel!	eng,10
!hoax	fin,7
!ilgotah	jpn,6
!jamieimaj!	eng,26
!jim	eng,208
!jrb	eng,9
!k!r!u!x!	deu,80
!lee!	lav,11	eng,3
!llu$ion^	por,12	eng,18
!mcbloobyenstein!!	eng,19
!melquiades	eng,168
!mm0	rus,41
!mnc99	eng,71
!monkey!	eng,5
!musiclova!	eng,9
!my password is vand!	jpn,8
!ndream	eng,8
!normsl1ku	fra,38
!notrub!	eng,34
!paradigm!	eng,256
!penz¡	ita,150
!php!	msa,74
!powa	ita,10
!pso	fra,87
!qwerty789	jpn,6
!rick	deu,33
!ronstone	eng,71
!r¡€	spa,187
!saturdaynightwrist	eng,8
!sayhello	hun,60
!seakingdood	eng,7
!seakingman	eng,18
!sergejmaksimovfromlatvia	eng,5
!sethgash!	eng,7
!silent old	fra,8
!silent	fra,10	ita,14	por,23932	deu,9	eng,85
!sln-btsts!	tur,28
!spencer!new	eng,5
!spoodem	eng,9
!tch!	rus,7
!the!bear!max!	eng,7
!vezzo! ll10	ita,4	eng,6
!wake up aryans	fas,24
!waraz!	fin,8
!ww	jpn,6
!x0bile	eng,9
!xo derek	eng,22
!xoshizzle	eng,25
!xxnemethxx!	eng,5
!yantit!	deu,15
!yesmelissa!	eng,5
!zero!	deu,5
!	slv,15	deu,7	heb,4	eng,97
!糊涂	zho,56
!センマ	jpn,8
$ joão $ rico $	por,7
$ london apartments	eng,54
$!ara	eng,19
$!lv3r	deu,5
$!m9191	fra,16
$$$ fierce d $$$	eng,6
$$$- bce -$$$	deu,14
$$$makemore$$$	eng,32
$$$t-t-h$$$	eng,6
$$$	deu,117
$$drichinsnukka14$$	eng,7
$$pervoietasch$$	deu,33
$-vrt	eng,139
$.a.m.u.e.l.$	deu,60
$01734071290912$	eng,57
$1000000000ten0one1	eng,294
$13dg3	eng,13
$1lence d00600d	deu,3	eng,12243
$1lence d0600d	eng,15
$1ng3rb0y93	ita,5	eng,3
$200inaire	eng,89
$250923854abc	zho,39
$293,021.57!! dayam(!), lookadit climb!	eng,11
$301,179.46!!! wowie! zowie! kapowie!!	eng,8
$350	zho,5
$3th1998	eng,6
$5 gas will urth kids!	eng,5
$5 gas	eng,12
$5forme	eng,10
$6milliondollarman	eng,24
$766,642.76..!..!...!...holy !!! caniusethisname,please?	eng,5
$8.40&amp;me	eng,10
$?	eng,10
$@r@h	eng,8
$ahin	deu,11
$alome	deu,7
$alu	swe,63
$am0var	ita,545
$andaker	nor,7
$andokan	deu,5
$antander	eng,903
$ari$41	eng,14
$arou	fra,11
$array	deu,9
$atan's$pawn	eng,91
$ayce	fra,7
$brollin	eng,8
$cammer	eng,143
$carlos=y	spa,25	eng,4
$ceridian1	eng,8
$cieno $itter	eng,5
$cirisme	eng,9
$cj	eng,7
$cyberwiz$	eng,29
$dollarz$	eng,9
$erg29	rus,15
$ergio 0923	eng,5
$eti	eng,115
$g0ld l34d3r$	eng,6
$giuseppe$	ita,23
$h!fty	eng,12
$had0w	deu,45
$hadow grinch	eng,8
$hadow-x	eng,12
$hady j	eng,5
$hady$hystergeithner	eng,15
$hakesbeer	rus,51
$hanice-16	eng,11
$harath	kan,8
$hrine	eng,17
$iam676	ceb,5
$id	eng,120
$ifan1912	eng,31
$ilencer	eng,5
$imo 95	ita,9
$imøÇøÑti	ita,11
$indbad	eng,11
$jaison$	deu,5
$johne89	eng,5
$laurent	fra,16
$laveryworldwideinc	eng,9
$lick9109	eng,7
$look$likeans	eng,5
$m1th rus	rus,17
$magnetic$	rus,6
$mokey	nld,6
$n0w0n3	spa,17
$nake420	eng,9
$nake887	eng,5
$nevesso$	eng,16
$olanum	eng,113
$olemnolive	eng,6
$olid $nake	pol,12
$on of thug$	ara,8
$onny	deu,41
$orienome$	zho,11
$otk2	fin,16
$p0ng3b0b	eng,5
$p1tf1r3	eng,7
$peak cinema	pol,7
$pecialuser	deu,34
$peedfreak	deu,7
$pider	eng,5
$pr1te	rus,223
$sesty	fra,7
$t!13tt0	rus,30
$tatic	rus,309	eng,8
$ter!:ng	eng,6
$teven	nor,98	eng,15
$teve	eng,12
$thedollarsign$	eng,74
$tink0man	eng,40
$tinu$	deu,31
$toic	rus,684	eng,8
$too$h	ita,696
$traight-$hoota	spa,2	deu,4979	eng,68
$udhir	eng,7
$ultan bl	eng,7
$up3rg1rl	eng,9
$uper-7	deu,8	nld,2
$uperman 5	eng,10
$uppe	deu,11
$uricate	eng,14
$weetdude69	eng,9
$wguser	eng,156
$yd!	eng,2420
$ydney	fra,12
$yenalb$	eng,7
$yeti	eng,7
$ëfo!!	fra,13
%%%%	kor,17
%=)	eng,7
%man of%s	eng,6
%pier%	ita,15677
%	slv,23	afr,3	eng,2
&amp;*iskeyed	eng,8
&amp;aqwézsx	fra,7
&amp;delta	eng,51
&amp;ghདดवि书習「天***	heb,7
&amp;micate&amp;	fra,24
&amp;orz-lololol	eng,5
