source	target	exposure
eng	que	3
krl	est	1
uzb	hun	7
frm	hbs	1
swe	kan	1
hun	mon	4
fra	spa	36240
hmb	eng	3
eus	bre	2
est	heb	2
btg	fra	1
spa	hub	1
eng	bpr	1
krl	kir	1
hin	slv	1
glg	jpn	2
ita	mlg	2
jpn	fao	1
eng	plw	1
vie	cat	2
tgk	ben	1
tcs	mwp	1
ava	kat	3
rom	nld	1
kir	swa	3
non	deu	58
eng	zho	40475
nor	cym	3
enf	por	1
tgk	bul	1
sag	deu	2
kpy	est	1
hit	spa	1
ron	deu	749
grc	mdm	2
ara	lah	1
yid	spa	23
sux	ron	2
kaa	tuk	1
xra	por	1
yid	ita	31
eng	gvn	1
bak	est	1
rus	eus	26
non	ces	1
san	mol	3
kir	spa	12
kat	krc	2
jpn	lav	18
dan	frr	2
por	eng	2297
heb	tyv	1
fil	zho	1
ara	fod	1
syr	kor	1
arc	lit	11
ara	tha	1
kaz	spa	3
tzm	fra	43
dan	mon	21
lat	eus	34
chv	fra	1
hbs	mar	1
spa	roh	1
lat	nld	593
cat	fin	10
bel	urd	2
slk	eng	398
krc	slk	1
grc	del	1
san	sqi	1
sqi	ron	17
swe	sma	10
spa	swa	1
grc	faa	1
csb	eng	1
tam	heb	1
msa	deu	50
zho	bel	1
enh	rus	1
lad	fra	4
hin	nld	20
zho	uzb	1
tur	sqi	122
egy	bul	5
mar	kan	22
zho	kir	5
tuk	kaa	5
nep	slv	1
san	hun	44
pol	asm	1
fra	frp	3
fra	msa	198
bel	tyv	1
swe	ita	184
tyv	alt	2
heb	rcf	1
mga	deu	1
fra	mkd	364
doi	eng	5
spa	ltz	1
lit	swe	25
dum	eng	15
mya	rus	5
bel	aze	5
swe	bul	92
fas	kur	4
och	deu	4
srm	nld	25
hbs	ara	36
amh	ron	2
chv	bel	2
arg	ast	1
ita	ori	4
glg	rus	2
abq	abk	1
bre	zho	1
zho	tel	2
gez	deu	2
gwi	eng	1
grc	knp	5
fra	tgk	12
cuk	eng	1
dan	heb	17
non	jpn	1
bel	pol	89
dar	slk	1
pan	urd	18
epo	fin	6
dum	lat	3
kaa	mol	2
mya	deu	6
udm	rus	88
mlt	ces	1
guj	tel	5
grc	aom	1
lat	kaa	1
ita	ben	5
com	spa	1
grc	heb	33
sux	ita	2
let	eng	1
bul	vie	6
fra	lee	2
heb	slv	52
grc	pol	625
grc	kan	4
afr	ron	1
est	lat	1
lit	bel	18
bua	tyv	1
kir	est	8
bul	ara	35
ron	mkd	33
grc	lee	7
lat	isl	23
sjd	est	1
spa	ctu	1
nld	por	169
eus	heb	1
spa	fra	8387
urd	nep	3
pol	heb	81
guj	fin	1
ukr	kor	1
zho	dan	88
hin	nor	2
urd	fra	18
grc	nhr	1
akk	ita	1
urd	tuk	1
fra	tuz	2
guj	jpn	5
spa	mar	1
mal	zho	1
vie	kor	1
enf	nor	1
och	eng	3
lat	amh	1
mcd	spa	2
urd	sin	2
bul	chv	1
nyj	fra	2
fra	epo	36
tam	ori	9
spa	ara	339
grc	obo	2
kat	heb	1
lui	spa	1
kat	ita	6
tha	swe	1
grc	adj	2
tam	deu	12
grc	lit	81
eng	mlt	30
fro	fra	369
lit	asm	2
swe	san	1
isl	cat	2
nld	lat	7
fra	srr	4
grc	buu	3
gmh	deu	351
nld	wln	4
grc	mfe	1
pli	zho	1
yum	spa	1
oci	cat	2
mar	ben	4
gle	bre	2
mal	deu	7
orv	ron	1
udm	eng	6
hin	kok	1
fra	wln	21
deu	ava	1
hbs	hin	2
hbs	lez	1
orv	deu	12
cat	spa	5343
fil	fra	3
bel	mon	2
bre	cos	1
amh	ell	1
kor	mlg	3
eng	bod	7
oci	nor	2
mol	kaz	8
ron	fas	3
ita	sah	1
ori	mal	6
eng	bps	11
hye	kaz	6
spa	urd	5
zho	lav	5
fak	spa	1
est	uig	2
sin	jpn	5
kaa	kir	1
fro	deu	60
oge	ell	1
ron	dan	9
aze	ara	8
eng	mbi	3
hye	mon	1
tha	msa	1
deu	gla	2
lav	bel	10
kaz	fas	1
krc	hun	2
heb	enm	6
hbs	mkd	524
swb	fra	1
ita	mal	10
nor	tgk	1
ori	dan	1
spa	lat	6
ces	asm	1
vec	nor	1
nor	slv	35
grc	cko	2
deu	hin	63
ita	amh	1
ofs	nld	1
kat	jpn	2
heb	nnw	1
bis	fra	1
ara	por	93
rus	slk	1888
tuk	hau	1
cym	gla	13
kir	guj	1
ces	mal	1
grc	ben	20
uzb	ces	1
tmh	eng	1
bak	tuk	4
por	ara	30
arc	deu	26
nyj	jpn	1
arc	lad	2
eng	mwf	3
yid	bul	7
jpn	cat	57
fas	fra	294
eng	kon	1
eng	arg	6
grc	ino	1
otk	bul	1
