source	target	exposure
eng	tur	8
fil	nld	1
eng	tha	17
jpn	tha	1
fra	spa	2
eng	heb	1
fil	jpn	2
msa	nld	5
msa	por	4
eng	nld	99
ara	fas	1
cat	spa	2
eng	por	40
jpn	kor	19
ara	fil	1
eng	jpn	66
eng	spa	45
eng	fil	17
msa	tur	1
kor	msa	3
fil	msa	4
eng	swa	1
rus	tur	1
ell	jpn	11
eng	ita	1
eng	swe	1
deu	rus	1
eng	ron	1
afr	msa	2
por	spa	5
jpn	rus	4
bel	rus	1
afr	nld	13
eng	fra	7
eng	kor	28
ell	eng	5
eng	zho	5
eng	msa	34
ara	eng	16
ces	nld	1
afr	eng	15
ita	nld	1
jpn	msa	1
ell	rus	2
eng	pol	1
eng	rus	4
ces	eng	2
deu	eng	5
kor	tha	4
fil	zho	1
msa	spa	3
