source	target	exposure
ces	slk	0.070726356277
eng	ukr	0.0703770089016
epo	eng	0.000117004307761
rus	pol	0.016795444625
rus	eng	0.023476192158
rus	ell	0.0466900055916
vie	jpn	0.00138529880307
fin	est	0.0532172611826
eng	jpn	0.224843424545
nld	nor	0.011520747941
spa	deu	0.00786618446347
deu	fin	0.0267258958867
jpn	nld	0.00506009117089
eng	haw	0.475
fra	spa	0.0485038747021
deu	hbs	0.0557220889955
ron	eng	0.00303539418905
ita	por	0.0199155673922
swe	fra	0.00307848892574
pol	ukr	0.0529866677408
eng	nld	0.544380139327
ita	lat	0.133287292818
ara	fas	0.515314679142
pol	rus	0.00683038233678
glg	spa	0.00243183514765
eng	vie	0.126717557252
jpn	tha	0.0173620142538
kor	eng	0.00783868856413
eng	afr	0.597777061856
ukr	eng	0.00091927253612
epo	rus	0.00212468475789
kor	msa	0.0414597815293
fil	msa	0.0377358490566
fil	eng	0.00440742476096
eng	sco	0.3359375
eng	fas	0.211965499414
por	fra	0.00333324542884
por	cat	0.0387830482115
fra	roh	0.270246478873
deu	ukr	0.0350223546945
ita	spa	0.0152207041355
eng	swe	0.474074162641
spa	ita	0.013153093973
rus	bel	0.41181963714
jpn	pol	0.00610396912967
rus	spa	0.00793945823095
deu	jpn	0.0181489912847
swe	nor	0.0526399541708
swa	eng	0.000383200660946
ell	rus	0.0231048158578
hbs	jpn	0.00270756902555
roh	fra	0.00169986834309
slk	pol	0.00690558539661
nld	spa	0.0026535380003
nld	ces	0.126509108966
nld	ita	0.0529909679492
deu	lat	0.151243093923
ara	eng	0.0110678345918
lat	epo	0.084717097171
afr	eng	0.00789099284309
dan	deu	0.00364425940732
eng	deu	0.368951860915
vie	eng	0.000478379539825
slk	ces	0.0174485747282
ces	eng	0.006663792102
deu	eng	0.0567126261399
lat	deu	0.00370617551982
zho	fil	0.0158333333333
lav	eng	0.00029131084118
zho	eng	0.00588963993643
jpn	fra	0.0106687649853
cat	por	0.0047467319168
deu	por	0.0289348599011
spa	msa	0.0148894958334
fil	nld	0.00327021860574
deu	sah	0.252487562189
hun	eng	0.00576305989718
jpn	deu	0.00236599121453
eng	lat	0.288674033149
rus	jpn	0.00555981503596
rus	ukr	0.276891086317
jpn	zho	0.0336170445832
ukr	pol	0.0121981624512
eng	pol	0.432117167228
eng	tur	0.242831314827
fin	eng	0.00345755258177
spa	ces	0.016455433609
fil	jpn	0.000482569375528
jpn	kor	0.0308120265299
msa	por	0.0170973628737
eng	lav	0.368508287293
cat	spa	0.0163325907199
eng	por	0.378535573988
eng	zho	0.577478756866
spa	eng	0.0288959510942
nld	zho	0.00528903181384
eng	fil	0.616666666667
heb	eng	0.00574114521778
cat	jpn	0.00136428927621
eng	slv	0.197168409346
afr	msa	0.0188679245283
deu	rus	0.0344962030959
eng	swa	0.759287925697
eng	slk	0.152011562085
deu	heb	0.0249497020537
tha	kor	0.00212535659615
cat	deu	0.00086662793044
ces	spa	0.00205723377593
rus	epo	0.100399753998
eng	sah	0.254975124378
por	spa	0.0205289884416
eng	epo	0.113314883149
por	ell	0.125610823426
lat	ita	0.00775446452287
bel	rus	0.0134990203099
fra	heb	0.0287130448144
deu	pol	0.0387779785144
tur	eng	0.00252432385705
spa	cat	0.324020588017
spa	nld	0.00762808463418
zho	jpn	0.00480412181118
hbs	deu	0.00175323772628
deu	swe	0.0219956119374
sah	deu	0.000578223006504
ces	nld	0.00397058045936
por	eng	0.0152193834464
deu	spa	0.0285950178437
jpn	eng	0.0240167382116
eng	rus	0.195156411803
pol	jpn	0.00158584428679
eng	tha	0.428677741363
afr	slv	0.0227406281416
nor	deu	0.00226586250206
kor	tha	0.0427569404706
fil	zho	0.0714325618516
est	fin	0.00659304887047
fin	jpn	0.0015361854051
heb	slv	0.0234217542701
tha	eng	0.00447145355366
eng	ces	0.414330144283
ben	eng	0.00104914799239
tur	msa	0.00508625735069
deu	fra	0.0276288623786
afr	nld	0.0427260930801
por	deu	0.00286004728354
ukr	rus	0.018137786298
jpn	ell	0.229850424234
bul	ita	0.00204662564605
jpn	vie	0.0538167938931
jpn	spa	0.00444975216153
swe	eng	0.00859669636821
deu	epo	0.117004920049
jpn	hbs	0.0562716493472
bul	eng	0.000963703613266
por	msa	0.018960243583
eng	hun	0.162957916259
eng	ara	0.193896175416
jpn	fin	0.00593929165753
nor	eng	0.00281511983402
msa	nld	0.0164902674996
fas	eng	0.00118676793443
fra	eng	0.051346178348
nor	swe	0.0283226321999
heb	fra	0.00301873122748
jpn	ita	0.00516294876828
fin	rus	0.00336000588097
tur	kur	0.261194029851
fra	deu	0.0288210678859
eng	spa	0.29523185501
spa	roh	0.25088028169
msa	tur	0.0161711410672
heb	deu	0.00238053983087
eng	fra	0.467157886486
deu	nor	0.0223159921541
slk	kor	0.0100111916913
msa	eng	0.0102154834399
pol	slk	0.0288878551823
nor	fra	0.00227542933159
ukr	deu	0.000733978781449
ita	fra	0.0155274042908
slv	deu	0.000984728463091
por	ita	0.00536769555083
jpn	rus	0.0491045044598
pol	eng	0.00478758594673
jpn	msa	0.0240228023481
fra	swe	0.0211412151067
spa	glg	0.211777730915
spa	fra	0.0538151400541
tha	jpn	0.000269618988928
slk	eng	0.0010055168674
