source	target	exposure
ell	rus	2
fra	spa	2
afr	nld	13
eng	kor	28
eng	jpn	66
jpn	tha	1
eng	tur	8
eng	heb	1
fil	jpn	2
ces	eng	2
msa	por	4
eng	nld	99
msa	nld	5
cat	spa	2
eng	por	40
jpn	kor	19
eng	fil	17
eng	spa	45
eng	msa	34
msa	tur	1
kor	msa	3
fil	msa	4
afr	eng	15
ell	jpn	11
eng	ita	1
eng	swe	1
deu	rus	1
eng	ron	1
afr	msa	2
ara	fil	1
fil	nld	1
jpn	rus	4
jpn	msa	1
eng	fra	7
ara	fas	1
rus	tur	1
ell	eng	5
eng	zho	5
ara	eng	16
ces	nld	1
eng	swa	1
ita	nld	1
por	spa	5
bel	rus	1
eng	pol	1
eng	rus	4
eng	tha	17
deu	eng	5
kor	tha	4
fil	zho	1
msa	spa	3
