source	target	exposure
fra	spa	0.0115606936416
afr	nld	0.0849673202614
eng	kor	0.0591966173362
eng	jpn	0.0308411214953
ell	rus	0.0454545454545
eng	tur	0.258064516129
eng	heb	1.0
fil	jpn	0.000934579439252
msa	por	0.034188034188
eng	nld	0.647058823529
msa	nld	0.0326797385621
cat	spa	0.0115606936416
eng	por	0.34188034188
jpn	kor	0.0401691331924
eng	fil	0.85
eng	spa	0.260115606936
eng	msa	0.641509433962
msa	tur	0.0322580645161
kor	msa	0.0566037735849
fil	msa	0.0754716981132
afr	eng	0.0151515151515
eng	tha	0.36170212766
ell	jpn	0.00514018691589
eng	ita	0.2
eng	swe	0.5
deu	rus	0.0227272727273
eng	ron	0.5
afr	msa	0.0377358490566
ara	fil	0.05
fil	nld	0.00653594771242
jpn	rus	0.0909090909091
jpn	msa	0.0188679245283
bel	rus	0.0227272727273
eng	fra	0.583333333333
ara	fas	1.0
rus	tur	0.0322580645161
ell	eng	0.00505050505051
eng	zho	0.714285714286
ara	eng	0.0161616161616
ces	nld	0.00653594771242
eng	swa	1.0
ita	nld	0.00653594771242
por	spa	0.028901734104
jpn	tha	0.0212765957447
eng	pol	0.5
eng	rus	0.0909090909091
ces	eng	0.0020202020202
deu	eng	0.00505050505051
kor	tha	0.0851063829787
fil	zho	0.142857142857
msa	spa	0.0173410404624
