source	target	exposure
ces	slk	0.0909090909091
eng	ukr	0.181818181818
epo	eng	0.000433839479393
rus	pol	0.0232558139535
rus	spa	0.0062893081761
fin	est	0.166666666667
nld	nor	0.0384615384615
fra	roh	1.0
deu	fin	0.0357142857143
deu	jpn	0.00523560209424
hif	eng	0.000433839479393
eng	haw	1.0
fra	spa	0.0125786163522
deu	hbs	0.111111111111
eng	roh	1.0
ita	por	0.037037037037
swe	fra	0.00671140939597
pol	ukr	0.181818181818
eng	nld	0.224137931034
ita	lat	0.5
pol	rus	0.00847457627119
glg	spa	0.0062893081761
eng	jbo	0.333333333333
eng	vie	0.4
kor	eng	0.00130151843818
eng	afr	0.5
ukr	eng	0.000867678958785
epo	rus	0.00847457627119
kor	msa	0.0526315789474
kor	cat	0.142857142857
eng	sco	1.0
eng	fas	0.142857142857
por	fra	0.00671140939597
por	cat	0.142857142857
eng	ita	0.147286821705
ita	spa	0.0062893081761
eng	swe	0.214285714286
jpn	pol	0.0232558139535
vie	jpn	0.00523560209424
cat	eng	0.00130151843818
swa	eng	0.000433839479393
hbs	jpn	0.0104712041885
roh	fra	0.00671140939597
slk	pol	0.0232558139535
nld	spa	0.0062893081761
nld	ita	0.0077519379845
deu	lat	0.5
ara	eng	0.000867678958785
lat	epo	0.333333333333
afr	eng	0.000433839479393
dan	deu	0.00461893764434
eng	deu	0.133949191686
vie	eng	0.000867678958785
slk	ces	0.0526315789474
ces	eng	0.00130151843818
deu	eng	0.0251626898048
lat	deu	0.00230946882217
eng	epo	0.333333333333
bul	eng	0.000867678958785
zho	eng	0.00520607375271
nor	deu	0.00230946882217
cat	por	0.0185185185185
deu	por	0.0555555555556
ita	fra	0.0134228187919
deu	sah	1.0
hun	eng	0.00130151843818
jpn	deu	0.00230946882217
eng	lat	1.0
rus	jpn	0.00523560209424
rus	ukr	0.636363636364
jpn	zho	0.0196078431373
ukr	pol	0.046511627907
ron	eng	0.000433839479393
heb	fra	0.00671140939597
eng	heb	0.315789473684
eng	ron	0.2
bul	lat	0.5
fra	jpn	0.00523560209424
spa	deu	0.00923787528868
haw	eng	0.000433839479393
cat	spa	0.0188679245283
eng	por	0.203703703704
eng	jpn	0.0680628272251
spa	eng	0.00694143167028
nld	zho	0.0196078431373
heb	eng	0.00260303687636
ita	eng	0.00824295010846
eng	slv	0.272727272727
spa	ita	0.0077519379845
eng	hif	1.0
eng	swa	1.0
eng	slk	0.272727272727
deu	heb	0.0526315789474
cat	deu	0.00230946882217
ces	spa	0.0062893081761
rus	epo	0.333333333333
nor	swe	0.0714285714286
roh	spa	0.0062893081761
deu	rus	0.0169491525424
por	ell	0.5
kor	slk	0.0909090909091
eng	nor	0.192307692308
fra	heb	0.0526315789474
est	fin	0.0178571428571
spa	cat	0.428571428571
spa	nld	0.0172413793103
zho	jpn	0.00523560209424
hbs	deu	0.00230946882217
por	ita	0.015503875969
rus	est	0.166666666667
sah	deu	0.00230946882217
