Lang1	Lang2	NumOfCommonUsers	NumOfUsersLang1	NumOfUsersLang2	NumOfPolysLang1	NumOfPolysLang2	TotalNumOfUsers	TotalNumOfPolyglots
ces	slk	1	19	11	3	3	3806	234
deu	ita	5	433	129	70	24	3806	234
ces	eng	3	19	2305	3	202	3806	234
rus	spa	1	118	159	20	26	3806	234
nld	nor	1	58	26	16	8	3806	234
fra	roh	1	149	1	15	1	3806	234
deu	fin	2	433	56	70	8	3806	234
deu	jpn	1	433	191	70	19	3806	234
eng	haw	1	2305	1	202	1	3806	234
fra	spa	2	149	159	15	26	3806	234
deu	hbs	1	433	9	70	3	3806	234
deu	fra	2	433	149	70	15	3806	234
ita	por	2	129	54	24	14	3806	234
pol	ukr	2	43	11	7	8	3806	234
eng	nld	13	2305	58	202	16	3806	234
ita	lat	1	129	2	24	2	3806	234
pol	rus	1	43	118	7	20	3806	234
glg	spa	1	2	159	1	26	3806	234
eng	jbo	1	2305	3	202	1	3806	234
eng	vie	2	2305	5	202	2	3806	234
epo	rus	1	3	118	2	20	3806	234
kor	msa	1	25	19	3	12	3806	234
eng	sco	1	2305	1	202	1	3806	234
eng	fas	1	2305	7	202	1	3806	234
eng	ita	19	2305	129	202	24	3806	234
ita	spa	1	129	159	24	26	3806	234
eng	swe	6	2305	28	202	7	3806	234
jpn	pol	1	191	43	19	7	3806	234
cat	eng	3	7	2305	4	202	3806	234
hbs	jpn	2	9	191	3	19	3806	234
nld	spa	1	58	159	16	26	3806	234
deu	lat	1	433	2	70	2	3806	234
ara	eng	2	20	2305	2	202	3806	234
kur	tur	1	1	34	1	1	3806	234
dan	deu	2	14	433	2	70	3806	234
eng	zho	12	2305	51	202	12	3806	234
deu	eng	58	433	2305	70	202	3806	234
eng	epo	1	2305	3	202	2	3806	234
cat	por	1	7	54	4	14	3806	234
deu	por	3	433	54	70	14	3806	234
eng	est	2	2305	6	202	2	3806	234
fra	nor	1	149	26	15	8	3806	234
eng	lat	2	2305	2	202	2	3806	234
rus	ukr	7	118	11	20	8	3806	234
jpn	zho	1	191	51	19	12	3806	234
eng	heb	6	2305	19	202	6	3806	234
cat	spa	3	7	159	4	26	3806	234
eng	por	11	2305	54	202	14	3806	234
eng	jpn	13	2305	191	202	19	3806	234
nld	zho	1	58	51	16	12	3806	234
cat	jpn	1	7	191	4	19	3806	234
eng	slv	3	2305	11	202	3	3806	234
eng	hif	1	2305	1	202	1	3806	234
eng	swa	1	2305	1	202	1	3806	234
eng	slk	3	2305	11	202	3	3806	234
deu	heb	1	433	19	70	6	3806	234
cat	deu	1	7	433	4	70	3806	234
ces	spa	1	19	159	3	26	3806	234
eng	sah	1	2305	1	202	1	3806	234
roh	spa	1	1	159	1	26	3806	234
deu	rus	2	433	118	70	20	3806	234
fra	heb	1	149	19	15	6	3806	234
est	fin	1	6	56	2	8	3806	234
fin	rus	1	56	118	8	20	3806	234
eng	fra	11	2305	149	202	15	3806	234
deu	swe	1	433	28	70	7	3806	234
epo	lat	1	3	2	2	2	3806	234
eng	rus	12	2305	118	202	20	3806	234
eng	tha	1	2305	9	202	1	3806	234
afr	slv	1	2	11	1	3	3806	234
jpn	kor	1	191	25	19	3	3806	234
deu	pol	1	433	43	70	7	3806	234
fin	jpn	1	56	191	8	19	3806	234
heb	slv	1	19	11	6	3	3806	234
cat	kor	1	7	25	4	3	3806	234
ben	eng	2	2	2305	2	202	3806	234
jpn	nld	1	191	58	19	16	3806	234
eng	roh	1	2305	1	202	1	3806	234
deu	spa	4	433	159	70	26	3806	234
bul	ita	1	5	129	2	24	3806	234
jpn	vie	1	191	5	19	2	3806	234
jpn	spa	2	191	159	19	26	3806	234
deu	epo	1	433	3	70	2	3806	234
bul	eng	2	5	2305	2	202	3806	234
eng	hun	3	2305	21	202	3	3806	234
nor	swe	2	26	28	8	7	3806	234
deu	slv	1	433	11	70	3	3806	234
deu	sah	1	433	1	70	1	3806	234
eng	spa	16	2305	159	202	26	3806	234
deu	nor	1	433	26	70	8	3806	234
pol	slk	1	43	11	7	3	3806	234
fra	ita	2	149	129	15	24	3806	234
jpn	rus	1	191	118	19	20	3806	234
jpn	msa	1	191	19	19	12	3806	234
fra	swe	1	149	28	15	7	3806	234
est	rus	1	6	118	2	20	3806	234
ell	eng	1	2	2305	2	202	3806	234
ita	nld	1	129	58	24	16	3806	234
eng	pol	6	2305	43	202	7	3806	234
eng	fin	7	2305	56	202	8	3806	234
fra	jpn	1	149	191	15	19	3806	234
eng	kor	3	2305	25	202	3	3806	234
deu	ell	2	433	2	70	2	3806	234
nor	spa	3	26	159	8	26	3806	234
deu	ukr	1	433	11	70	8	3806	234
eng	ukr	2	2305	11	202	8	3806	234
ces	nor	1	19	26	3	8	3806	234
eng	msa	12	2305	19	202	12	3806	234
fra	por	1	149	54	15	14	3806	234
afr	eng	1	2	2305	1	202	3806	234
kor	slk	1	25	11	3	3	3806	234
heb	rus	1	19	118	6	20	3806	234
bul	lat	1	5	2	2	2	3806	234
eng	lav	1	2305	1	202	1	3806	234
eng	ron	1	2305	5	202	1	3806	234
por	spa	2	54	159	14	26	3806	234
eng	nor	5	2305	26	202	8	3806	234
deu	msa	1	433	19	70	12	3806	234
hbs	vie	1	9	5	3	2	3806	234
haw	swa	1	1	1	1	1	3806	234
eng	hbs	2	2305	9	202	3	3806	234
msa	zho	1	19	51	12	12	3806	234
ell	por	1	2	54	2	14	3806	234
deu	nld	3	433	58	70	16	3806	234
ita	jpn	2	129	191	24	19	3806	234
