src.name	tgt.name	common.num	src.num	tgt.num	total.num	exposure	phi	ttest	pval
fra	spa	2	12	173	3969	0.0115606936416185	0.033196019612746	0.434333662999871	0.332293692869397
afr	nld	13	16	153	3969	0.0849673202614379	0.255765162304365	3.25102754854413	0.000707190023683074
eng	kor	28	990	473	3969	0.0591966173361522	-0.16172119096635	-5.15110264061663	1.56214538069783e-07
ell	rus	2	12	44	3969	0.0454545454545455	0.081827331982805	0.53208606007332	0.298671527414862
eng	tur	8	990	31	3969	0.258064516129032	0.001769917262285	0.055632953592717	0.477822718561227
eng	heb	1	990	1	3969	1	0.027537963665014	0.865914533003375	0.193373413380471
fil	jpn	2	20	2140	3969	0.000934579439252336	-0.062701797979277	-2.90495390305944	0.00185537954992039
ces	eng	2	2	990	3969	0.00202020202020202	0.038949469951771	1.22520765050173	0.11039420203686
msa	por	4	53	117	3969	0.0341880341880342	0.031634110493948	0.339407909741822	0.367455466082339
eng	nld	99	990	153	3969	0.647058823529412	0.18401119578792	5.88440716126013	2.73117295930589e-09
msa	nld	5	53	153	3969	0.0326797385620915	0.033714049959646	0.414520828679464	0.339536656967289
eng	fil	17	990	20	3969	0.85	0.098778191098836	3.12010119094575	0.000930110390058304
eng	por	40	990	117	3969	0.341880341880342	0.037236767187455	1.17125576637322	0.12088890316946
jpn	kor	19	2140	473	3969	0.040169133192389	-0.368231581035779	-18.3132794108775	5.18876320884123e-70
ara	fil	1	114	20	3969	0.05	0.009065806974715	0.0959474257424458	0.461865395528132
eng	jpn	66	990	2140	3969	0.0308411214953271	-0.546465209472147	-30.1710891173606	3.12450162688103e-167
jpn	tha	1	2140	47	3969	0.0212765957446809	-0.113739185626821	-5.29348200411485	6.61395470875233e-08
eng	spa	45	990	173	3969	0.260115606936416	0.005270612841618	0.165670666876207	0.434224978072157
eng	msa	34	990	53	3969	0.641509433962264	0.105418168021094	3.33211975200612	0.000446881007165391
msa	tur	1	53	31	3969	0.032258064516129	0.014612742493805	0.10436699811875	0.458636034719275
kor	msa	3	473	53	3969	0.0566037735849057	-0.022467064274311	-0.487715342924052	0.312988730324016
fil	msa	4	20	53	3969	0.0754716981132075	0.115721253224138	0.832004681158303	0.204569741533272
afr	eng	15	16	990	3969	0.0151515151515152	0.101170872710023	3.19645093240393	0.000717678393968264
cat	spa	2	3	173	3969	0.0115606936416185	0.083930968649211	1.10142613526163	0.13612064202817
ell	jpn	11	12	2140	3969	0.00514018691588785	0.041704041572759	1.93001192523539	0.0268686880353009
eng	ita	1	990	5	3969	0.2	-0.004057554234032	-0.127539990640033	0.449269462162655
eng	swe	1	990	2	3969	0.5	0.0130027686697	0.408743655915744	0.341408096220811
deu	rus	1	7	44	3969	0.0227272727272727	0.052898980786242	0.343305250100793	0.366501908102415
eng	ron	1	990	2	3969	0.5	0.0130027686697	0.408743655915744	0.341408096220811
afr	msa	2	16	53	3969	0.0377358490566038	0.061881888695156	0.442773663987612	0.329865685373602
por	spa	5	117	173	3969	0.0289017341040462	-0.000727902083343	-0.009518557387918	0.496208186112473
fil	nld	1	20	153	3969	0.0065359477124183	0.004233069706316	0.052017297457745	0.479291381444277
jpn	rus	4	2140	44	3969	0.0909090909090909	-0.095216694377946	-4.4227728362993	5.11625797632465e-06
bel	rus	1	1	44	3969	0.0227272727272727	0.14993660072686	0.982810298172886	0.165537176904479
eng	fra	7	990	12	3969	0.583333333333333	0.042496441165015	1.33697579651193	0.0907688328193547
ara	fas	1	114	1	3969	1	0.092315352803981	0.9811636074725	0.164294877432197
rus	tur	1	44	31	3969	0.032258064516129	0.017940843426392	0.116288670805242	0.453976457969597
ell	eng	5	12	990	3969	0.00505050505050505	0.021284295659899	0.669169518315332	0.251771682150645
eng	zho	5	990	7	3969	0.714285714285714	0.045158063090878	1.42087884444358	0.0778334337864324
ara	eng	16	114	990	3969	0.0161616161616162	-0.043353332817895	-1.3639846309934	0.0864412103767883
ces	nld	1	2	153	3969	0.0065359477124183	0.05381965657271	0.662306912093272	0.254385472430926
eng	swa	1	990	1	3969	1	0.027537963665014	0.865914533003375	0.193373413380471
ita	nld	1	5	153	3969	0.0065359477124183	0.029784532235242	0.366160909671388	0.357375411274915
jpn	msa	1	2140	53	3969	0.0188679245283019	-0.121435794366571	-5.65687534712283	8.74073384871332e-09
eng	pol	1	990	2	3969	0.5	0.0130027686697	0.408743655915744	0.341408096220811
eng	rus	4	990	44	3969	0.0909090909090909	-0.03879089704866	-1.22021199533635	0.111337547920566
eng	tha	17	990	47	3969	0.361702127659574	0.02840424959121	0.893176026736857	0.18598998747326
deu	eng	5	7	990	3969	0.00505050505050505	0.045158063090878	1.42087884444358	0.0778334337864324
kor	tha	4	473	47	3969	0.0851063829787234	-0.011510562542036	-0.249824930277182	0.401415600308289
fil	zho	1	20	7	3969	0.142857142857143	0.081812666178704	0.348269240536385	0.365638546805323
msa	spa	3	53	173	3969	0.0173410404624277	0.007416312374817	0.0969835356924933	0.46142586627759
spa	fra	2	173	12	3969	0.166666666666667	0.033196019612746	0.434333662999871	0.332293692869397
nld	afr	13	153	16	3969	0.8125	0.255765162304365	3.25102754854413	0.000707190023683074
kor	eng	28	473	990	3969	0.0282828282828283	-0.16172119096635	-5.15110264061663	1.56214538069783e-07
rus	ell	2	44	12	3969	0.166666666666667	0.081827331982805	0.53208606007332	0.298671527414862
tur	eng	8	31	990	3969	0.00808080808080808	0.001769917262285	0.055632953592717	0.477822718561227
heb	eng	1	1	990	3969	0.00101010101010101	0.027537963665014	0.865914533003375	0.193373413380471
jpn	fil	2	2140	20	3969	0.1	-0.062701797979277	-2.90495390305944	0.00185537954992039
eng	ces	2	990	2	3969	1	0.038949469951771	1.22520765050173	0.11039420203686
por	msa	4	117	53	3969	0.0754716981132075	0.031634110493948	0.339407909741822	0.367455466082339
nld	eng	99	153	990	3969	0.1	0.18401119578792	5.88440716126013	2.73117295930589e-09
nld	msa	5	153	53	3969	0.0943396226415094	0.033714049959646	0.414520828679464	0.339536656967289
fil	eng	17	20	990	3969	0.0171717171717172	0.098778191098836	3.12010119094575	0.000930110390058304
por	eng	40	117	990	3969	0.0404040404040404	0.037236767187455	1.17125576637322	0.12088890316946
kor	jpn	19	473	2140	3969	0.0088785046728972	-0.368231581035779	-18.3132794108775	5.18876320884123e-70
fil	ara	1	20	114	3969	0.0087719298245614	0.009065806974715	0.0959474257424458	0.461865395528132
jpn	eng	66	2140	990	3969	0.0666666666666667	-0.546465209472147	-30.1710891173606	3.12450162688103e-167
tha	jpn	1	47	2140	3969	0.000467289719626168	-0.113739185626821	-5.29348200411485	6.61395470875233e-08
spa	eng	45	173	990	3969	0.0454545454545455	0.005270612841618	0.165670666876207	0.434224978072157
msa	eng	34	53	990	3969	0.0343434343434343	0.105418168021094	3.33211975200612	0.000446881007165391
tur	msa	1	31	53	3969	0.0188679245283019	0.014612742493805	0.10436699811875	0.458636034719275
msa	kor	3	53	473	3969	0.00634249471458774	-0.022467064274311	-0.487715342924052	0.312988730324016
msa	fil	4	53	20	3969	0.2	0.115721253224138	0.832004681158303	0.204569741533272
eng	afr	15	990	16	3969	0.9375	0.101170872710023	3.19645093240393	0.000717678393968264
spa	cat	2	173	3	3969	0.666666666666667	0.083930968649211	1.10142613526163	0.13612064202817
jpn	ell	11	2140	12	3969	0.916666666666667	0.041704041572759	1.93001192523539	0.0268686880353009
ita	eng	1	5	990	3969	0.00101010101010101	-0.004057554234032	-0.127539990640033	0.449269462162655
swe	eng	1	2	990	3969	0.00101010101010101	0.0130027686697	0.408743655915744	0.341408096220811
rus	deu	1	44	7	3969	0.142857142857143	0.052898980786242	0.343305250100793	0.366501908102415
ron	eng	1	2	990	3969	0.00101010101010101	0.0130027686697	0.408743655915744	0.341408096220811
msa	afr	2	53	16	3969	0.125	0.061881888695156	0.442773663987612	0.329865685373602
spa	por	5	173	117	3969	0.0427350427350427	-0.000727902083343	-0.009518557387918	0.496208186112473
nld	fil	1	153	20	3969	0.05	0.004233069706316	0.052017297457745	0.479291381444277
rus	jpn	4	44	2140	3969	0.00186915887850467	-0.095216694377946	-4.4227728362993	5.11625797632465e-06
rus	bel	1	44	1	3969	1	0.14993660072686	0.982810298172886	0.165537176904479
fra	eng	7	12	990	3969	0.00707070707070707	0.042496441165015	1.33697579651193	0.0907688328193547
fas	ara	1	1	114	3969	0.0087719298245614	0.092315352803981	0.9811636074725	0.164294877432197
tur	rus	1	31	44	3969	0.0227272727272727	0.017940843426392	0.116288670805242	0.453976457969597
eng	ell	5	990	12	3969	0.416666666666667	0.021284295659899	0.669169518315332	0.251771682150645
zho	eng	5	7	990	3969	0.00505050505050505	0.045158063090878	1.42087884444358	0.0778334337864324
eng	ara	16	990	114	3969	0.140350877192982	-0.043353332817895	-1.3639846309934	0.0864412103767883
nld	ces	1	153	2	3969	0.5	0.05381965657271	0.662306912093272	0.254385472430926
swa	eng	1	1	990	3969	0.00101010101010101	0.027537963665014	0.865914533003375	0.193373413380471
nld	ita	1	153	5	3969	0.2	0.029784532235242	0.366160909671388	0.357375411274915
msa	jpn	1	53	2140	3969	0.000467289719626168	-0.121435794366571	-5.65687534712283	8.74073384871332e-09
pol	eng	1	2	990	3969	0.00101010101010101	0.0130027686697	0.408743655915744	0.341408096220811
rus	eng	4	44	990	3969	0.00404040404040404	-0.03879089704866	-1.22021199533635	0.111337547920566
tha	eng	17	47	990	3969	0.0171717171717172	0.02840424959121	0.893176026736857	0.18598998747326
eng	deu	5	990	7	3969	0.714285714285714	0.045158063090878	1.42087884444358	0.0778334337864324
tha	kor	4	47	473	3969	0.00845665961945032	-0.011510562542036	-0.249824930277182	0.401415600308289
zho	fil	1	7	20	3969	0.05	0.081812666178704	0.348269240536385	0.365638546805323
spa	msa	3	173	53	3969	0.0566037735849057	0.007416312374817	0.0969835356924933	0.46142586627759
