name	num.exp	trans.to	degree.from	degree.to
roh	90	284	8	14
bvr	3	3	1	2
sco	29	32	5	13
scn	2	2	1	1
rom	79	82	18	16
ron	5475	18464	55	80
osx	6	0	3	0
bvz	0	1	0	1
oss	195	153	14	21
mns	20	1	6	1
mnw	1	0	1	0
mnh	0	2	0	1
mni	11	1	4	1
xav	0	2	0	1
nwb	0	1	0	1
kib	2	0	2	0
rop	7	7	2	3
alt	56	50	6	4
mnc	9	2	5	2
mnf	0	18	0	2
alq	2	4	2	1
kmw	0	7	0	2
bmy	0	1	0	1
vep	4	5	3	4
smn	1	15	1	4
wmt	3	2	1	2
zmz	0	1	0	1
auu	0	1	0	1
mwf	0	3	0	1
fkv	1	0	1	0
ven	0	5	0	2
lkt	5	1	2	1
uga	6	0	4	0
mwl	0	1	0	1
mpe	0	1	0	1
kca	21	3	5	1
yre	0	2	0	2
fas	2837	11329	70	60
ska	2	0	2	0
lrl	1	0	1	0
khb	0	2	0	1
fak	1	0	1	0
mpu	1	0	1	0
fan	3	0	1	0
fao	104	415	10	18
got	2	0	1	0
vls	9	0	5	0
faa	0	1	0	1
hch	1	1	1	1
kla	1	0	1	0
tri	1	1	1	1
dih	1	0	1	0
hye	1100	2139	46	52
gue	0	1	0	1
gud	0	2	0	1
guj	264	524	22	30
cme	3	24	1	4
tnr	1	0	1	0
eve	10	15	3	4
gul	1	1	1	1
gur	0	15	0	3
gup	1	3	1	3
guw	1	0	1	0
iba	1	0	1	0
auv	0	1	0	1
div	1	7	1	1
gux	1	0	1	0
pbi	0	8	0	2
flr	0	11	0	2
tel	277	668	28	31
tem	3	0	3	0
ibd	0	1	0	1
nbw	0	1	0	1
sre	1	0	1	0
osa	1	0	1	0
nbl	0	3	0	1
ibg	0	2	0	2
tet	3	3	2	2
nbf	0	19	0	1
tew	3	0	2	0
sbl	0	1	0	1
nem	4	0	1	0
suc	0	5	0	1
sub	0	1	0	1
bdm	13	3	1	1
sun	0	1	0	1
sum	2	0	2	0
abk	171	115	20	15
kus	0	1	0	1
kur	137	201	20	15
kup	0	1	0	1
abq	10	8	3	1
kum	44	65	7	9
gna	0	8	0	2
nez	1	0	1	0
lle	1	0	1	0
suq	0	7	0	4
abx	0	1	0	1
new	3	25	1	9
bdy	1	0	1	0
kua	0	2	0	2
gng	0	17	0	3
kzr	0	17	0	2
med	1	0	1	0
lms	3	0	1	0
jnj	0	1	0	1
gnd	1	7	1	2
lef	0	6	0	3
och	16	0	4	0
ozm	1	17	1	3
lem	0	2	0	1
mic	5	1	2	1
sld	0	15	0	3
mwp	1	1	1	1
let	2	0	2	0
ulc	2	0	1	0
lez	34	64	3	4
tdd	0	2	0	1
hke	1	0	1	0
box	0	30	0	3
ctu	0	1	0	1
ekm	0	2	0	1
hss	1	0	1	0
oma	2	0	1	0
gla	78	227	11	7
drs	0	1	0	1
akp	0	1	0	1
gld	39	2	19	1
gle	269	167	23	19
bov	0	1	0	1
glg	1346	2371	23	41
akk	136	0	24	0
ntj	3	3	1	1
sjo	0	1	0	1
akl	0	3	0	1
akc	0	1	0	1
ntm	0	9	0	2
aka	2	2	2	2
zdj	3	0	1	0
bod	1508	344	40	12
ake	0	14	0	1
sbg	1	0	1	0
apz	0	1	0	1
wic	1	0	1	0
wib	0	15	0	3
jra	1	0	1	0
vie	668	786	47	32
apr	0	1	0	1
ipk	4	2	1	2
wim	0	6	0	2
apw	1	0	1	0
uzb	872	2757	43	59
pia	2	0	2	0
wiu	0	1	0	1
wit	2	0	1	0
apn	0	1	0	1
brh	1	1	1	1
sga	14	0	6	0
bre	212	406	14	27
sgb	0	2	0	1
bra	11	2	6	1
ape	0	1	0	1
aym	7	6	3	2
dng	10	8	5	2
chc	1	0	1	0
zir	0	1	0	1
che	80	57	11	4
chg	19	0	8	0
shp	0	1	0	1
pli	400	0	40	0
dnn	0	10	0	3
chl	1	0	1	0
chm	116	89	8	4
